country,survey_name,wave,idno,hhid,survey_year,survey_month,interview_date,household_weight,strata,psu,admin2_code,admin2,cluster_id,total_consumption,oop_health_expenditure,oop_share_total,log_oop_plus_one,che10_total_budget,che25_total_budget,positive_oop,outcome_scope,data_use_limit,outcome_policy_name,outcome_formula,sdg382_ready,access_outcome_ready,composite_uhc_ready,weighted_inference_ready,climate_linkage_ready,final_analysis_ready,limited_outcome_write_ready,promotion_status,blocking_reason
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,102,2002,5.0,2002-05-18,412.2000122070313,2.0,1,22.0,MALESI E MADHE,1,66002.4609375,1108.3333333333335,0.016792303159466317,7.0115145132729895,0,0,1,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,103,2002,5.0,2002-05-14,412.2000122070313,2.0,1,22.0,MALESI E MADHE,1,38510.0,0.0,0.0,0.0,0,0,0,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,104,2002,5.0,2002-05-20,412.2000122070313,2.0,1,22.0,MALESI E MADHE,1,20332.12109375,3878.333333333333,0.19074907706139496,8.263418596548506,1,0,1,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,105,2002,5.0,2002-05-16,412.2000122070313,2.0,1,22.0,MALESI E MADHE,1,27304.185546875,650.0,0.023805873970644525,6.478509642208569,0,0,1,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,106,2002,5.0,2002-05-18,412.2000122070313,2.0,1,22.0,MALESI E MADHE,1,32115.765625,18478.333333333332,0.57536642747664,9.82440826950888,1,1,1,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,107,2002,5.0,2002-05-15,412.2000122070313,2.0,1,22.0,MALESI E MADHE,1,22509.048828125,862.5,0.03831792300891491,6.760993897586733,0,0,1,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,108,2002,5.0,2002-05-17,412.2000122070313,2.0,1,22.0,MALESI E MADHE,1,21377.2421875,216.66666666666666,0.010135389063111191,5.382964840608321,0,0,1,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,109,2002,5.0,2002-05-13,412.2000122070313,2.0,1,22.0,MALESI E MADHE,1,33426.984375,325.0,0.00972268381598512,5.786897381366708,0,0,1,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,201,2002,5.0,2002-05-07,412.2000122070313,2.0,2,22.0,MALESI E MADHE,2,24793.85546875,7550.0,0.3045109305213127,8.929435283803425,1,1,1,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,202,2002,5.0,2002-05-08,412.2000122070313,2.0,2,22.0,MALESI E MADHE,2,13836.708984375,2946.6666666666665,0.21296008104197087,7.988769175907626,1,0,1,alb2002_financial_protection_che10_che25_limited_no_sdg382_no_access,outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis,period_aligned_combined_no_gifts_transport_monthly_equivalent,(oop_4w_sum_unreviewed * 13 / 12) + (oop_12m_sum_unreviewed / 12),0,0,0,0,0,0,1,limited_financial_outcomes_promoted_sdg_access_climate_modeling_blocked,"CHE10/CHE25 are promoted only as limited ALB_2002 financial-protection outcomes. SDG 3.8.2 discretionary-budget, capacity-to-pay, impoverishment, access, composite UHC, weighted-inference, climate-linkage, and model-ready gates remain unresolved."
