term,coef,se,t,p,n,df,outcome,strategy,model_status,r2_resid
treated_post_selection_2024,0.2784163619685312,0.4551985402831524,0.6116372029561973,0.5442387172850056,164,40,facility_per100k,all_non_original_non_2024_controls,ok,0.0023110252511877594
treated_post_selection_2024,0.13027723365159138,0.13179935675757867,0.988451209903953,0.32887348936449956,164,40,crisis_intervention_per100k,all_non_original_non_2024_controls,ok,0.008204231222653569
treated_post_selection_2024,-0.013905965230681085,0.209510300071761,-0.06637365907985453,0.9474109866322866,164,40,moud_any_per100k,all_non_original_non_2024_controls,ok,5.157162155211559e-05
treated_post_selection_2024,0.024604535527830595,0.09591839352211981,0.2565153003960239,0.7988677468847984,164,40,integrated_primary_care_per100k,all_non_original_non_2024_controls,ok,0.0004078761056082181
treated_post_selection_2024,0.17321523575205475,0.173784798404124,0.9967225979642662,0.3248908286251768,164,40,care_coordination_case_mgmt_per100k,all_non_original_non_2024_controls,ok,0.0047642503622469246
treated_post_selection_2024,0.4511972531036718,0.16174341588200888,2.7895865228468915,0.008044216551048144,164,40,sliding_fee_or_low_payment_per100k,all_non_original_non_2024_controls,ok,0.045861800029777466
treated_post_selection_2024,0.7653882928044675,0.5441344839800027,1.4066160394873926,0.16726343069229577,164,40,targeted_services_per100k,all_non_original_non_2024_controls,ok,0.012321413304797635
treated_post_selection_2024,0.42067341799223096,0.9259980221592965,0.45429191847654277,0.6557209921082587,68,16,facility_per100k,planning_grant_not_selected_controls,ok,0.006239465749430573
treated_post_selection_2024,0.11603314446674706,0.18123129675805533,0.6402489335032011,0.5310734269980983,68,16,crisis_intervention_per100k,planning_grant_not_selected_controls,ok,0.008506714381542935
treated_post_selection_2024,0.06135338391857044,0.2529804334521206,0.24252224996753455,0.8114569522176431,68,16,moud_any_per100k,planning_grant_not_selected_controls,ok,0.001544994912740072
treated_post_selection_2024,-0.09633232741282528,0.1811832506781,-0.5316845075485179,0.60224915797646,68,16,integrated_primary_care_per100k,planning_grant_not_selected_controls,ok,0.00792785416350994
treated_post_selection_2024,0.022035598831176312,0.2133868777723988,0.10326595084576741,0.9190351676773876,68,16,care_coordination_case_mgmt_per100k,planning_grant_not_selected_controls,ok,0.00017853961464808776
treated_post_selection_2024,0.5135333724106658,0.27721017607645165,1.8525054876377938,0.08249198903895416,68,16,sliding_fee_or_low_payment_per100k,planning_grant_not_selected_controls,ok,0.0826186183046943
treated_post_selection_2024,0.616623172214334,0.8205215866141784,0.751501462330545,0.46326247216117356,68,16,targeted_services_per100k,planning_grant_not_selected_controls,ok,0.013573037059486315
treated_post_selection_2024,0.7752980913602248,0.8708238550521745,0.8903041491826996,0.38443760186426834,80,19,facility_per100k,not_yet_2026_controls,ok,0.014347111616910158
treated_post_selection_2024,0.11175398339687519,0.13600342692101125,0.8216997610051416,0.42143972046797007,80,19,crisis_intervention_per100k,not_yet_2026_controls,ok,0.009490128986148538
treated_post_selection_2024,0.09329505261893377,0.2631832870049724,0.35448699528238325,0.7268779469509314,80,19,moud_any_per100k,not_yet_2026_controls,ok,0.0029981620072596638
treated_post_selection_2024,-0.11160350904374469,0.14368195659890734,-0.7767399030853217,0.44687518646473423,80,19,integrated_primary_care_per100k,not_yet_2026_controls,ok,0.010359336537897446
treated_post_selection_2024,0.24218464760163436,0.3774339801745061,0.641660953498836,0.5287591707946993,80,19,care_coordination_case_mgmt_per100k,not_yet_2026_controls,ok,0.00792774176930211
treated_post_selection_2024,0.40648423458142685,0.31836920778067573,1.2767699408337676,0.2170679815610368,80,19,sliding_fee_or_low_payment_per100k,not_yet_2026_controls,ok,0.038865511366725225
treated_post_selection_2024,0.7421144091551255,0.982533798165814,0.7553067492848577,0.45932647882368305,80,19,targeted_services_per100k,not_yet_2026_controls,ok,0.012262906028807197
