treated_state,donor_state,weight
AL,CT,0.019736353393884916
AL,DC,0.015209212842090978
AL,DE,0.012685120041418613
AL,FL,0.007309796061734817
AL,GA,0.013596926995008694
AL,HI,0.018276888365603535
AL,LA,0.10211784598189892
AL,MD,0.20599351249684483
AL,SC,0.0018744870828416463
AL,TX,0.529326315874057
AL,VA,0.06799424643259602
AL,WI,0.002585670620234534
AL,WY,0.0016170235800312778
IA,MD,0.48327896404260673
IA,TN,0.497857526532398
IA,TX,0.018863509425053594
IL,AK,0.0011241614467204892
IL,AR,0.0034670164200918466
IL,CO,0.18293572129426774
IL,CT,0.2325154852500841
IL,DC,0.020845640691596588
IL,DE,0.014554340949044798
IL,FL,0.004849789276585174
IL,GA,0.007871493654386863
IL,HI,0.023817104486302868
IL,ID,0.00345828741195412
IL,LA,0.02006015544618304
IL,MA,0.0011837123626213626
IL,MD,0.09121298777835317
IL,MS,0.0020868804499932364
IL,MT,0.0011635991108834855
IL,ND,0.002424940981669274
IL,SC,0.10860098345642474
IL,SD,0.005420685294264183
IL,TN,0.19184868635185
IL,TX,0.07007863180950967
IL,UT,0.0019045959547864468
IL,WA,0.0010364855484369469
IL,WI,0.004905254120774171
IN,AK,0.00526799785241484
IN,AR,0.020714826235091247
IN,CT,0.06066388432377944
IN,DC,0.01589879982105595
IN,DE,0.0011943426662488219
IN,HI,0.002656036156495307
IN,ID,0.024790654470255906
IN,LA,0.14231688276210372
IN,MD,0.5501673800711542
IN,WV,0.05677493327890784
IN,WY,0.1185269051211773
KS,AK,0.005353399896979334
KS,AR,0.0070118343600592105
KS,AZ,0.005415692836684728
KS,CA,0.008839230176386067
KS,CO,0.005411258220756388
KS,CT,0.005396111059030085
KS,DC,0.03526483451975621
KS,DE,0.02213943968324936
KS,FL,0.015239457301800778
KS,GA,0.015228453460917123
KS,HI,0.09186737488798591
KS,ID,0.010040708582458452
KS,LA,0.49774632975613103
KS,MA,0.011809736631252695
KS,MD,0.005434971576405706
KS,MS,0.0054072973374232804
KS,MT,0.009736316550810517
KS,NC,0.013311245587724313
KS,ND,0.005411981130661136
KS,NE,0.009705093729703834
KS,OH,0.0054195083911801065
KS,SC,0.007978446087399739
KS,SD,0.02039869852151793
KS,TN,0.005413198485454108
KS,TX,0.05368414084353503
KS,UT,0.005411313228839176
KS,VA,0.005967123603168108
KS,WA,0.013049705083489155
KS,WI,0.016676311383245726
KS,WV,0.07479176416660992
KS,WY,0.00543902291938497
ME,AK,0.2834183454801737
ME,AZ,0.009327131807804954
ME,CO,0.0038802833889791115
ME,CT,0.0022921186934550864
ME,DC,0.005465940359874416
ME,DE,0.006713962536541974
ME,FL,0.0014681751467596935
ME,GA,0.003273160010275903
ME,HI,0.0067417539830365684
ME,LA,0.039592366789704125
ME,MA,0.0016378539186418391
ME,MD,0.01144618316554184
ME,MT,0.004268126050861168
ME,NC,0.0013955521320725126
ME,ND,0.004168859632931859
ME,NE,0.01274199518950598
ME,OH,0.0029362225686059514
ME,SD,0.004218098316813622
ME,TN,0.0042565834477248056
ME,UT,0.0066314881822444015
ME,VA,0.016904944416002703
ME,WA,0.0017887771087510952
ME,WI,0.0024218551244320264
ME,WV,0.2905804513264499
ME,WY,0.2707102230329824
NH,HI,0.2304907959115278
NH,LA,0.015187027160086132
NH,WV,0.7543221769284529
NM,LA,0.5295166297575344
NM,MD,0.235540987573257
NM,WY,0.2349423826690889
RI,DE,0.03428847063978866
RI,FL,0.017777835889790913
RI,GA,0.04350835861923446
RI,LA,0.24134889686976282
RI,MD,0.38606190573419524
RI,TX,0.06205256998675667
RI,VA,0.07311435019411211
RI,WI,0.003985251548809703
RI,WV,0.052992655436662546
RI,WY,0.08342421937932672
VT,AK,0.5051491196268583
VT,CO,0.0012277099851576384
VT,CT,0.004322373479433769
VT,HI,0.0016786851904067274
VT,LA,0.0014911971524359832
VT,MD,0.2610465108519858
VT,ND,0.0013572764163017833
VT,TN,0.0010016211566497542
VT,UT,0.11341822349550566
VT,WV,0.0031716878525343433
VT,WY,0.1060892968207044
