treated_state,pre_rmspe,actual_2024,synthetic_2024,gap_2024
AL,0.00030733378784510206,10.857554890271805,13.31699578619324,-2.4594408959214356
IA,0.5256981368799282,20.083369119367404,21.999625664821338,-1.9162565454539333
IL,1.2938163572271784e-06,17.545021863614913,17.36092053320789,0.18410133040702448
IN,2.507156041098448e-07,24.84014571922692,26.67168227131088,-1.831536552083957
KS,1.5652958604615164e-06,19.962256859374822,17.510364816409137,2.451892042965685
ME,0.00022942585243083486,36.93918628452995,36.330915096251374,0.6082711882785787
NH,0.493454759681658,25.97527948265192,28.92573234173931,-2.950452859087388
NM,1.2373282308987055,23.65912829256202,23.766951968298294,-0.10782367573627383
RI,0.0002989721540177734,19.598888077762634,22.26593972143226,-2.6670516436696268
VT,6.1283910700218345e-06,40.40136130999101,39.35205459005486,1.0493067199361477
