term,coef,se,t,p,n,df,dropped_treated_state,model_status
treated_post_selection_2024,0.974739667334644,0.5332952675420504,1.827767330145651,0.07524239741329142,160,39,AL,ok
treated_post_selection_2024,0.7193581710241923,0.5761386324121585,1.24858520251004,0.21926025097842294,160,39,IA,ok
treated_post_selection_2024,0.8160568781293847,0.5756948623640585,1.4175163467297467,0.16427234002009783,160,39,IL,ok
treated_post_selection_2024,0.6825516370091076,0.5714284177878022,1.1944656859235352,0.23951001152393214,160,39,IN,ok
treated_post_selection_2024,0.5394123230287845,0.5255058404694393,1.0264630409186746,0.3109980363926139,160,39,KS,ok
treated_post_selection_2024,0.7266358285993505,0.5767485404322,1.2598832552828463,0.21519872700611664,160,39,ME,ok
treated_post_selection_2024,0.9971091411358025,0.5226470192508376,1.907806041953629,0.06379882081699151,160,39,NH,ok
treated_post_selection_2024,0.5927552035024192,0.5480763419140502,1.0815194128473722,0.2861084611667972,160,39,NM,ok
treated_post_selection_2024,0.8272385281837603,0.5744482481899498,1.4400575348438032,0.15783086995374296,160,39,RI,ok
treated_post_selection_2024,0.778025550097233,0.5780729056600834,1.3458952019362158,0.1861084922993177,160,39,VT,ok
