covariate,n,treated_mean,control_mean,std_diff,method,sample_definition
overall_rating_apr2022,14666,3.239637305699482,3.077960676726109,0.11459903805545152,raw,raw treated-control balance
overall_rating_apr2022,14358,3.039785101869322,3.121094922855507,-0.05761867574144596,iptw,propensity-score IPTW balance
staffing_rating_apr2022,14409,3.7096985583224114,2.7063572149344095,0.7998787581705173,raw,raw treated-control balance
staffing_rating_apr2022,14358,3.1942046007583094,3.2569360751279106,-0.05010840763479284,iptw,propensity-score IPTW balance
health_inspection_rating_apr2022,14666,2.3808290155440415,2.8466697149824722,-0.3665389708994759,raw,raw treated-control balance
health_inspection_rating_apr2022,14358,2.5215208794320376,2.5830417457797163,-0.048460038561898136,iptw,propensity-score IPTW balance
qm_rating_apr2022,14623,3.733160621761658,3.6752809847847696,0.047480277364625276,raw,raw treated-control balance
qm_rating_apr2022,14358,3.7045581678749637,3.705400959664672,-0.0006918162719248228,iptw,propensity-score IPTW balance
certified_beds,14888,106.91273432449903,107.06723633910501,-0.0025967359447469584,raw,raw treated-control balance
certified_beds,14358,104.79835548729336,106.58592546534959,-0.030146598066904163,iptw,propensity-score IPTW balance
avg_residents_per_day,14821,75.34822236586942,77.41262618653006,-0.04424397970562845,raw,raw treated-control balance
avg_residents_per_day,14358,74.16927867366206,75.53360619879214,-0.029288389850445753,iptw,propensity-score IPTW balance
