outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,design,sample_definition
post_weekend_rn_lt8_day_share,155,5,0,791,-0.0697427398232307,0.04549845291708843,0.1257123258702355,0.07349890849890849,0.05883696782730599,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_weekend_rn_lt8_days,155,5,0,791,-1.8695213909473505,1.2023565374113425,0.12037642608992072,1.9391233766233766,1.553174603174603,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_zero_rn_day_share,155,5,0,791,-0.02922406251398066,0.015062862196338829,0.05271956166447622,0.012985175194026127,0.0123579687100256,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_zero_rn_days,155,5,0,791,-2.687714102233177,1.3812379914421036,0.05202560557858216,1.1883116883116882,1.1299171842650104,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_weekend_p10_total_hprd,155,5,0,791,0.02321438913974417,0.1473057474048783,0.8748177588222885,2.611742611673984,2.593762856307843,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_weekend_p25_total_hprd,155,5,0,791,-0.03438413712162199,0.1428343107222915,0.8098290708464928,2.760025183699517,2.738385624249623,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_worst_weekend_total_hprd,155,5,0,791,0.07242313144770647,0.15565931306731243,0.641869022958502,2.384006611481155,2.3732748196584463,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_worst_weekend_rn_hprd,155,5,0,791,0.01358449752076688,0.029695171307696822,0.6474632099167807,0.1413997871696896,0.14091140570934635,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_weekend_share_total_hours,155,5,0,791,-0.003030974472398161,0.0035710374970030854,0.3962697161247868,0.25027428291468595,0.2502070873594571,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_contract_share_total_hours,155,5,0,791,0.04698521070403608,0.035692191921619286,0.18842298202304386,0.09763922271753421,0.09308244954161918,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_avg_daily_census,155,5,0,791,33.30138121985892,11.893433387239535,0.005235773342865624,87.29392798497223,89.93851471981141,RD,July 2022 facilities with valid V3 score and post-quarter outcome
post_occupancy,155,5,0,791,0.01674548438614515,0.050166003648637755,0.7386183153881083,0.7656625522575711,0.7683595809549116,RD,July 2022 facilities with valid V3 score and post-quarter outcome
