outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,diagnostic,sample_definition
pre_weekend_rn_lt8_day_share,155,10,0,1282,-0.03643354684943133,0.016833907922729294,0.03062641010535594,0.06712266628467746,0.06261400791602134,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_days,155,10,0,1282,-0.9472722180852127,0.43768160599095535,0.03062641010535372,1.7451893234016138,1.6279642058165547,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_day_share,155,10,0,1282,-0.0046994009964109636,0.004708773194707975,0.3184636100447149,0.010709020675824984,0.010808812657368244,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_days,155,10,0,1282,-0.42578796817987746,0.4291850751156138,0.3213439791568553,0.9761018001241466,0.9854586129753915,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p10_total_hprd,155,10,0,1282,0.01177599103585707,0.06015901994142859,0.8448387491298168,2.6047960349079213,2.634115716317529,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p25_total_hprd,155,10,0,1282,-0.0026465372881492146,0.06128825721503753,0.9655633582146241,2.763365620316294,2.79004050281799,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_total_hprd,155,10,0,1282,0.05743881484000232,0.06111447814608534,0.347468980181024,2.381341276111699,2.4183109814111594,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_rn_hprd,155,10,0,1282,-0.009379164818241635,0.01627833739199836,0.5645986108418755,0.1552167621486312,0.15966017884969605,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_share_total_hours,155,10,0,1282,-0.0004295754928926621,0.0016526199388806786,0.7949549749363642,0.24557359901457948,0.24642843480592633,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_contract_share_total_hours,155,10,0,1282,0.0017897599000074992,0.014739583755077841,0.9033731853790581,0.07655466399179857,0.06620300313271679,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_avg_daily_census,155,10,0,1282,12.825569468485773,5.797169802086101,0.02711637102250153,85.0229794090615,83.32198150529344,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_occupancy,155,10,0,1282,-0.010236148316763411,0.02058651818294368,0.6191153465733465,0.706233743747282,0.7116866670303698,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_day_share,155,20,0,2380,-0.006418583662478918,0.010617959982224258,0.5455673070712335,0.06602867906185442,0.06172714078374456,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_days,155,20,0,2380,-0.16688317522445187,0.2760669595378253,0.5455673070712257,1.7167456556082148,1.6049056603773586,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_day_share,155,20,0,2380,0.0005217205304692891,0.0030850304156474686,0.8657217008377935,0.010989397610044633,0.010258268635627127,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_days,155,20,0,2380,0.047647404448524916,0.2814843671788778,0.8655971566803256,1.0017377567140602,0.9349685534591197,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p10_total_hprd,155,20,0,2380,-0.014848345088408132,0.03854985035865292,0.700144038194275,2.5916675550283395,2.6848136291265208,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p25_total_hprd,155,20,0,2380,-0.02345954475149189,0.038960532334992304,0.5471409708827148,2.7482477936133365,2.8436804462559997,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_total_hprd,155,20,0,2380,0.0069393651904959,0.039289114968886305,0.8598195030608187,2.3732830964608977,2.4639907086632475,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_rn_hprd,155,20,0,2380,-0.01016414146556632,0.010869692060958124,0.34983689046983235,0.15199450176186047,0.16697782863536167,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_share_total_hours,155,20,0,2380,0.0004794510211208168,0.0010537310287894567,0.6491484857138845,0.24609621454108063,0.24641913354228812,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_contract_share_total_hours,155,20,0,2380,-0.009525684179744975,0.008990617982086493,0.28947352383148295,0.07111018894103191,0.06591051708586279,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_avg_daily_census,155,20,0,2380,2.7021288753642283,3.812377932858211,0.47853190517238375,84.9042820795448,82.03353312111884,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_occupancy,155,20,0,2380,-0.005001959122507506,0.013149784991594252,0.7036948818881705,0.7017001312072502,0.7119530828317389,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_day_share,205,10,0,1497,-0.04810636467797259,0.015589931793928804,0.002067822405987796,0.051271860095389504,0.046740222143447946,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_rn_lt8_days,205,10,0,1497,-1.2507654816272853,0.4053382266421726,0.002067822405988906,1.3330683624801272,1.2152457757296466,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_day_share,205,10,0,1497,-0.006677837982859161,0.0045807533219527335,0.1451050343577096,0.008838156472427573,0.008743306123590635,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_zero_rn_days,205,10,0,1497,-0.6090559615402145,0.41718022972066193,0.1445183545864004,0.8060413354531001,0.7964669738863288,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p10_total_hprd,205,10,0,1497,0.051874963233386105,0.06242043470355373,0.4060740952172328,2.8271957576261837,2.9202796342398023,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_p25_total_hprd,205,10,0,1497,0.0523582525745011,0.06299362593218549,0.4060119327147278,2.9821372247062534,3.076130802849997,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_total_hprd,205,10,0,1497,0.030731560125872862,0.06338270666655699,0.6278487895494029,2.6112801338932066,2.691110544262409,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_worst_weekend_rn_hprd,205,10,0,1497,0.06969603848113529,0.017910572836369598,0.00010408232687053598,0.19102534655628184,0.2123083956595042,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
pre_weekend_share_total_hours,205,10,0,1497,0.0009526997759363566,0.0017603471992116424,0.5884505285831143,0.24789871604341998,0.24720933640270948,pre_outcome_discontinuity,pre-period outcome discontinuity around V3 reconstructed staffing score cutoff
