snapshot_date,diagnostic_type,diagnostic_group,n,match_rate,mismatch_count,proxy_used_share,sample_definition
2022-01-27,state,AK,17,1.0,0,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,AL,218,0.5045871559633027,108,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,AR,213,0.5492957746478874,96,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,AZ,138,0.572463768115942,59,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,CA,1095,0.4940639269406393,554,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,CO,208,0.4375,117,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,CT,200,0.53,94,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,DC,16,0.8125,3,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,DE,39,0.6153846153846154,15,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,FL,679,0.5743740795287187,289,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,GA,348,0.5488505747126436,157,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,HI,41,0.8292682926829268,7,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,IA,404,0.5371287128712872,187,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,ID,77,0.5064935064935064,38,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,IL,662,0.5498489425981873,298,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,IN,512,0.478515625,267,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,KS,279,0.5519713261648745,125,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,KY,272,0.49264705882352944,138,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,LA,248,0.657258064516129,85,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,MA,358,0.5698324022346368,154,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,MD,216,0.5694444444444444,93,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,ME,88,0.5909090909090909,36,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,MI,414,0.5748792270531401,176,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,MN,342,0.6140350877192983,132,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,MO,468,0.5448717948717948,213,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,MS,175,0.5771428571428572,74,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,MT,65,0.5846153846153846,27,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,NC,406,0.5467980295566502,184,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,ND,76,0.5657894736842105,33,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,NE,177,0.5310734463276836,83,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,NH,68,0.5147058823529411,33,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,NJ,346,0.6242774566473989,130,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,NM,64,0.375,40,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,NV,61,0.6721311475409836,20,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,NY,593,0.554806070826307,264,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,OH,913,0.5005476451259584,456,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,OK,270,0.5703703703703704,116,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,OR,118,0.559322033898305,52,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,PA,663,0.5414781297134238,304,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,PR,5,0.6,2,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,RI,72,0.4722222222222222,38,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,SC,186,0.6236559139784946,70,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,SD,87,0.6896551724137931,27,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,TN,297,0.5555555555555556,132,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,TX,1138,0.6511423550087874,397,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,UT,88,0.4659090909090909,47,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,VA,253,0.5098814229249012,124,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,VT,33,0.6060606060606061,13,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,WA,187,0.5240641711229946,89,0.0,valid emulator-star comparisons by diagnostic subgroup
2022-01-27,state,WI,329,0.5775075987841946,139,0.0,valid emulator-star comparisons by diagnostic subgroup
