outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,design,sample_definition
delta_weekend_rn_lt8_day_share,155,5,0,787,-0.0386107855941302,0.058905375742379196,0.5123568649877259,-0.0045436909581646435,-0.007840316241282426,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_days,155,5,0,787,-1.0611095226577858,1.543968039296269,0.4921215703696755,-0.09007675438596487,-0.18043478260869567,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_day_share,155,5,0,787,-0.02002930683989855,0.019256965262943286,0.29861118998328706,0.0007952377285186208,-0.000275402326442024,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_days,155,5,0,787,-1.8560473950258705,1.7612317325445475,0.29228361065534036,0.07883771929824557,-0.021911663216011033,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p10_total_hprd,155,5,0,787,0.14804550708479097,0.13781455353835365,0.28304735253306745,0.0029583675568729743,-0.01779729462189972,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p25_total_hprd,155,5,0,787,0.15348568898956483,0.12655321006118614,0.2255661621590037,-0.011714792108858263,-0.03385613568924716,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_total_hprd,155,5,0,787,0.11279666478973407,0.15561430360525438,0.4687620365643066,0.007020015713952501,-0.01952430734253424,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_rn_hprd,155,5,0,787,0.0072849226357151525,0.031262545312005056,0.8158036877068624,-0.015109680524481332,-0.006466716645440312,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_share_total_hours,155,5,0,787,0.007140585233372644,0.0032146634648802376,0.026619032596258085,0.004307918911634226,0.004188030966819661,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_contract_share_total_hours,155,5,0,787,-0.0017685799700390727,0.029410115097727712,0.9520633860670809,0.027280905695006564,0.028863894885191952,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_avg_daily_census,155,5,0,787,4.120290597255614,3.4956513091646766,0.23887954517421517,7.1590461092402595,7.39716574812218,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_occupancy,155,5,0,787,0.01893330289801863,0.03592345825522347,0.5983111629804387,0.05991517372970188,0.06156205448134965,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_day_share,155,10,0,1275,-0.0023689629574762607,0.02078887697345775,0.9092927409774978,-0.00461355463789921,-0.007254955637321813,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_days,155,10,0,1275,-0.08005328299013095,0.5448987832082385,0.8832231671175093,-0.09678526841448193,-0.16844354475933423,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_day_share,155,10,0,1275,-0.003544826268147725,0.006587536391268579,0.5905945833585178,-0.000640065054451962,0.00017478880003083476,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_days,155,10,0,1275,-0.33209919853263886,0.6021659370717025,0.5813825780558257,-0.05499375780274657,0.018128654970760192,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p10_total_hprd,155,10,0,1275,-0.02765606892343348,0.054385845490631246,0.6111798193230937,0.012701640038362398,-0.023275220626995243,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p25_total_hprd,155,10,0,1275,-0.027095074846223352,0.05197817913500881,0.6022640215796193,-0.0023435094634965147,-0.03424809796607033,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_total_hprd,155,10,0,1275,-0.05309541972573048,0.06009635925501379,0.37713069014709477,0.016127031244768615,-0.027725668915816754,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_rn_hprd,155,10,0,1275,0.015164201654875403,0.013920105971565438,0.27619548870997157,-0.010593689575023442,-0.011251085419364973,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_share_total_hours,155,10,0,1275,0.0001569112856117631,0.0014844265459633347,0.9158331047685344,0.004383912051782169,0.0037398799303282543,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_contract_share_total_hours,155,10,0,1275,0.005561654779836754,0.014026633362980365,0.6917977905983517,0.025302508943178138,0.028667417152040915,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_avg_daily_census,155,10,0,1275,3.2430054212503316,1.7537352296389939,0.0646611490534661,8.295336316810017,7.3870952427758745,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_occupancy,155,10,0,1275,0.018596693831631553,0.014352979786127621,0.19532520983476642,0.06685807793567529,0.06285681617147522,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_day_share,155,15,0,1831,-0.004156241872671787,0.015279348039773072,0.7856397107534312,-0.005041328572974145,-0.007238101102654421,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_days,155,15,0,1831,-0.11846895467420171,0.40070833986365684,0.7675318701641891,-0.10858649789029531,-0.16737111751520972,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_day_share,155,15,0,1831,-0.001701918576163986,0.005019358836706006,0.7345952780159812,2.7833776733061166e-05,0.001202056952485052,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_days,155,15,0,1831,-0.16063973307362267,0.45904875708603415,0.7264237169309213,0.004978902953586503,0.11248799231508164,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p10_total_hprd,155,15,0,1831,-0.030401778138565632,0.039962816323812066,0.4469035923222553,0.008896167963465897,-0.027586265011520537,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p25_total_hprd,155,15,0,1831,-0.027335658996592425,0.03834809806702525,0.4760422426452584,-0.006455008328274609,-0.03937489662735025,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_total_hprd,155,15,0,1831,-0.050979891714982156,0.04435833723456987,0.2505933693304163,0.011374579157178741,-0.03241041638471041,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_rn_hprd,155,15,0,1831,0.00944702709716139,0.011022518787650365,0.3915207643421881,-0.009693200073866069,-0.014045446814336018,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_share_total_hours,155,15,0,1831,-0.001391545913822019,0.001175218622412606,0.23653776176249686,0.003703942079455662,0.0041245238219884605,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_contract_share_total_hours,155,15,0,1831,0.009684356195767335,0.010749999554319562,0.367775974565304,0.02966665607709029,0.028880377157235362,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_avg_daily_census,155,15,0,1831,0.04255495217186636,1.2411301126067602,0.9726518285163825,8.137641573086812,7.618413577246639,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_occupancy,155,15,0,1831,-0.0002743875021705176,0.010413823755260013,0.9789823352060516,0.06663749330368506,0.06555009847375545,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_day_share,155,20,0,2365,-0.01116356926485422,0.012497606094936473,0.3718108058141383,-0.009232675808462276,-0.005555885341346338,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_days,155,20,0,2365,-0.29794511473393037,0.32745260691516875,0.3629745887354825,-0.2186685732443597,-0.12348024316109418,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_day_share,155,20,0,2365,-0.002724775648979616,0.004105760626190974,0.5069810747704468,-0.0008598670962412828,0.0015410359155403422,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_days,155,20,0,2365,-0.2509719903852935,0.37529309968902114,0.5037293029805943,-0.07564346997140135,0.1439083080040527,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p10_total_hprd,155,20,0,2365,-0.03704932017305296,0.034234088631285554,0.2792587516612075,0.0025944461784997864,-0.02796808987314848,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p25_total_hprd,155,20,0,2365,-0.032158630752701194,0.0332761615497216,0.3339348025742921,-0.011552815872342127,-0.038633400526032785,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_total_hprd,155,20,0,2365,-0.05656306687380856,0.037599652682823066,0.13262482336249248,0.001855163975455321,-0.033101471574298505,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_rn_hprd,155,20,0,2365,0.006147840453468776,0.009247893929236913,0.5062543756452169,-0.007686882872936354,-0.013557371267175544,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_share_total_hours,155,20,0,2365,-7.406244558114586e-05,0.0009970407349168201,0.9407920800380218,0.003908010693462584,0.004154631998675353,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_contract_share_total_hours,155,20,0,2365,0.0014604545694211638,0.009295820234588428,0.8751725861086745,0.02809849817470706,0.02900338428676581,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_avg_daily_census,155,20,0,2365,-0.0011594355328763198,1.1092242647232555,0.9991660860467051,8.185897336707217,7.365612397953401,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_occupancy,155,20,0,2365,0.0007223296193974471,0.00881807606944788,0.9347215275337566,0.06638398894764264,0.06258004477309373,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_day_share,155,30,0,3496,-0.005083650565721912,0.00980552871014206,0.6041790202159127,-0.010628036700180992,-0.007706686676671672,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_days,155,30,0,3496,-0.13240993618045496,0.257026811350773,0.606473815083522,-0.2531062124248497,-0.17982324495581126,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_day_share,155,30,0,3496,0.0002816983144846103,0.003399976818226731,0.9339731665734798,-0.0009247174901672306,0.00027498046328113554,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_days,155,30,0,3496,0.024978789478532142,0.3107819962230906,0.935944417599341,-0.08155199287463819,0.028239119559779906,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p10_total_hprd,155,30,0,3496,-0.010658718346316388,0.028252319449882653,0.7059967899643353,0.016767744546269846,-0.02906530331152007,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p25_total_hprd,155,30,0,3496,-0.004283173811067296,0.027630516589543918,0.8768176155229317,0.004307612418072709,-0.040429631614971845,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_total_hprd,155,30,0,3496,-0.02350580833030624,0.03069566897113419,0.443865196403638,0.01560500005161862,-0.034163532576274004,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_rn_hprd,155,30,0,3496,0.0005461459408671053,0.007580758769324866,0.9425712532226755,-0.008205667801956952,-0.015177691659101766,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_share_total_hours,155,30,0,3496,0.0004727094237486209,0.0008490751115760322,0.5777445053270964,0.004531969228767905,0.004330930490467602,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_contract_share_total_hours,155,30,0,3496,0.006616301211340227,0.007773435317422926,0.394748556722025,0.02994246629641557,0.02795745032394812,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_avg_daily_census,155,30,0,3496,-0.6369292921905174,0.9040579800648584,0.4811543532884124,8.050748468086331,7.351684027411239,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_occupancy,155,30,0,3496,-0.001966849068664784,0.007155487322121586,0.7834302009315444,0.0661554556719058,0.0623916446368405,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_day_share,205,5,0,848,0.02807021736449488,0.027306156246455045,0.30425314706547857,-0.013064393902811985,-0.0016212079840771845,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_days,205,5,0,848,0.7047978509768017,0.7125163895411413,0.3228648267142451,-0.31677966101694915,-0.026853526220614817,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_day_share,205,5,0,848,0.002572699927952744,0.009563356795630081,0.787982800756813,-0.0012974430656818277,0.0010374122460371383,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_days,205,5,0,848,0.2293151770327585,0.8729565121608617,0.7928551941885815,-0.11384180790960455,0.0975286317058469,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p10_total_hprd,205,5,0,848,-0.09354002241488044,0.10173383441310131,0.3581185886372087,-0.00941940487814769,-0.08439960333820404,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p25_total_hprd,205,5,0,848,-0.09457378388621626,0.10119311194180765,0.3502684013084161,-0.01936295204162249,-0.09383157011948579,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_total_hprd,205,5,0,848,-0.02183542261347162,0.09780095543131015,0.8233841472760057,-0.024656942682575667,-0.0846512603497321,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_rn_hprd,205,5,0,848,-0.024350466669649143,0.021381203629989885,0.2550794448193079,-0.006206670023905368,-0.022789068901572892,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_share_total_hours,205,5,0,848,-0.00012444721653776176,0.0028565483335768467,0.9652609845285496,0.005298301810237391,0.005020368070779707,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_contract_share_total_hours,205,5,0,848,0.0421773407796603,0.026062247418865335,0.1059649163913563,0.02639564721840689,0.027329636567178937,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_avg_daily_census,205,5,0,848,-2.8856633043369566,4.585602972017378,0.5293310480898017,5.771564894370347,7.689724764574793,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_occupancy,205,5,0,848,0.0015820472069223435,0.020316667729159344,0.937950378383714,0.048609947318011194,0.06788295719698313,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_day_share,205,10,0,1482,0.030446775223930196,0.013420368322917903,0.02343031444096133,-0.0033193724596391277,0.0007839101705301602,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_rn_lt8_days,205,10,0,1482,0.7779056511912966,0.3507822214642246,0.02673157392856762,-0.06575999999999999,0.03794243485025284,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_day_share,205,10,0,1482,0.005039065823912529,0.004893417072148117,0.3032891831179405,-7.997069597069562e-05,0.0012684283521633226,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_zero_rn_days,205,10,0,1482,0.4569889947984901,0.44648081057778155,0.30622217935430696,-0.0040800000000000185,0.11894204589653835,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p10_total_hprd,205,10,0,1482,-0.12115022049578329,0.05264603238035152,0.021517652076173732,-0.042616333917739335,-0.08592590317076569,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_p25_total_hprd,205,10,0,1482,-0.11979520937530652,0.05228096383276196,0.022081951979351144,-0.05181176843245821,-0.09338205071010117,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_total_hprd,205,10,0,1482,-0.099025071419863,0.053728485923234745,0.06551970701615795,-0.052116916705416065,-0.08613064939473794,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_worst_weekend_rn_hprd,205,10,0,1482,-0.029883732493708917,0.012690097263348136,0.018658533055699422,-0.016430454631499638,-0.026160900572958327,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_weekend_share_total_hours,205,10,0,1482,-0.0012084354955425375,0.0016164298972805647,0.45482318626595397,0.00522550353453294,0.004900154774402795,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
delta_contract_share_total_hours,205,10,0,1482,0.013756706674113758,0.01316339913397274,0.29616034274612946,0.026368683392875777,0.027691555111850955,RD_DID,post-minus-pre facility outcomes around V3 reconstructed staffing score cutoff
