source_name,source_url_or_local_path,snapshot_date,file_name,field_name,field_label_if_available,possible_role,usable_for_july2022,missingness,notes,final_decision,n_rows_checked,sample_definition
Provider Data Catalog archive API,https://data.cms.gov/provider-data/api/1/archive/aggregate/theme/nursing-homes,2023-01-02,Theme: nursing-homes (2023-01-02) Snapshot,archive_zip_url,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2023-01-02.zip,archive_manifest,no_not_july_snapshot,,id=7371; size=38552816; access=public,source_manifest_only,,official CMS archive API records for requested nursing-home snapshots
Provider Data Catalog archive API,https://data.cms.gov/provider-data/api/1/archive/aggregate/theme/nursing-homes,2022-10-27,Theme: nursing-homes (2022-10-27) Snapshot,archive_zip_url,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2022-10-27.zip,archive_manifest,no_not_july_snapshot,,id=7356; size=42226542; access=public,source_manifest_only,,official CMS archive API records for requested nursing-home snapshots
Provider Data Catalog archive API,https://data.cms.gov/provider-data/api/1/archive/aggregate/theme/nursing-homes,2022-07-27,Theme: nursing-homes (2022-07-27) Snapshot,archive_zip_url,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2022-07-27.zip,archive_manifest,yes_archive_manifest,,id=7341; size=41847068; access=public,source_manifest_only,,official CMS archive API records for requested nursing-home snapshots
Provider Data Catalog archive API,https://data.cms.gov/provider-data/api/1/archive/aggregate/theme/nursing-homes,2022-04-27,Theme: nursing-homes (2022-04-27) Snapshot,archive_zip_url,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2022-04-27.zip,archive_manifest,no_not_july_snapshot,,id=7326; size=40689529; access=public,source_manifest_only,,official CMS archive API records for requested nursing-home snapshots
Provider Data Catalog archive API,https://data.cms.gov/provider-data/api/1/archive/aggregate/theme/nursing-homes,2022-01-27,Theme: nursing-homes (2022-01-27) Snapshot,archive_zip_url,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2022-01-27.zip,archive_manifest,no_not_july_snapshot,,id=7311; size=40861897; access=public,source_manifest_only,,official CMS archive API records for requested nursing-home snapshots
Provider Data Catalog archived ZIP CSV header,D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\nursing_home_staffing_reporting\temp\raw_downloads\provider_archives\nursing_homes_2022-01-27.zip,2022-01-27,nursing_homes_including_rehab_services_01_2022/FY_2022_SNF_VBP_Aggregate_Performance.csv,Range of Performance Scores,Range of Performance Scores,unrelated_score_field,no_not_july_snapshot,,CSV header scan; field recorded as candidate by keyword search.,not_official_score,,all candidate CSV headers in requested Provider Data Catalog ZIP snapshots
Provider Data Catalog archived ZIP CSV header,D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\nursing_home_staffing_reporting\temp\raw_downloads\provider_archives\nursing_homes_2022-01-27.zip,2022-01-27,nursing_homes_including_rehab_services_01_2022/FY_2022_SNF_VBP_Facility_Performance.csv,Achievement Score,Achievement Score,unrelated_score_field,no_not_july_snapshot,,CSV header scan; field recorded as candidate by keyword search.,not_official_score,,all candidate CSV headers in requested Provider Data Catalog ZIP snapshots
Provider Data Catalog archived ZIP CSV header,D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\nursing_home_staffing_reporting\temp\raw_downloads\provider_archives\nursing_homes_2022-01-27.zip,2022-01-27,nursing_homes_including_rehab_services_01_2022/FY_2022_SNF_VBP_Facility_Performance.csv,Footnote -- Achievement Score,Footnote -- Achievement Score,unrelated_score_field,no_not_july_snapshot,,CSV header scan; field recorded as candidate by keyword search.,not_official_score,,all candidate CSV headers in requested Provider Data Catalog ZIP snapshots
Provider Data Catalog archived ZIP CSV header,D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\nursing_home_staffing_reporting\temp\raw_downloads\provider_archives\nursing_homes_2022-01-27.zip,2022-01-27,nursing_homes_including_rehab_services_01_2022/FY_2022_SNF_VBP_Facility_Performance.csv,Improvement Score,Improvement Score,unrelated_score_field,no_not_july_snapshot,,CSV header scan; field recorded as candidate by keyword search.,not_official_score,,all candidate CSV headers in requested Provider Data Catalog ZIP snapshots
Provider Data Catalog archived ZIP CSV header,D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\nursing_home_staffing_reporting\temp\raw_downloads\provider_archives\nursing_homes_2022-01-27.zip,2022-01-27,nursing_homes_including_rehab_services_01_2022/FY_2022_SNF_VBP_Facility_Performance.csv,Footnote -- Improvement Score,Footnote -- Improvement Score,unrelated_score_field,no_not_july_snapshot,,CSV header scan; field recorded as candidate by keyword search.,not_official_score,,all candidate CSV headers in requested Provider Data Catalog ZIP snapshots
