source_name,official_source,download_access_date,file_period,row_count,column_count,checksum,status
CMS data.json catalog,https://data.cms.gov/data.json,2026-07-07,catalog snapshot,158,,38fe8453bfefbef010c28ceadb9eaff00829e0f761bdfb93f32e3a3ced907188,saved temp\raw_downloads\cms_data_json_2026-07-07.json
Provider Data Catalog nursing homes archive manifest,https://data.cms.gov/provider-data/api/1/archive/aggregate/theme/nursing-homes,2026-07-07,2019-2026 archive manifest,94,,a17e6e44fedaeab2c25a36505fb9f93e662cd29f005497d2bfa4a7f6e0f272ba,saved temp\raw_downloads\provider_archive_nursing_homes_manifest_2026-07-07.json
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2020-10/PBJ_Nurse_2019_Q1_aayb-gfzp.csv,2026-07-07,2019-01-01/2019-03-31,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2020-10/PBJ_Nurse_2019_Q2_4juw-fxcf.csv,2026-07-07,2019-04-01/2019-06-30,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2020-10/PBJ_Nurse_2019_Q3_rqet-pmzi.csv,2026-07-07,2019-07-01/2019-09-30,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2020-10/PBJ_Nurse_2019_Q4_iwq5-t3v2.csv,2026-07-07,2019-10-01/2019-12-31,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2021-10/bbd1bc7d-46cf-4df5-99ff-ba18e7605ccb/PBJ_dailynursestaffing_CY2020Q1.csv,2026-07-07,2020-01-01/2020-03-31,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2020-11/PBJ_Nurse_Q2_2020_ym5d-ceq8.csv,2026-07-07,2020-04-01/2020-06-30,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2021-01/2qky-49qq.csv,2026-07-07,2020-07-01/2020-09-30,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2021-07/pbj_daily_nurse_staffing_cy_2020q4.csv,2026-07-07,2020-10-01/2020-12-31,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2022-02/472cc63b-d76f-4ae5-9258-0041843508f7/PBJ_dailynursestaffing_CY2021Q1.csv,2026-07-07,2021-01-01/2021-03-31,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2021-10/e4ca12be-7096-412c-a3ab-e67a1669e3aa/PBJ_dailynursestaffing_CY2021Q2.csv,2026-07-07,2021-04-01/2021-06-30,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2022-01/416c11d0-1ef7-4178-94a3-6b4ebeef4677/PBJ_dailynursestaffing_CY2021Q3.csv,2026-07-07,2021-07-01/2021-09-30,,,,official URL recorded; streamed during panel construction
Payroll Based Journal Daily Nurse Staffing,https://data.cms.gov/sites/default/files/2022-04/2adf6f4d-f402-4a6c-a428-e0156e6c2fdf/PBJ_dailynursestaffing_CY2021Q4.csv,2026-07-07,2021-10-01/2021-12-31,,,,official URL recorded; streamed during panel construction
