project,dataset_path,format,size_mb,row_count,column_count,profile_basis,profile_rows,status,error
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,csv,2.9581,3232,78,full_file,3232,ok,
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.parquet,parquet,0.5018,3232,78,full_file,3232,ok,
988_telecom_fee_crisis_performance,data/covariates_state_month.csv,csv,0.366,3232,9,full_file,3232,ok,
988_telecom_fee_crisis_performance,data/covariates_state_month.parquet,parquet,0.0104,3232,9,full_file,3232,ok,
988_telecom_fee_crisis_performance,data/fcc_annual_fee_revenue_state_year.csv,csv,0.0012,20,6,full_file,20,ok,
988_telecom_fee_crisis_performance,data/fcc_annual_fee_revenue_state_year.parquet,parquet,0.0045,20,6,full_file,20,ok,
988_telecom_fee_crisis_performance,data/fee_schedule_state_month.csv,csv,0.2615,3304,15,full_file,3304,ok,
988_telecom_fee_crisis_performance,data/fee_schedule_state_month.parquet,parquet,0.0142,3304,15,full_file,3304,ok,
988_telecom_fee_crisis_performance,data/mechanism_state_year.csv,csv,0.0664,336,26,full_file,336,ok,
988_telecom_fee_crisis_performance,data/mechanism_state_year.parquet,parquet,0.0376,336,26,full_file,336,ok,
988_telecom_fee_crisis_performance,data/outcomes_988_state_month.csv,csv,0.7769,3232,16,full_file,3232,ok,
988_telecom_fee_crisis_performance,data/outcomes_988_state_month.parquet,parquet,0.2459,3232,16,full_file,3232,ok,
988_telecom_fee_crisis_performance,data/state_population_state_year.csv,csv,0.0119,312,6,full_file,312,ok,
988_telecom_fee_crisis_performance,data/state_population_state_year.parquet,parquet,0.0072,312,6,full_file,312,ok,
988_telecom_fee_crisis_performance,data/treatment_timing_state.csv,csv,0.0109,56,13,full_file,56,ok,
988_telecom_fee_crisis_performance,data/treatment_timing_state.parquet,parquet,0.0112,56,13,full_file,56,ok,
