download_priority_order,queue_role,country,wave,idno,catalog_id,title,nation,year_start,year_end,repositoryid,doi,authoring_entity,published,created,changed,varcount,total_downloads,data_access_type,version,metadata_status,source_saved_path,source_sha256
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,Socio-Economic Panel Survey 2021-2022,Ethiopia,2021,2022,lsms,,Ethiopian Statistical Service (ESS),1,2024-01-25T09:08:47-05:00,2025-09-29T13:52:19-04:00,2587,39799,public,Version 02 (April 2025),catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/catalog_idno_json.json,b19f5ef68297ff3bb5d31805a84d3c1fc8e231a9b88fdab006ebc80274c88f7e
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,Socioeconomic Survey 2018-2019,Ethiopia,2018,2019,lsms,https://doi.org/10.48529/3gma-7g23,Central Statistics Agency of Ethiopia,1,2020-12-18T11:22:03-05:00,2025-09-05T09:42:21-04:00,2550,104726,public,Version 04 (September 2025).,catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/catalog_idno_json.json,781b38d9f5be4561c876f69efa9adfb55da024d34fda40749b064acacb92b85a
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2307,Second Integrated Household Survey 2004-2005,Malawi,2004,2005,lsms,https://doi.org/10.48529/2ked-2t88,National Statistical Office,1,2015-06-09T14:58:28-04:00,2020-01-30T16:44:27-05:00,1901,20050,public,Version 3.0 (May 2015).,catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/3_MWI_2004_IHS-II_v01_M/catalog_idno_json.json,aeade564951a1185d484d1409f1861950dc8beb8cb2cc4d2d45e79645151f772
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,"General Household Survey, Panel 2012-2013, Wave 2",Nigeria,2012,2013,lsms,https://doi.org/10.48529/kxpy-aa72,National Bureau of Statistics (NBS),1,2014-02-12T16:01:58-05:00,2020-04-20T10:39:34-04:00,3016,166147,public,Version 02 (January 2019). Version 03: The survey report included in the documentation.,catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/4_NGA_2012_GHSP-W2_v02_M/catalog_idno_json.json,d1884d4a4dbc01e7c20f434514d02029ecd3ec9b6d12a7d20e86971d756eba03
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,"General Household Survey, Panel 2015-2016, Wave 3",Nigeria,2015,2016,lsms,https://doi.org/10.48529/7xmj-q133,National Bureau of Statistics (NBS),1,2016-12-12T11:41:04-05:00,2020-01-30T16:47:56-05:00,2907,220548,public,Version 02 (January 2019),catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/5_NGA_2015_GHSP-W3_v02_M/catalog_idno_json.json,4ee545a5e7392b86a7cf948668219d314f6620ee472fa63a210ddb9464a5cd94
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1002,"General Household Survey, Panel 2010-2011, Wave 1",Nigeria,2010,2011,lsms,https://doi.org/10.48529/y9e2-b753,National Bureau of Statistics,1,2012-04-30T11:29:48-04:00,2020-04-20T10:33:26-04:00,2596,285902,public,Version 01: (March 2012) Version 02: (November 2013) The revisions include: 1) Additional data cleaning including checks of the paper questionnaires and consistency checks between the two visits. Labels in the data fi...,catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/6_NGA_2010_GHSP-W1_v03_M/catalog_idno_json.json,c4fb2c66e05d4fcc73641aa2eb216c27de51fec9b012a9a2c2716e7e0455b808
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,76,"National Panel Survey 2008-2009, Wave 1",Tanzania,2008,2009,lsms,https://doi.org/10.48529/hz8s-3489,National Bureau of Statistics,1,2011-03-23T16:48:30-04:00,2020-04-14T09:30:54-04:00,2198,35386,public,Version 03,catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/7_TZA_2008_NPS-R1_v03_M/catalog_idno_json.json,0af0e6eec56bb2947304263185bdab3fce255730014bac28e62ee015472bfbed
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1050,"National Panel Survey 2010-2011, Wave 2",Tanzania,2010,2011,lsms,https://doi.org/10.48529/jm20-c742,National Bureau of Statistics,1,2012-10-10T13:31:53-04:00,2019-03-13T14:45:53-04:00,2062,40849,public,Version 03 (Wave 2: Anonymous dataset for public distribution).,catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/8_TZA_2010_NPS-R2_v03_M/catalog_idno_json.json,c76e7e112c165af28f31c49360c72c024fcc14b0d6106499660c75063133d11e
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2252,"National Panel Survey 2012-2013, Wave 3",Tanzania,2012,2013,lsms,https://doi.org/10.48529/7vqv-5f71,National Bureau of Statistics,1,2015-04-28T13:40:17-04:00,2020-01-30T16:54:13-05:00,2139,55214,public,Version 01 (April 2015),catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/9_TZA_2012_NPS-R3_v01_M/catalog_idno_json.json,40a9264fec49c0dd84fc02b10effd90e471ea1960e7e5365920097d45a16d517
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,3902,National Panel Survey 2019-2020,Uganda,2019,2020,lsms,https://doi.org/10.48529/nqzx-f196,Uganda Bureau of Statistics,1,2021-04-21T12:48:48-04:00,2021-05-11T07:57:14-04:00,1963,33931,public,Version 03 Updated to include consumption aggregate dataset (pov2019_20.dta).,catalog_json_parsed,temp/source_snapshots/priority_lsms_isa_public_documentation/10_UGA_2019_UNPS_v03_M/catalog_idno_json.json,3ba3dc9496bb392fcacc07857ea929270c8126e590ccf4cebf9760111e629918
