download_priority_order,queue_role,country,wave,idno,requirement,source_profile,actual_member_name,variable_name,variable_role,raw_variable_label,has_value_labels,row_count,nonmissing_count,missing_count,distinct_nonmissing_count,duplicate_if_key_count,numeric_min,numeric_max,top_values,possible_missing_codes,detected_recall_period,detected_unit_or_scale,possible_skip_pattern,raw_profile_status,documentation_match_status,documentation_file_name,documentation_code_match,documentation_label_term_hits,documentation_context,mechanical_raw_check_decision,final_verification_decision,remaining_blocker,next_action
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,cons_agg_wave3_visit1.dta,ea,,Enumeration area,1,4590,4590,0,400,,0,7586,0=0. Moved:295; 634:37; 1354:30; 18:29; 284:29; 100:29; 156:26; 526:26; 516:26; 296:24,96; 998,,,,value_profile_available_needs_semantics_review,weak_label_term_found_needs_manual_confirmation,,,area,,mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,cons_agg_wave3_visit1.dta,hhweight,,Household cross sect weight,0,4590,4590,0,442,,612.196,37188.3,4230.03:30; 5177.78:29; 14868.3:23; 4322.39:20; 4686.3:20; 6075.45:20; 4970.83:20; 6543.64:20; 2862.55:20; 2939.56:20,,,survey_weight,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,cross; sect; weight,"p to the head of household? Does [NAME] still live in this household? IF NO, CROSS OUT THE INDIVIDUAL ID IN THE FLAP AND ►Q28. AFTER COMPLETING SECTION 1, NO OTHER SECTIONS SHOULD BE ANSWERED FOR THIS PERSON. I N D I V I D U A L I D MALE....1 YES...1 FEMALE..2 NO...2 (►Q28) YE...",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit1.dta,totcons,,Total consumption per capita,0,4590,4590,0,4590,,8127.42,7.44175e+06,287572:1; 467778:1; 268448:1; 300255:1; 215451:1; 497756:1; 286830:1; 880883:1; 305877:1; 138562:1,,,local_currency_amount_needs_unit_confirmation,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,consumption; capita,PRISE AND INCOME GENERATING ACTIVITIES 37 10 A: MEALS AWAY FROM HOME 44 B: FOOD CONSUMPTION AND EXPENDITURE 45 C: AGGREGATE FOOD CONSUMPTION 51 11 NON-FOOD EXPENDITURE 52 12 FOOD SECURITY 55 13 OTHER HOUSEHOLD INCOME 56 14 SAFETY NETS 58 15 A. ECONOMIC SHOCKS 60 B. DEATHS 61 C...,mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit1.dta,nfdfoth,,Expenditures on frequent non-food not mentioned elsewhere,0,4590,4590,0,438,,0,2.02981e+06,0:2975; 608.333:53; 6083.33:49; 1216.67:40; 1520.83:35; 405.556:34; 1216.67:34; 2027.78:31; 912.5:30; 3041.67:30,,,local_currency_amount_needs_unit_confirmation,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,expenditures; non-food; mentioned,"ons to church, mosque, other religious group 429 Repairs of footwear 432 Health expenditures (excluding insurance) 430 Tailoring charges 417 laundry and dry cleaning 418 Bowls, glassware, plates, silverware, etc. 419 Cooking utensils (cookpots, stirring spoons and wisks, etc.)...",mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit1.dta,fdfishpr,,Fish and seafood auto-consumption,0,4590,4590,0,420,,0,275210,0:4138; 6517.86:6; 5214.29:4; 10428.6:3; 4345.24:3; 1629.46:3; 8690.48:3; 10428.6:3; 4562.5:3; 20857.1:2,,,local_currency_amount_needs_unit_confirmation,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,fish; seafood,"this household practice any agricultural activity such as crop, livestock or fish farming AG2. Does a member of this household own land that was not cultivated AG3. AGRICULTURE QUESTIONNAIRE REQUIRED? YES.....1 NO.....2 YES.....1 NO.....2 YES.....1 NO.....2 VERSION 1 [DAY / MO...",mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit1.dta,fdothpr,,Food items not mentioned above auto-consumption,0,4590,4590,0,1258,,0,357473,0:3019; 260.714:11; 391.071:11; 651.786:10; 130.357:9; 521.429:9; 325.893:7; 417.143:7; 434.524:7; 65.1786:7,,,local_currency_amount_needs_unit_confirmation,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,food; items; mentioned; above,on 2 EDUCATION Section 3 LABOUR Section 4/4B HEALTH/ CHILD DEVT Section 10A/B/C FOOD EXPENDITURE Section 11 NON-FOOD EXPENDITURE Section 12 FOOD SECURITY Section 13 OTHER HOUSEHOLD INCOME Section 14 SAFETY NETS Section 13 OTHER HOUSEHOLD INCOME Section 14 SAFETY NETS Section 1...,mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,value_profile,cons_agg_wave3_visit1.dta,fdrestby,,Food consumed in restaurants & canteens purchased,0,4590,4590,0,2717,,0,3.06949e+06,0:896; 2607.14:35; 5214.29:29; 1303.57:19; 10428.6:17; 2085.71:17; 6952.38:16; 3910.71:15; 3476.19:14; 7821.43:14,,,,,value_profile_available_needs_documentation_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,food; consumed; purchased,on 2 EDUCATION Section 3 LABOUR Section 4/4B HEALTH/ CHILD DEVT Section 10A/B/C FOOD EXPENDITURE Section 11 NON-FOOD EXPENDITURE Section 12 FOOD SECURITY Section 13 OTHER HOUSEHOLD INCOME Section 14 SAFETY NETS Section 13 OTHER HOUSEHOLD INCOME Section 14 SAFETY NETS Section 1...,mechanical_amount_profile_available_needs_unit_recall_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm unit, currency, recall period, aggregation scope, and missing codes."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,value_profile,cons_agg_wave3_visit1.dta,ea,,Enumeration area,1,4590,4590,0,400,,0,7586,0=0. Moved:295; 634:37; 1354:30; 18:29; 284:29; 100:29; 156:26; 526:26; 516:26; 296:24,96; 998,,,,value_profile_available_needs_semantics_review,weak_label_term_found_needs_manual_confirmation,,,area,,mechanical_geography_profile_available_needs_linkage_policy,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,Confirm geography quality and CHIRPS/ERA5 linkage route.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,cons_agg_wave3_visit2.dta,ea,,Enumeration area,1,4579,4579,0,402,,0,7586,0=0. Moved:329; 634:37; 284:29; 1354:29; 18:29; 100:28; 156:26; 516:26; 526:26; 296:24,96; 998,,,,value_profile_available_needs_semantics_review,weak_label_term_found_needs_manual_confirmation,,,area,,mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,value_profile,cons_agg_wave3_visit2.dta,hhweight,,Household cross sect weight,0,4579,4579,0,444,,612.196,37188.3,4230.03:30; 5177.78:29; 5352.87:27; 14868.3:23; 6075.45:20; 6107.8:20; 2714.58:20; 7421.49:20; 4400.15:20; 3053.9:20,,,survey_weight,,value_profile_available_needs_semantics_review,label_terms_found_needs_manual_confirmation,PH_W3_Household_Quest.pdf,,cross; sect; weight,"p to the head of household? Does [NAME] still live in this household? IF NO, CROSS OUT THE INDIVIDUAL ID IN THE FLAP AND ►Q28. AFTER COMPLETING SECTION 1, NO OTHER SECTIONS SHOULD BE ANSWERED FOR THIS PERSON. I N D I V I D U A L I D MALE....1 YES...1 FEMALE..2 NO...2 (►Q28) YE...",mechanical_raw_profile_available_needs_documentation,blocked_manual_acceptance_required,official documentation and reviewer acceptance still required before raw_value_verified,"Confirm raw labels, valid ranges, missing codes, units, recall periods, and skip patterns."
