candidate_row_id,idno,concept,candidate_raw_variable,candidate_files,ddi_variable_name,ddi_file_name,category_index,category_value,category_label,category_frequency,category_missing_flag,category_truncation_status
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,1,0,,28,,truncated_after_10_per_candidate
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,2,1,,9,,truncated_after_10_per_candidate
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,3,2,,5,,truncated_after_10_per_candidate
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,4,3,,21,,truncated_after_10_per_candidate
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,5,4,,1,,truncated_after_10_per_candidate
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,6,5,,1,,truncated_after_10_per_candidate
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,7,7,,2,,truncated_after_10_per_candidate
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,8,9,,1,,truncated_after_10_per_candidate
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,9,10,,3,,truncated_after_10_per_candidate
1,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q28,sect04_com_w5.dta,cs4q28,sect04_com_w5.dta,10,11,,1,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,1,0,,5,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,2,1,,2,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,3,2,,2,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,4,3,,3,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,5,7,,2,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,6,8,,2,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,7,10,,1,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,8,11,,1,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,9,15,,2,,truncated_after_10_per_candidate
2,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q30,sect04_com_w5.dta,cs4q30,sect04_com_w5.dta,10,40,,2,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,1,0,,13,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,2,1,,11,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,3,2,,5,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,4,3,,19,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,5,4,,5,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,6,5,,12,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,7,6,,10,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,8,7,,12,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,9,8,,11,,truncated_after_10_per_candidate
3,ETH_2021_ESPS-W5_v02_M,care_or_barrier,cs4q37,sect04_com_w5.dta,cs4q37,sect04_com_w5.dta,10,9,,6,,truncated_after_10_per_candidate
4,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10a,sect3_hh_w5.dta,s3q10a,sect3_hh_w5.dta,1,1,1. HOSPITAL,698,,complete_for_candidate
4,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10a,sect3_hh_w5.dta,s3q10a,sect3_hh_w5.dta,2,2,2. HEALTH CENTER,1115,,complete_for_candidate
4,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10a,sect3_hh_w5.dta,s3q10a,sect3_hh_w5.dta,3,3,3. HEALTH POST,108,,complete_for_candidate
4,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10a,sect3_hh_w5.dta,s3q10a,sect3_hh_w5.dta,4,4,4. CLINICS,501,,complete_for_candidate
4,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10a,sect3_hh_w5.dta,s3q10a,sect3_hh_w5.dta,5,5,5. PHARMACY,187,,complete_for_candidate
4,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10a,sect3_hh_w5.dta,s3q10a,sect3_hh_w5.dta,6,6,6. TRADITIONAL HEALER HOME,48,,complete_for_candidate
4,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10a,sect3_hh_w5.dta,s3q10a,sect3_hh_w5.dta,7,7,7. PATIENT'S HOME,41,,complete_for_candidate
4,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10a,sect3_hh_w5.dta,s3q10a,sect3_hh_w5.dta,8,8,8. OTHER (SPECIFY),15,,complete_for_candidate
4,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10a,sect3_hh_w5.dta,s3q10a,sect3_hh_w5.dta,9,Sysmiss,,19975,Y,complete_for_candidate
5,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10b,sect3_hh_w5.dta,s3q10b,sect3_hh_w5.dta,1,1,1. HOSPITAL,126,,complete_for_candidate
5,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10b,sect3_hh_w5.dta,s3q10b,sect3_hh_w5.dta,2,2,2. HEALTH CENTER,179,,complete_for_candidate
5,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10b,sect3_hh_w5.dta,s3q10b,sect3_hh_w5.dta,3,3,3. HEALTH POST,21,,complete_for_candidate
5,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10b,sect3_hh_w5.dta,s3q10b,sect3_hh_w5.dta,4,4,4. CLINICS,87,,complete_for_candidate
5,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10b,sect3_hh_w5.dta,s3q10b,sect3_hh_w5.dta,5,5,5. PHARMACY,33,,complete_for_candidate
5,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10b,sect3_hh_w5.dta,s3q10b,sect3_hh_w5.dta,6,6,6. TRADITIONAL HEALER HOME,2,,complete_for_candidate
5,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10b,sect3_hh_w5.dta,s3q10b,sect3_hh_w5.dta,7,7,7. PATIENT'S HOME,4,,complete_for_candidate
5,ETH_2021_ESPS-W5_v02_M,care_or_barrier,s3q10b,sect3_hh_w5.dta,s3q10b,sect3_hh_w5.dta,8,8,8. OTHER (SPECIFY),0,,complete_for_candidate
