download_rank,country,wave,idno,catalog_id,official_get_microdata_url,credentialed_download_url,local_target_folder,run_mode,cookie_file_present,header_file_present,request_attempted,response_classification,http_status,final_url,content_type,content_length_header,content_disposition,bytes_read_or_saved,content_sha256_limited,saved_path,next_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/catalog/6161/download,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/catalog/3823/download,temp/raw_downloads/ETH_2018_ESS_v04_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/catalog/1952/download,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/catalog/2734/download,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1002,https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/catalog/1002/download,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,76,https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/catalog/76/download,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1050,https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/catalog/1050/download,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2252,https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/catalog/2252/download,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,3902,https://microdata.worldbank.org/catalog/3902/get-microdata,https://microdata.worldbank.org/catalog/3902/download,temp/raw_downloads/UGA_2019_UNPS_v03_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,1000,https://microdata.worldbank.org/catalog/1000/get-microdata,https://microdata.worldbank.org/catalog/1000/download,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,dry_run,0,0,0,blocked_missing_worldbank_session,,,,,,0,,,"Create temp/private/worldbank_session_cookies.txt or temp/private/worldbank_session_headers.txt from a logged-in World Bank Microdata browser session, then rerun with --probe.",blocked_no_data_write,blocked
