download_priority_order,queue_role,country,wave,idno,survey_name,official_get_microdata_url,local_target_folder,candidate_family,alignment_priority,metadata_feasibility_score,metadata_requirement_score,metadata_core_evidence_summary,supersedes_idno,current_plan_status,download_scope,raw_package_status,next_manual_action,post_download_commands,handoff_readme
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,lsms_isa_socioeconomic_survey,selected_refocused_core_or_backup,5,7,household_person_keys=hit;weights_and_design=hit;consumption_or_income=hit;oop_health_expenditure=missing;health_need_and_access=hit;survey_timing=hit;climate_geography=hit,,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,lsms_isa_socioeconomic_survey,selected_refocused_core_or_backup,5,7,household_person_keys=hit;weights_and_design=hit;consumption_or_income=hit;oop_health_expenditure=missing;health_need_and_access=hit;survey_timing=hit;climate_geography=hit,,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,https://microdata.worldbank.org/catalog/2307/get-microdata,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,lsms_isa_integrated_household_survey,selected_refocused_core_or_backup,5,7,household_person_keys=hit;weights_and_design=hit;consumption_or_income=hit;oop_health_expenditure=missing;health_need_and_access=hit;survey_timing=hit;climate_geography=hit,MWI_2007-2009_MTM_v01_M,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/MWI_2004_IHS-II_v01_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,lsms_isa_general_household_panel,selected_refocused_core_or_backup,5,7,household_person_keys=hit;weights_and_design=hit;consumption_or_income=hit;oop_health_expenditure=missing;health_need_and_access=hit;survey_timing=hit;climate_geography=hit,,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,lsms_isa_general_household_panel,selected_refocused_core_or_backup,5,7,household_person_keys=hit;weights_and_design=hit;consumption_or_income=hit;oop_health_expenditure=missing;health_need_and_access=hit;survey_timing=hit;climate_geography=hit,,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,lsms_isa_general_household_panel,selected_refocused_core_or_backup,5,7,household_person_keys=hit;weights_and_design=hit;consumption_or_income=hit;oop_health_expenditure=missing;health_need_and_access=hit;survey_timing=hit;climate_geography=hit,,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,lsms_isa_national_panel_survey,selected_refocused_core_or_backup,2,1,household_person_keys=missing;weights_and_design=missing;consumption_or_income=missing;oop_health_expenditure=missing;health_need_and_access=missing;survey_timing=hit;climate_geography=missing,,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,lsms_isa_national_panel_survey,selected_refocused_core_or_backup,5,7,household_person_keys=hit;weights_and_design=hit;consumption_or_income=hit;oop_health_expenditure=missing;health_need_and_access=hit;survey_timing=hit;climate_geography=hit,,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,lsms_isa_national_panel_survey,selected_refocused_core_or_backup,5,7,household_person_keys=hit;weights_and_design=hit;consumption_or_income=hit;oop_health_expenditure=missing;health_need_and_access=hit;survey_timing=hit;climate_geography=hit,,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,National Panel Survey 2019-2020,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,lsms_isa_national_panel_survey,selected_refocused_core_or_backup,4,5,household_person_keys=hit;weights_and_design=hit;consumption_or_income=missing;oop_health_expenditure=missing;health_need_and_access=hit;survey_timing=hit;climate_geography=hit,UGA_2014_SAGE-EL_v01_M,selected_in_refocused_plan,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,Download the complete unchanged official package and all documentation through the official credentialed route.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/UGA_2019_UNPS_v03_M/_PRIORITY_LSMS_ISA_REFOCUSED_ACQUISITION.md
