download_rank,country,wave,idno,official_get_microdata_url,local_target_folder,target_readme_path,target_readme_sha256,expected_file_rows,missing_expected_file_rows,priority_core_file_rows,requirement_rows,blocked_requirement_rows,ready_requirement_rows,top_expected_files,post_download_commands,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,bff4a2663dbb702c417a8da2287889db91090a571574212aa558257b8b6a2cf6,68,68,25,7,7,0,sect_cover_hh_w5.dta;sect6b2_hh_w5.dta;sect6b3_hh_w5.dta;sect6b4_hh_w5.dta;sect6c_hh_w5.dta;sect7a_hh_w5.dta;sect7b_hh_w5.dta;sect8_hh_w5.dta;sect1_hh_w5.dta;sect12b1_hh_w5.dta;sect04_com_w5.dta;sect3_hh_w5.dta;sect10a_com_w5.dta;sect_cover_pp_w5.dta;sect1_pp_w5.dta;sect2_pp_w5.dta;sect3_pp_w5.dta;sect4_pp_w5.dta;sect_cover_ph_w5.dta;sect1_ph_w5.dta;...5 more,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,2620ebdbf3cdbcbfd6862cfc91bc011db2fa542bfdecf335f9cb73d4a3c0661d,68,68,23,7,7,0,sect_cover_hh_w4.dta;sect6b2_hh_w4.dta;sect7a_hh_w4.dta;sect9_hh_w4.dta;sect1_hh_w4.dta;sect10b_hh_w4.dta;sect10d1_hh_w4.dta;sect11b1_hh_w4.dta;sect12b1_hh_w4.dta;sect15b_hh_w4.dta;sect_cover_ls_w4.dta;sect8_3_ls_w4.dta;sect_cover_ph_w4.dta;sect3_hh_w4.dta;sect1_ph_w4.dta;sect_cover_pp_w4.dta;sect1_pp_w4.dta;sect2_pp_w4.dta;sect3_pp_w4.dta;sect04_com_w4.dta;...3 more,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,c2fc6f98a214c6247a049620a6b60611fdd001373a5fcfcab0ffc2831832ea22,103,103,16,7,7,0,secta7_harvestw2;secta10_harvestw2;cons_agg_wave2_visit1;cons_agg_wave2_visit2;HHTrack;secta_harvestw2;NGA_HouseholdGeovars_Y2;sect1_plantingw2;sect8a_plantingw2;sect8e_plantingw2;sect11a_plantingw2;sect11a1_plantingw2;sect12_plantingw2;sect1_harvestw2;sect4a_harvestw2;sect4b_harvestw2,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,60992fc956e678efe7b34210969085169622474750e63c462be14d0f23a25b09,104,104,18,7,7,0,sect7a_plantingw3;sectc1_harvestw3;sect7b_plantingw3;sectc2_harvestw3;HHTrack;cons_agg_wave3_visit1;cons_agg_wave3_visit2;secta_harvestw3;sect8a_plantingw3;sect11a_plantingw3;sect1_plantingw3;sect11a1_plantingw3;sect3_plantingw3;sect12_plantingw3;sect1_harvestw3;sect4a_harvestw3;secta10_harvestw3;NGA_HouseholdGeovars_Y3,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,209ac608313f06f1055c8a058694c126e4cf0e2751fe056e9c09c0dde8b6b36d,99,99,16,7,7,0,secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1;secta9b2_harvestw1;secta10_harvestw1;secta41_harvestw1;NGA_HouseholdGeovariables_Y1;sect3a_harvestw1;sect4a_harvestw1;sect4b_harvestw1;secta_harvestw1;sectc_plantingw1;cons_agg_wave1_visit1;cons_agg_wave1_visit2,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,9b591c81e4ef4259448315ea414dbd0face88d54116657fd5c4d63f567f9acce,61,61,22,7,7,0,SEC_A_T_Swahili_Labels;SEC_L_Swahili_Labels;SEC_M_Swahili_Labels;SEC_R_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_Swahili_Labels;Agriculture SEC_1_ALL_Swahili_Labels;SEC_2A_Swahili_Labels;SEC_2B_Swahili_Labels;nps_weights_oct2010;HH.Geovariables_Y1;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG;SECTCH;SECTCI;SEC_A_T_English_Labels;SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_I_English_Labels;SEC_2A_English_Labels;SEC_2B_English_Labels;...2 more,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,bc4b5cf642857ea682639ba12d5594a4e0f06525c82101938473b2fce7b74eb8,95,95,23,7,7,0,AG_SEC7A;AG_SEC7B;AG_SEC10B;Plot.Geovariables_Y2;COMSEC_CA;COMSEC_CB;COMSEC_CD;TZY2.EA.Offsets;FS_C1;FS_H2;FS_J1;FS_J3;FS_N2;HH_SEC_A;HH_SEC_B;HH_SEC_C;HH_SEC_D;HH_SEC_E1;HH_SEC_G;HH_SEC_L;...3 more,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,c07e3ff4ea32e84d57a654a5321a96a0ca033d687ec6c63d20a4310f8a139b45,80,80,23,7,7,0,AG_SEC_08.NSDstat;AG_SEC_01.NSDstat;AG_SEC_11.NSDstat;AG_SEC_12A.NSDstat;AG_SEC_A.NSDstat;COM_SEC_A1A2.NSDstat;COM_SEC_CB.NSDstat;COM_SEC_CD.NSDstat;AG_SEC_2A.NSDstat;COM_SEC_CG.NSDstat;ConsumptionNPS3.NSDstat;HH_SEC_A.NSDstat;HH_SEC_B.NSDstat;HH_SEC_D.NSDstat;AG_SEC_2B.NSDstat;HH_SEC_G.NSDstat;HH_SEC_K.NSDstat;HH_SEC_L.NSDstat;LF_NETWORK.NSDstat;LF_SEC_01.NSDstat;...3 more,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,temp/raw_downloads/UGA_2019_UNPS_v03_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,f5221f86eb724943b8f2feaa343cce14a2895c5706219d3e71067f34bb175c09,109,109,27,7,7,0,AGSEC5A.NSDstat;GSEC15C.NSDstat;GSEC15D.NSDstat;GSEC17_1.NSDstat;GSEC19.NSDstat;pov2019_20.NSDstat;AGSEC9A.NSDstat;CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat;CSEC2C_0.NSDstat;CSEC3_0.NSDstat;CSEC3A.NSDstat;CSEC4B.NSDstat;CSEC4L.NSDstat;GSEC1.NSDstat;GSEC2.NSDstat;GSEC5.NSDstat;...7 more,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,temp/raw_downloads/NPL_2010_LSS-III_v01_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,a2a16550e80bf086f1fe80aecb54679fb7429155c1bfa5d298982c44b27e12c7,51,51,20,7,7,0,anthro;S06B;S06C;S06D;S08;S09B;S09D;FINAL_PREF;S10B;S12;S15D;S01;S19;S21;S21x;sys;S00;S03;S04;S06A,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,blocked_no_data_write,blocked
