promotion_rank,promotion_tier,country,wave,idno,registry_analysis_ready_status,registry_rows,raw_package_status,raw_value_verification_status,endpoint_refresh_status,credentialed_download_required,official_file_receipt_status,official_core_match_rate,receipt_gate_status,schema_gate_status,value_profile_gate_status,semantics_gate_status,climate_linkage_gate_status,data_write_gate_status,promotion_readiness_status,next_required_gate,blocking_reasons
1,current_promoted_registry,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,promoted_analysis_ready,11280,ready_for_raw_value_review,raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,official_file_receipt_complete_pending_schema_value_review,1.000,passed_promoted_registry,passed_promoted_registry,passed_promoted_registry,passed_promoted_registry,accepted_chirps_or_era5_route,open_promoted_registry_row,promoted_analysis_ready,none,
2,minimum_batch_remaining,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
3,minimum_batch_remaining,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
4,minimum_batch_remaining,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
5,minimum_batch_remaining,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
6,minimum_batch_remaining,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
7,minimum_batch_remaining,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
8,minimum_batch_remaining,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
9,minimum_batch_remaining,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
10,minimum_batch_remaining,Uganda,2019-2020,UGA_2019_UNPS_v03_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
11,minimum_batch_remaining,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,metadata_confirmed_raw_access_gate_confirmed,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
12,backup_after_minimum_batch,Jamaica,1997,JAM_1997_SLC_v01_M,not_promoted,0,blocked_no_original_package,blocked_not_raw_value_verified,not_in_minimum_endpoint_refresh,1,blocked_no_original_package,0.000,blocked_raw_package_not_received,not_started,not_started,not_started,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_data_write,blocked_at_raw_package_receipt,download_place_complete_official_raw_package,household_person_keys:blocked_raw_package_not_received; weights_and_design:blocked_raw_package_not_received; consumption_or_income:blocked_raw_package_not_received; oop_health_expenditure:blocked_raw_package_not_received; health_need_and_access:blocked_raw_package_not_received; survey_timing:blocked_raw_package_not_received; climate_geography:blocked_raw_package_not_received; missing_codes_units_recall_skip_patterns:blocked_raw_package_not_received
