acquisition_batch_rank,batch_role,country,wave,idno,survey_name,priority_country_required,current_survey_family,lsms_isa_alignment_status,alignment_risk,recommended_action,recommended_replacement_search,download_execution_status,raw_receipt_status,official_url,handoff_readme
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,1,lsms_isa_socioeconomic_survey,aligned_lsms_isa_or_lsms_panel,low,"Keep as a core candidate subject to raw package receipt, value/unit/key verification, and climate-linkage gates.",No family replacement needed before credentialed download.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,1,lsms_isa_socioeconomic_survey,aligned_lsms_isa_or_lsms_panel,low,"Keep as a core candidate subject to raw package receipt, value/unit/key verification, and climate-linkage gates.",No family replacement needed before credentialed download.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,"Marriage Transitions in Malawi 2007-2009, Panel Data",1,non_lsms_specialized_panel,off_family_needs_lsms_isa_replacement_or_augmentation,high,Do not treat the MTM specialized panel as the Malawi LSMS/ISA core wave. Replace or augment with Malawi IHS/IHPS before main downloads.,Prefer Malawi Integrated Household Survey or Integrated Household Panel Survey candidates already in country_wave_screening.csv.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",1,lsms_isa_general_household_panel,aligned_lsms_isa_or_lsms_panel,low,"Keep as a core candidate subject to raw package receipt, value/unit/key verification, and climate-linkage gates.",No family replacement needed before credentialed download.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",1,lsms_isa_general_household_panel,aligned_lsms_isa_or_lsms_panel,low,"Keep as a core candidate subject to raw package receipt, value/unit/key verification, and climate-linkage gates.",No family replacement needed before credentialed download.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",1,lsms_isa_general_household_panel,aligned_lsms_isa_or_lsms_panel,low,"Keep as a core candidate subject to raw package receipt, value/unit/key verification, and climate-linkage gates.",No family replacement needed before credentialed download.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",1,lsms_isa_national_panel_survey,aligned_lsms_isa_or_lsms_panel,low,"Keep as a core candidate subject to raw package receipt, value/unit/key verification, and climate-linkage gates.",No family replacement needed before credentialed download.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",1,lsms_isa_national_panel_survey,aligned_lsms_isa_or_lsms_panel,low,"Keep as a core candidate subject to raw package receipt, value/unit/key verification, and climate-linkage gates.",No family replacement needed before credentialed download.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",1,lsms_isa_national_panel_survey,aligned_lsms_isa_or_lsms_panel,low,"Keep as a core candidate subject to raw package receipt, value/unit/key verification, and climate-linkage gates.",No family replacement needed before credentialed download.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",1,non_lsms_social_protection_evaluation,off_family_needs_unps_lsms_isa_replacement_or_augmentation,high,Do not treat SAGE impact evaluation waves as the Uganda LSMS/ISA core wave. Replace or augment with Uganda UNPS before main downloads.,Prefer Uganda National Panel Survey candidates already in country_wave_screening.csv.,ready_for_manual_credentialed_download_no_raw_receipt,not_received_no_original_raw_package,https://microdata.worldbank.org/catalog/2654/get-microdata,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md
