download_priority_order,queue_role,country,wave,idno,review_source,requirement,actual_member_name,variable_name,variable_role,raw_variable_label,ddi_file_name,ddi_file_content,ddi_variable_label,ddi_interval_type,ddi_format_type,ddi_valid_count,ddi_invalid_count,ddi_range_min,ddi_range_max,ddi_category_count,ddi_categories_preview,raw_row_count,raw_nonmissing_count,raw_missing_count,raw_distinct_nonmissing_count,raw_numeric_min,raw_numeric_max,raw_top_values,raw_possible_missing_codes,raw_detected_recall_period,raw_detected_unit_or_scale,raw_possible_skip_pattern,documentation_recall_period,documentation_unit_or_scale,documentation_missing_code_evidence,documentation_skip_evidence,documentation_level_evidence,raw_vs_ddi_count_status,raw_vs_ddi_range_status,semantics_review_status,remaining_manual_review
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,weights_and_design,cons_agg_wave3_visit1.dta,ea,,Enumeration area,,,,,,,,,,,,4590,4590,0,400,0,7586,0=0. Moved:295; 634:37; 1354:30; 18:29; 284:29; 100:29; 156:26; 526:26; 516:26; 296:24,96; 998,,,,,,raw_possible_codes=96; 998,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,weights_and_design,cons_agg_wave3_visit1.dta,hhweight,,Household cross sect weight,,,,,,,,,,,,4590,4590,0,442,612.196,37188.3,4230.03:30; 5177.78:29; 14868.3:23; 4322.39:20; 4686.3:20; 6075.45:20; 4970.83:20; 6543.64:20; 2862.55:20; 2939.56:20,,,survey_weight,,,survey_weight,,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,consumption_or_income,cons_agg_wave3_visit1.dta,totcons,,Total consumption per capita,,,,,,,,,,,,4590,4590,0,4590,8127.42,7.44175e+06,287572:1; 467778:1; 268448:1; 300255:1; 215451:1; 497756:1; 286830:1; 880883:1; 305877:1; 138562:1,,,local_currency_amount_needs_unit_confirmation,,,money_amount_local_currency_needs_malawi_kwacha_confirmation,,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,consumption_or_income,cons_agg_wave3_visit1.dta,nfdfoth,,Expenditures on frequent non-food not mentioned elsewhere,,,,,,,,,,,,4590,4590,0,438,0,2.02981e+06,0:2975; 608.333:53; 6083.33:49; 1216.67:40; 1520.83:35; 405.556:34; 1216.67:34; 2027.78:31; 912.5:30; 3041.67:30,,,local_currency_amount_needs_unit_confirmation,,,money_amount_local_currency_needs_malawi_kwacha_confirmation,,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,consumption_or_income,cons_agg_wave3_visit1.dta,fdfishpr,,Fish and seafood auto-consumption,,,,,,,,,,,,4590,4590,0,420,0,275210,0:4138; 6517.86:6; 5214.29:4; 10428.6:3; 4345.24:3; 1629.46:3; 8690.48:3; 10428.6:3; 4562.5:3; 20857.1:2,,,local_currency_amount_needs_unit_confirmation,,,money_amount_local_currency_needs_malawi_kwacha_confirmation,,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,consumption_or_income,cons_agg_wave3_visit1.dta,fdothpr,,Food items not mentioned above auto-consumption,,,,,,,,,,,,4590,4590,0,1258,0,357473,0:3019; 260.714:11; 391.071:11; 651.786:10; 130.357:9; 521.429:9; 325.893:7; 417.143:7; 434.524:7; 65.1786:7,,,local_currency_amount_needs_unit_confirmation,,,money_amount_local_currency_needs_malawi_kwacha_confirmation,,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,consumption_or_income,cons_agg_wave3_visit1.dta,fdrestby,,Food consumed in restaurants & canteens purchased,,,,,,,,,,,,4590,4590,0,2717,0,3.06949e+06,0:896; 2607.14:35; 5214.29:29; 1303.57:19; 10428.6:17; 2085.71:17; 6952.38:16; 3910.71:15; 3476.19:14; 7821.43:14,,,,,,,,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,climate_geography,cons_agg_wave3_visit1.dta,ea,,Enumeration area,,,,,,,,,,,,4590,4590,0,400,0,7586,0=0. Moved:295; 634:37; 1354:30; 18:29; 284:29; 100:29; 156:26; 526:26; 516:26; 296:24,96; 998,,,,,,raw_possible_codes=96; 998,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,weights_and_design,cons_agg_wave3_visit2.dta,ea,,Enumeration area,,,,,,,,,,,,4579,4579,0,402,0,7586,0=0. Moved:329; 634:37; 284:29; 1354:29; 18:29; 100:28; 156:26; 516:26; 526:26; 296:24,96; 998,,,,,,raw_possible_codes=96; 998,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,raw_value_profile,weights_and_design,cons_agg_wave3_visit2.dta,hhweight,,Household cross sect weight,,,,,,,,,,,,4579,4579,0,444,612.196,37188.3,4230.03:30; 5177.78:29; 5352.87:27; 14868.3:23; 6075.45:20; 6107.8:20; 2714.58:20; 7421.49:20; 4400.15:20; 3053.9:20,,,survey_weight,,,survey_weight,,,,count_comparison_not_available,range_comparison_not_available,missing_ddi_documentation_for_profiled_variable,"confirm questionnaire skip universe, units, missing codes, recall period, merge level, and promotion decision before accepting"
