acquisition_batch_rank,batch_role,country,wave,idno,survey_name,catalog_id,official_get_microdata_url,login_url,register_url,terms_or_request_urls,pdf_documentation_url,ddi_metadata_url,json_metadata_url,data_dictionary_url,related_materials_url,local_target_folder,metadata_full_file_rows,priority_core_file_rows,receipt_original_file_rows,receipt_archive_files,receipt_raw_tabular_files,receipt_priority_targets_missing,complete_package_dossier_status,download_action,post_download_commands,handoff_readme
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/6161/pdf-documentation,https://microdata.worldbank.org/metadata/export/6161/ddi,https://microdata.worldbank.org/metadata/export/6161/json,https://microdata.worldbank.org/catalog/6161/data-dictionary,https://microdata.worldbank.org/catalog/6161/related-materials,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,68,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,3823,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/3823/pdf-documentation,https://microdata.worldbank.org/metadata/export/3823/ddi,https://microdata.worldbank.org/metadata/export/3823/json,https://microdata.worldbank.org/catalog/3823/data-dictionary,https://microdata.worldbank.org/catalog/3823/related-materials,temp/raw_downloads/ETH_2018_ESS_v04_M/,68,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,"Marriage Transitions in Malawi 2007-2009, Panel Data",3462,https://microdata.worldbank.org/catalog/3462/get-microdata,https://microdata.worldbank.org/catalog/3462/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,,https://microdata.worldbank.org/metadata/export/3462/ddi,https://microdata.worldbank.org/metadata/export/3462/json,https://microdata.worldbank.org/catalog/3462/data-dictionary,https://microdata.worldbank.org/catalog/3462/related-materials,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,118,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",1952,https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/1952/pdf-documentation,https://microdata.worldbank.org/metadata/export/1952/ddi,https://microdata.worldbank.org/metadata/export/1952/json,https://microdata.worldbank.org/catalog/1952/data-dictionary,https://microdata.worldbank.org/catalog/1952/related-materials,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,103,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",2734,https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/2734/pdf-documentation,https://microdata.worldbank.org/metadata/export/2734/ddi,https://microdata.worldbank.org/metadata/export/2734/json,https://microdata.worldbank.org/catalog/2734/data-dictionary,https://microdata.worldbank.org/catalog/2734/related-materials,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,104,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",1002,https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/1002/pdf-documentation,https://microdata.worldbank.org/metadata/export/1002/ddi,https://microdata.worldbank.org/metadata/export/1002/json,https://microdata.worldbank.org/catalog/1002/data-dictionary,https://microdata.worldbank.org/catalog/1002/related-materials,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,99,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",76,https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/76/pdf-documentation,https://microdata.worldbank.org/metadata/export/76/ddi,https://microdata.worldbank.org/metadata/export/76/json,https://microdata.worldbank.org/catalog/76/data-dictionary,https://microdata.worldbank.org/catalog/76/related-materials,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,61,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",1050,https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/1050/pdf-documentation,https://microdata.worldbank.org/metadata/export/1050/ddi,https://microdata.worldbank.org/metadata/export/1050/json,https://microdata.worldbank.org/catalog/1050/data-dictionary,https://microdata.worldbank.org/catalog/1050/related-materials,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,95,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",2252,https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/2252/pdf-documentation,https://microdata.worldbank.org/metadata/export/2252/ddi,https://microdata.worldbank.org/metadata/export/2252/json,https://microdata.worldbank.org/catalog/2252/data-dictionary,https://microdata.worldbank.org/catalog/2252/related-materials,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,80,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",2654,https://microdata.worldbank.org/catalog/2654/get-microdata,https://microdata.worldbank.org/catalog/2654/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/2654/pdf-documentation,https://microdata.worldbank.org/metadata/export/2654/ddi,https://microdata.worldbank.org/metadata/export/2654/json,https://microdata.worldbank.org/catalog/2654/data-dictionary,https://microdata.worldbank.org/catalog/2654/related-materials,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,35,12,0,0,0,12,blocked_official_access_required_no_original_package,"Use official account/login/terms workflow, download the complete unchanged raw package and all documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_OFFICIAL_DOWNLOAD_DOSSIER.md
