acquisition_batch_rank,batch_role,campaign_phase,threshold_role,country,wave,idno,requirement_id,mapped_concepts,selected_concepts,selected_variable_rows,missing_concepts,current_requirement_gate,raw_receipt_status,first_pass_requirement_status,post_download_requirement_action
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_merge_keys,household_id;demographics,household_id;demographics,4,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_survey_design,survey_weight;psu_cluster;strata,survey_weight;psu_cluster;strata,6,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,consumption_or_income_aggregate,total_consumption_or_income,total_consumption_or_income,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_health_expenditure,oop_health_expenditure,oop_health_expenditure,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,illness_need_care_access,health_need;care_or_barrier;insurance,health_need;care_or_barrier;insurance,5,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,survey_timing,survey_timing,1,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,geography_climate_linkage,climate_geography,climate_geography,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,15,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables."
2,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_merge_keys,household_id;demographics,household_id;demographics,4,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.
2,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_survey_design,survey_weight;psu_cluster;strata,survey_weight;psu_cluster;strata,6,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation."
2,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,consumption_or_income_aggregate,total_consumption_or_income,total_consumption_or_income,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Survey-team consumption/income aggregate or documented reconstruction variables are verified with units and period.
2,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,oop_health_expenditure,oop_health_expenditure,oop_health_expenditure,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"OOP health spending variables are verified with payer scope, units, recall period, zero/missing semantics, and aggregation level."
2,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,illness_need_care_access,health_need;care_or_barrier;insurance,health_need;care_or_barrier;insurance,5,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Illness/need denominator, care-seeking, forgone care, barrier categories, and insurance variables are verified."
2,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,survey_timing,survey_timing,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Interview date/month/year or fieldwork timing is verified and can support pre-interview lag windows.
2,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,geography_climate_linkage,climate_geography,climate_geography,2,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"GPS, cluster, EA, or admin geography is verified with geolocation quality, displacement/suppression, and boundary/crosswalk notes."
2,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,missing_skip_units_recall,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,household_id;survey_weight;total_consumption_or_income;oop_health_expenditure;health_need;care_or_barrier;survey_timing;climate_geography,16,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Missing codes, skip patterns, units, recall periods, valid ranges, and outlier handling are documented for all critical variables."
3,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,household_person_merge_keys,household_id;demographics,household_id;demographics,4,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,Household/person IDs and module-level keys match across raw files; key cardinality and duplicates are documented.
3,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,weights_and_survey_design,survey_weight;psu_cluster;strata,survey_weight;psu_cluster;strata,5,,blocked_raw_package_required,not_received_no_original_raw_package,blocked_raw_package_not_received,"Household/person weights, PSU/cluster, strata, and any design notes are verified from raw values and documentation."
