country,wave,idno,metric,source_member,variables,row_count,nonmissing_count,positive_count,zero_count,min,p25,median,p75,max,mean,evidence_status,interpretation
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,total_annual_household_expenditure_real,ihs2_pov.dta,rexpagg,11280,11280,11280,0,6544.07,47708,70396.9,108334,1.69055e+06,94976.1,raw_numeric_profile_available,"Candidate CHE denominator: survey-team total annual household expenditure, real local currency."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_oop_annual_household_expenditure_real,ihs2_pov.dta,rexp_cat06,11280,11280,7765,3515,0,0,268.336,1043.13,92343.3,1256.65,raw_numeric_profile_available,Candidate annual OOP health aggregate from poverty/consumption file.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_oop_real_component_sum,ihs2_exp.dta,rexp_cat061;rexp_cat062;rexp_cat063,11280,11280,7765,3515,0,0,268.336,1043.13,92343.3,1256.65,raw_numeric_profile_available,"Sum of real annual health drugs, outpatient, and hospitalization expenditure components."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,poverty_line_local_currency_per_person_year,ihs2_pov.dta,povline,11280,11280,11280,0,16165,16165,16165,16165,16165,16165,raw_numeric_profile_available,Survey poverty line candidate; not yet accepted as the current SDG societal poverty line.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_aggregate_matches_real_component_sum,ihs2_pov.dta;ihs2_exp.dta,rexp_cat06;rexp_cat061;rexp_cat062;rexp_cat063,11280,11280,9596,9593,0,0,0,0,0.00294495,2.53854e-05,raw_oop_aggregate_component_consistency_profile_available,positive_count is rows with absolute aggregate-component difference <= 1e-6.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,candidate_che_oop_share_of_total_consumption,ihs2_pov.dta,rexp_cat06;rexpagg,11280,11280,7765,3515,0,0,0.00381479,0.0131627,0.569895,0.0130803,candidate_che10_che25_share_profile_not_final_indicator,Candidate OOP/total-consumption share only; final CHE10/CHE25 still requires denominator and missing/unit policy signoff.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,individual_health_spend_past_4_weeks_all,sec_d.dta,d12,51292,50854,2095,48759,0,0,0,0,12000,10.6078,raw_numeric_profile_available,Health module raw individual health-spending candidate; not the annual household CHE aggregate.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,individual_medicine_spend_past_4_weeks_components,sec_d.dta,d13;d14,51292,50855,13657,37198,0,0,0,5,14000,10.6078,raw_numeric_profile_available,Health module raw medicine-spending components for need/access review.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,individual_hospitalization_cost_last_12_months,sec_d.dta,d16,51292,2036,981,1055,0,0,0,500,47000,623.667,raw_numeric_profile_available,Health module raw hospitalization cost candidate.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,individual_traditional_healer_cost_last_12_months,sec_d.dta,d19,51292,418,384,34,0,100,250,500,10000,486.569,raw_numeric_profile_available,Health module raw traditional-healer cost candidate.
