acquisition_batch_rank,batch_role,country,wave,idno,survey_name,official_url,local_target_folder,access_gate_detected,direct_raw_route_status,manual_action_status,folder_exists,original_file_count,ignored_generated_file_count,archive_file_count,raw_tabular_file_count,documentation_file_count,other_original_file_count,total_original_bytes,priority_file_targets,priority_targets_covered_direct_or_archive,priority_targets_missing,required_concepts_unverified,manual_verification_status,receipt_status,next_action,post_receipt_commands,promotion_stop_rule,handoff_readme
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,"Marriage Transitions in Malawi 2007-2009, Panel Data",https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",https://microdata.worldbank.org/catalog/2654/get-microdata,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,1,0,6,0,0,0,0,0,12,0,12,13,blocked_raw_module_coverage_missing,not_received_no_original_raw_package,"Complete the official access workflow, download the unchanged raw package plus documentation, and place original files in this folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until original package receipt, raw target coverage, manual value/unit/key review, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_RAW_PACKAGE_RECEIPT_LEDGER.md
