threshold_sequence_rank,country,wave,idno,catalog_id,file_id,file_name,file_description,case_quantity,variable_quantity,priority_core_target,current_receipt_status,source_saved_path,post_download_review_action
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F1,sect_cover_hh_w5.dta,Household Data - Cover page,4959,25,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F2,sect1_hh_w5.dta,Household Data - Roster,25374,63,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F3,sect2_hh_w5.dta,Household Data - Education,22688,43,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F4,sect3_hh_w5.dta,Household Data - Health,22688,69,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F5,sect3b_hh_w5.dta,Household Data - COVID-19,22688,23,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F6,sect4_hh_w5.dta,Household Data - Labor and time use,22688,82,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F7,sect5a_hh_w5.dta,Banking and financial inclusion,22688,91,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F8,sect5b_hh_w5.dta,Digital financial services,22688,60,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F9,sect6a_hh_w5.dta,Household Data - Food consumption last 7 days,366966,28,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F10,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),4959,13,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F11,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,7692,15,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F12,sect6b4_hh_w5.dta,Household Data - Food consumed outside home,39672,19,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F13,sect6c_hh_w5.dta,Household Data - Dietary quality,22688,47,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F14,sect7a_hh_w5.dta,"Household Data - Nonfood expenditure, one month",59508,15,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F15,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",64467,15,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F16,sect8_hh_w5.dta,Household Data - Food insecurity experience scale,4959,24,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F17,sect9_hh_w5.dta,Household Data - Shocks,94221,25,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F18,sect10a_hh_w5.dta,Household Data - Housing,4959,69,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F19,sect11_hh_w5.dta,Household Data - Assets,183483,17,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F20,sect12a_hh_w5.dta,Household Data - Nonfarm enterprises participation filter question,4959,20,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F21,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,1551,68,1,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F22,sect12b2_hh_w5.dta,Household Data - Nonfarm enterprises start-up barriers,3518,16,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F23,sect12c_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of the agriculture survey,1096,32,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F24,sect12c_q1_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of agriculture survey: filter question,2875,13,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F25,sect12d_hh_w5.dta,Household Data - Livestock for All Urban EAs and rural EAs that are not part of the agriculture survey,46000,21,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F26,sect12e_hh_w5.dta,Household Data - Perception of climate risk,49590,27,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F27,sect12f_hh_w5.dta,Household Data - Perception of climate risk: source of information,4959,17,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F28,sect13_hh_w5.dta,Household Data - Other income,69426,21,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F29,sect14_hh_w5.dta,Household Data - Assistance,14877,30,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F30,sect15a_hh_w5.dta,Credit access filter and constraints,4959,29,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F31,sect15b_hh_w5.dta,Credit details data,1033,30,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F32,sect01a_com_w5.dta,Community - Cover/ identification,433,11,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F33,sect01b_com_w5.dta,Community - Cover/ community overview/ observation,433,23,0,blocked_no_original_package,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,Confirm this file or its archive member is present after the complete official package is placed locally.
