download_rank,country,wave,idno,requirement_review_order,requirement,requirement_role,candidate_rank,file_name,variable_name,variable_label,match_score,current_verification_status,minimum_batch_review_status,fill_raw_file_used,fill_raw_variable_used,fill_variable_label_verified,fill_value_distribution_checked,fill_missing_codes_documented,fill_unit_recall_period_documented,fill_merge_key_or_level_verified,fill_skip_pattern_checked,fill_promote_variable,review_notes
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,1,sect1_hh_w5.dta,individual_id,Household member ID,37,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,2,sect1_hh_w5.dta,household_id,Unique Household Indentifier,33,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,3,sect12b1_hh_w5.dta,household_id,Unique Household Indentifier,33,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,4,sect1_pp_w5.dta,household_id,Unique Household Indentifier,33,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,5,sect1_ph_w5.dta,household_id,Unique Household Indentifier,33,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,6,sect2_pp_w5.dta,household_id,Unique Household Indentifier,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,7,sect3_pp_w5.dta,household_id,Unique Household Indentifier,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,8,sect4_pp_w5.dta,household_id,Unique Household Indentifier,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,9,sect6c_hh_w5.dta,individual_id,Household member ID,28,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,10,sect2_hh_w5.dta,individual_id,Household member ID,28,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,11,sect3_hh_w5.dta,individual_id,Household member ID,28,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,12,sect3b_hh_w5.dta,individual_id,Household member ID,28,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,1,sect_cover_hh_w5.dta,pw_w5,household sample weight,33,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,2,sect_cover_hh_w5.dta,ea_id,Unique Enumeration Area Indentifier,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,3,sect6b2_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,4,sect6b3_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,5,sect6b4_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,6,sect6c_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,7,sect7a_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,8,sect7b_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,9,sect8_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,10,sect9_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,11,sect10a_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,12,sect11_hh_w5.dta,pw_w5,household sample weight,31,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,consumption_or_income,financial_denominator_gate,1,cons_agg_w5.dta,nonfood_cons2,Non-food consumption,52,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,consumption_or_income,financial_denominator_gate,2,cons_agg_w5.dta,nom_nonfoodcons_aeq,Nominal annual expenditure on nonfood per adult equivalent,45,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,consumption_or_income,financial_denominator_gate,3,cons_agg_w5.dta,nonfood_cons_ann,annual expenditure on nonfood items (selected items),45,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,consumption_or_income,financial_denominator_gate,4,cons_agg_w5.dta,food_cons2,Food consumption,36,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,consumption_or_income,financial_denominator_gate,5,cons_agg_w5.dta,food_cons_ann,annual value of food consumption (selected items),36,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,consumption_or_income,financial_denominator_gate,6,cons_agg_w5.dta,nom_foodcons_aeq,Nominal annual expenditure on food per adult equivalent,29,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,consumption_or_income,financial_denominator_gate,7,cons_agg_w5.dta,fafh_cons_ann,annual expenditure on food away from home,25,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,,,,
