acquisition_batch_rank,batch_role,country,wave,idno,gate,status,evidence,required_action
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,official_public_documentation_receipt,pass,status=complete_full_public_documentation_receipt; saved=data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;pdf_documentation;related_materials_html; missing_core=,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,official_metadata_variable_evidence_extract,pass,status=complete_official_metadata_evidence_extract; candidates=107; ddi_matches=107; file_matches=107; no_matches=0,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,official_endpoint_matrix_probe,pass,status=metadata_api_confirmed_raw_access_gate_confirmed; endpoints=8; metadata_endpoints=4; variable_api=1; get_microdata_gates=1; raw_candidates=0,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,credentialed_raw_acquisition_ledger,pass,status=ready_for_credentialed_manual_download; full_files=68; core_files=12; target_folder=temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,complete_original_raw_package,fail,receipt_status=not_received_no_original_raw_package; original_files=0; archives=0; raw_tabular=0; missing_targets=12,Download/place the complete unchanged original raw package and documentation in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,priority_raw_module_coverage,fail,targets=12; covered=0; missing=12,Ensure every priority target module is present directly or inside the received archive.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,manual_requirement_verification,fail,requirements_passed=0/8,"Verify merge keys, survey design, consumption/income, OOP, access, timing, geography, missing codes, units, and recall periods."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,manual_concept_verification,fail,concepts_passed=0/13,Promote all required concepts only after raw variable value and level checks pass.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,manual_variable_verification,fail,variables_passed=0/107,Manually verify selected raw variables before harmonization recipe review.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_protection_value_ready,fail,financial_requirements_passed=0; financial_concepts_passed=0,"Verify total consumption/income, OOP health expenditure, weights/design, and denominator semantics for CHE10/CHE25 and SDG 3.8.2 review."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,access_forgone_care_value_ready,fail,double_failure_requirements_passed=0; double_failure_concepts_passed=0,"Verify illness/need, care seeking, forgone-care, and barrier variables with raw values and skip patterns."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,accepted_chirps_era5_climate_linkage,fail,accepted_route=not_accepted_raw_timing_geography_unverified; gate=blocked_raw_timing_geography_not_verified_sources_ready; planned_level=cluster_or_household_point_if_coordinates_pass_quality_checks,Verify timing/geography raw fields and accept a CHIRPS or ERA5 linkage route.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,analysis_dataset_synthesis_join,fail,join_status=blocked_required_schema_columns_not_verified; required_columns=25; ready_columns=0; blocked_columns=22,Complete required schema-column verification and join readiness before any promoted dataset build.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,promoted_data_registry_write_gate,fail,registry_analysis_ready=not_promoted; rows=0,Write to data/ only after the promoted registry marks this wave as analysis-ready.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,official_public_documentation_receipt,pass,status=complete_full_public_documentation_receipt; saved=data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;pdf_documentation;related_materials_html; missing_core=,
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,official_metadata_variable_evidence_extract,pass,status=complete_official_metadata_evidence_extract; candidates=102; ddi_matches=102; file_matches=102; no_matches=0,
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,official_endpoint_matrix_probe,pass,status=metadata_api_confirmed_raw_access_gate_confirmed; endpoints=8; metadata_endpoints=4; variable_api=1; get_microdata_gates=1; raw_candidates=0,
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,credentialed_raw_acquisition_ledger,pass,status=ready_for_credentialed_manual_download; full_files=68; core_files=12; target_folder=temp/raw_downloads/ETH_2018_ESS_v04_M/,
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,complete_original_raw_package,fail,receipt_status=not_received_no_original_raw_package; original_files=0; archives=0; raw_tabular=0; missing_targets=12,Download/place the complete unchanged original raw package and documentation in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,priority_raw_module_coverage,fail,targets=12; covered=0; missing=12,Ensure every priority target module is present directly or inside the received archive.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,manual_requirement_verification,fail,requirements_passed=0/8,"Verify merge keys, survey design, consumption/income, OOP, access, timing, geography, missing codes, units, and recall periods."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,manual_concept_verification,fail,concepts_passed=0/13,Promote all required concepts only after raw variable value and level checks pass.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,manual_variable_verification,fail,variables_passed=0/102,Manually verify selected raw variables before harmonization recipe review.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,financial_protection_value_ready,fail,financial_requirements_passed=0; financial_concepts_passed=0,"Verify total consumption/income, OOP health expenditure, weights/design, and denominator semantics for CHE10/CHE25 and SDG 3.8.2 review."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,access_forgone_care_value_ready,fail,double_failure_requirements_passed=0; double_failure_concepts_passed=0,"Verify illness/need, care seeking, forgone-care, and barrier variables with raw values and skip patterns."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,accepted_chirps_era5_climate_linkage,fail,accepted_route=not_accepted_raw_timing_geography_unverified; gate=blocked_raw_timing_geography_not_verified_sources_ready; planned_level=cluster_or_household_point_if_coordinates_pass_quality_checks,Verify timing/geography raw fields and accept a CHIRPS or ERA5 linkage route.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,analysis_dataset_synthesis_join,fail,join_status=blocked_required_schema_columns_not_verified; required_columns=25; ready_columns=0; blocked_columns=22,Complete required schema-column verification and join readiness before any promoted dataset build.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,promoted_data_registry_write_gate,fail,registry_analysis_ready=not_promoted; rows=0,Write to data/ only after the promoted registry marks this wave as analysis-ready.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,official_public_documentation_receipt,pass,status=complete_core_public_documentation_receipt_optional_pdf_unlisted_or_missing; saved=data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html; missing_core=,
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,official_metadata_variable_evidence_extract,pass,status=partial_official_metadata_evidence_extract; candidates=128; ddi_matches=126; file_matches=126; no_matches=2,
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,official_endpoint_matrix_probe,pass,status=metadata_api_confirmed_raw_access_gate_confirmed; endpoints=8; metadata_endpoints=4; variable_api=0; get_microdata_gates=1; raw_candidates=0,
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,credentialed_raw_acquisition_ledger,pass,status=ready_for_credentialed_manual_download; full_files=118; core_files=12; target_folder=temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,complete_original_raw_package,fail,receipt_status=not_received_no_original_raw_package; original_files=0; archives=0; raw_tabular=0; missing_targets=12,Download/place the complete unchanged original raw package and documentation in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,priority_raw_module_coverage,fail,targets=12; covered=0; missing=12,Ensure every priority target module is present directly or inside the received archive.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,manual_requirement_verification,fail,requirements_passed=0/8,"Verify merge keys, survey design, consumption/income, OOP, access, timing, geography, missing codes, units, and recall periods."
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,manual_concept_verification,fail,concepts_passed=0/13,Promote all required concepts only after raw variable value and level checks pass.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,manual_variable_verification,fail,variables_passed=0/128,Manually verify selected raw variables before harmonization recipe review.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,financial_protection_value_ready,fail,financial_requirements_passed=0; financial_concepts_passed=0,"Verify total consumption/income, OOP health expenditure, weights/design, and denominator semantics for CHE10/CHE25 and SDG 3.8.2 review."
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,access_forgone_care_value_ready,fail,double_failure_requirements_passed=0; double_failure_concepts_passed=0,"Verify illness/need, care seeking, forgone-care, and barrier variables with raw values and skip patterns."
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,accepted_chirps_era5_climate_linkage,fail,accepted_route=not_accepted_raw_timing_geography_unverified; gate=blocked_raw_timing_geography_not_verified_sources_ready; planned_level=gps_or_cluster_if_raw_verified_else_admin_fallback,Verify timing/geography raw fields and accept a CHIRPS or ERA5 linkage route.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,analysis_dataset_synthesis_join,fail,join_status=blocked_required_schema_columns_not_verified; required_columns=25; ready_columns=0; blocked_columns=22,Complete required schema-column verification and join readiness before any promoted dataset build.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,promoted_data_registry_write_gate,fail,registry_analysis_ready=not_promoted; rows=0,Write to data/ only after the promoted registry marks this wave as analysis-ready.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,official_public_documentation_receipt,pass,status=complete_full_public_documentation_receipt; saved=data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;pdf_documentation;related_materials_html; missing_core=,
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,official_metadata_variable_evidence_extract,pass,status=partial_official_metadata_evidence_extract; candidates=79; ddi_matches=78; file_matches=78; no_matches=1,
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,official_endpoint_matrix_probe,pass,status=metadata_api_confirmed_raw_access_gate_confirmed; endpoints=8; metadata_endpoints=4; variable_api=1; get_microdata_gates=1; raw_candidates=0,
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,credentialed_raw_acquisition_ledger,pass,status=ready_for_credentialed_manual_download; full_files=103; core_files=12; target_folder=temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,complete_original_raw_package,fail,receipt_status=not_received_no_original_raw_package; original_files=0; archives=0; raw_tabular=0; missing_targets=12,Download/place the complete unchanged original raw package and documentation in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,priority_raw_module_coverage,fail,targets=12; covered=0; missing=12,Ensure every priority target module is present directly or inside the received archive.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,manual_requirement_verification,fail,requirements_passed=0/8,"Verify merge keys, survey design, consumption/income, OOP, access, timing, geography, missing codes, units, and recall periods."
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,manual_concept_verification,fail,concepts_passed=0/13,Promote all required concepts only after raw variable value and level checks pass.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,manual_variable_verification,fail,variables_passed=0/79,Manually verify selected raw variables before harmonization recipe review.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,financial_protection_value_ready,fail,financial_requirements_passed=0; financial_concepts_passed=0,"Verify total consumption/income, OOP health expenditure, weights/design, and denominator semantics for CHE10/CHE25 and SDG 3.8.2 review."
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,access_forgone_care_value_ready,fail,double_failure_requirements_passed=0; double_failure_concepts_passed=0,"Verify illness/need, care seeking, forgone-care, and barrier variables with raw values and skip patterns."
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,accepted_chirps_era5_climate_linkage,fail,accepted_route=not_accepted_raw_timing_geography_unverified; gate=blocked_raw_timing_geography_not_verified_sources_ready; planned_level=cluster_or_household_point_if_coordinates_pass_quality_checks,Verify timing/geography raw fields and accept a CHIRPS or ERA5 linkage route.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,analysis_dataset_synthesis_join,fail,join_status=blocked_required_schema_columns_not_verified; required_columns=25; ready_columns=0; blocked_columns=22,Complete required schema-column verification and join readiness before any promoted dataset build.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,promoted_data_registry_write_gate,fail,registry_analysis_ready=not_promoted; rows=0,Write to data/ only after the promoted registry marks this wave as analysis-ready.
