download_priority_order,queue_role,country,wave,idno,catalog_id,file_id,file_name,file_description,case_quantity,variable_quantity,source_saved_path,priority_core_target,current_receipt_status,post_download_review_action
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F1,sect_cover_hh_w5.dta,Household Data - Cover page,4959,25,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,1,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F2,sect1_hh_w5.dta,Household Data - Roster,25374,63,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,1,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F3,sect2_hh_w5.dta,Household Data - Education,22688,43,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,0,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F4,sect3_hh_w5.dta,Household Data - Health,22688,69,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,1,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F5,sect3b_hh_w5.dta,Household Data - COVID-19,22688,23,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,0,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F6,sect4_hh_w5.dta,Household Data - Labor and time use,22688,82,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,0,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F7,sect5a_hh_w5.dta,Banking and financial inclusion,22688,91,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,0,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F8,sect5b_hh_w5.dta,Digital financial services,22688,60,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,0,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F9,sect6a_hh_w5.dta,Household Data - Food consumption last 7 days,366966,28,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,0,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F10,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),4959,13,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,1,blocked_no_original_package,Confirm this file or its archive member is present after the complete official package is placed locally.
