download_rank,country,wave,idno,local_target_folder,target_relative_path,file_name,file_extension,file_bytes,file_kind,archive_read_status,archive_member_count,expected_file_name_matches,expected_core_file_name_matches,matched_expected_file_names,matched_core_file_names,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_NEXT_RAW_PACKAGE_ACTION_PACKET.md,_NEXT_RAW_PACKAGE_ACTION_PACKET.md,.md,4199,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PLACE_RAW_FILES_HERE.md,_PLACE_RAW_FILES_HERE.md,.md,3983,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_ANALYSIS_DATASET_SYNTHESIS_BLUEPRINT.md,_PRIORITY_ANALYSIS_DATASET_SYNTHESIS_BLUEPRINT.md,.md,2716,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,.md,3495,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_CORE_FILE_ENDPOINT_MATRIX.md,_PRIORITY_CORE_FILE_ENDPOINT_MATRIX.md,.md,3449,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_COUNTRY_WAVE_PROMOTION_PACKET.md,_PRIORITY_COUNTRY_WAVE_PROMOTION_PACKET.md,.md,524,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_CREDENTIALED_RAW_ACQUISITION.md,_PRIORITY_CREDENTIALED_RAW_ACQUISITION.md,.md,3990,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md,_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md,.md,10107,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_FIRST_PASS_VARIABLE_REVIEW_QUEUE.md,_PRIORITY_FIRST_PASS_VARIABLE_REVIEW_QUEUE.md,.md,6826,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md,_PRIORITY_LSMS_ISA_ALIGNMENT_AUDIT.md,.md,650,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_LSMS_ISA_ARCHIVE_PREFLIGHT.md,_PRIORITY_LSMS_ISA_ARCHIVE_PREFLIGHT.md,.md,1599,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_LSMS_ISA_COUNTRY_WAVE_PROMOTION_PACKET.md,_PRIORITY_LSMS_ISA_COUNTRY_WAVE_PROMOTION_PACKET.md,.md,537,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md,_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md,.md,5799,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,.md,5953,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md,_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md,.md,1446,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_LSMS_ISA_MINIMUM_BATCH_RAW_INTAKE_GUIDE.md,_PRIORITY_LSMS_ISA_MINIMUM_BATCH_RAW_INTAKE_GUIDE.md,.md,5918,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_LSMS_ISA_OFFICIAL_FILE_RECEIPT_VALIDATOR.md,_PRIORITY_LSMS_ISA_OFFICIAL_FILE_RECEIPT_VALIDATOR.md,.md,12580,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md,_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md,.md,1587,placeholder_or_instruction,not_applicable,0,0,0,,,blocked_no_data_write,blocked
