acquisition_batch_rank,batch_role,country,wave,idno,file_rank,expected_file_name,coverage_status,verification_action
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,sect8_3_ls_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,sect11_ph_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,sect3_pp_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,4,sect06_com_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,5,sect04_com_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,sect4_pp_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,7,sect9_ph_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,8,sect8_2_ls_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,9,sect3_hh_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,10,sect7_pp_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,11,sect11_com_w5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,12,eth_householdgeovariables_y5.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,sect8_3_ls_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,2,sect10c_hh_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3,sect11_ph_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,4,sect04_com_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,5,sect06_com_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,6,sect3_pp_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,7,sect5b2_hh_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,8,sect4_pp_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,9,sect3_hh_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,10,sect8_2_ls_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,11,sect9_ph_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,12,sect8_4_ls_w4.dta,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,1,hh2_cmty,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,2,pi_s5a,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,3,p2_s14a,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,4,p2_s13,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,5,p2_s10,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,6,p2_s11,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,7,hh2p3_s17,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,8,hh3p3_s15,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,9,p2_s9,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,10,hh2p2_s10,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,11,hh2p2_s12,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,12,hh2p3_s15,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1,secta1_harvestw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,2,sect11b1_plantingw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,3,sect11h_plantingw2,blocked_no_raw_or_archive_file,Place complete original raw archive/tabular package in the target folder.
