download_rank,country,wave,idno,threshold_download_role,official_get_microdata_url,local_target_folder,target_folder_exists,target_file_count,incoming_route_rows,validation_ready,expected_full_file_rows,expected_missing_file_rows,core_file_rows,core_missing_file_rows,requirements_covered,core_file_preview,packet_report_path,progress_status,manual_download_action,post_download_dry_run_command,post_download_execute_command,post_download_runner_mode,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,1,0,0,0,68,68,36,36,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,sect_cover_hh_w5.dta;sect10a_com_w5.dta;sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect3_pp_w5.dta;cons_agg_w5.dta;sect3_hh_w5.dta;sect04_com_w5.dta;sect1_hh_w5.dta;sect12b1_hh_w5.dta;sect1_pp_w5.dta,report/priority_lsms_isa_manual_download_packets/ETH_2021_ESPS-W5_v02_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\ETH_2021_ESPS-W5_v02_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,1,0,0,0,68,68,35,35,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect3_pp_w4.dta;sect10a_com_w4.dta;sect_cover_hh_w4.dta;sect7a_hh_w4.dta;cons_agg_w4.dta;sect3_hh_w4.dta;sect04_com_w4.dta;sect1_hh_w4.dta;sect11b1_hh_w4.dta,report/priority_lsms_isa_manual_download_packets/ETH_2018_ESS_v04_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/ETH_2018_ESS_v04_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\ETH_2018_ESS_v04_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,1,0,0,0,103,103,26,26,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,HHTrack;secta_harvestw2;NGA_HouseholdGeovars_Y2;cons_agg_wave2_visit1;cons_agg_wave2_visit2;sect8e_plantingw2;sect8a_plantingw2;sect4a_harvestw2;secta7_harvestw2;sect4b_harvestw2;sect1_plantingw2;sect1_harvestw2,report/priority_lsms_isa_manual_download_packets/NGA_2012_GHSP-W2_v02_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\NGA_2012_GHSP-W2_v02_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,1,0,0,0,104,104,26,26,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,sect1_harvestw3;NGA_HouseholdGeovars_Y3;sectc1_harvestw3;sectc2_harvestw3;cons_agg_wave3_visit1;cons_agg_wave3_visit2;sect8a_plantingw3;sect4a_harvestw3;sect3_plantingw3;sect11a_plantingw3;sect1_plantingw3;sect11a1_plantingw3,report/priority_lsms_isa_manual_download_packets/NGA_2015_GHSP-W3_v02_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\NGA_2015_GHSP-W3_v02_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,1,0,0,0,99,99,27,27,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,NGA_HouseholdGeovariables_Y1;cons_agg_wave1_visit1;cons_agg_wave1_visit2;sect4a_harvestw1;sect4b_harvestw1;sect3a_harvestw1;secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1;secta9b2_harvestw1,report/priority_lsms_isa_manual_download_packets/NGA_2010_GHSP-W1_v03_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\NGA_2010_GHSP-W1_v03_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,1,0,0,0,61,61,35,35,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,HH.Geovariables_Y1;SEC_A_T_English_Labels;SEC_A_T_Swahili_Labels;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG;SECTCH;SECTCI;TZY1.HH.Consumption;SEC_L_Swahili_Labels;SEC_M_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_English_Labels,report/priority_lsms_isa_manual_download_packets/TZA_2008_NPS-R1_v03_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/TZA_2008_NPS-R1_v03_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\TZA_2008_NPS-R1_v03_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,1,0,0,0,95,95,38,38,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,HH_SEC_A;TZY2.EA.Offsets;Plot.Geovariables_Y2;TZY1.HH.Consumption;TZY2.HH.Consumption;HH.Geovariables_Y2;HH_SEC_L;HH_SEC_D;FS_H2;FS_N2;HH_SEC_G;HH_SEC_B,report/priority_lsms_isa_manual_download_packets/TZA_2010_NPS-R2_v03_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/TZA_2010_NPS-R2_v03_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\TZA_2010_NPS-R2_v03_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,1,0,0,0,80,80,33,33,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,COM_SEC_A1A2.NSDstat;AG_SEC_2A.NSDstat;AG_SEC_A.NSDstat;HH_SEC_A.NSDstat;LF_SEC_A.NSDstat;HH_SEC_K.NSDstat;HH_SEC_L.NSDstat;HH_SEC_D.NSDstat;ConsumptionNPS3.NSDstat;LF_SEC_13B.NSDstat;HH_SEC_G.NSDstat;AG_SEC_11.NSDstat,report/priority_lsms_isa_manual_download_packets/TZA_2012_NPS-R3_v01_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/TZA_2012_NPS-R3_v01_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\TZA_2012_NPS-R3_v01_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,1,0,0,0,109,109,39,39,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,pov2019_20.NSDstat;GSEC1.NSDstat;CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat;CSEC2C_0.NSDstat;GSEC15B.NSDstat;CSEC4B.NSDstat;CSEC4L.NSDstat;GSEC6_1.NSDstat,report/priority_lsms_isa_manual_download_packets/UGA_2019_UNPS_v03_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/UGA_2019_UNPS_v03_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\UGA_2019_UNPS_v03_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,minimum_6th_country_financial_protection_candidate,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,1,0,0,0,51,51,28,28,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,S00;FINAL_PREF;S04;S01;S21;S06B;S06A;S08;S19;S09B;S03;S21x,report/priority_lsms_isa_manual_download_packets/NPL_2010_LSS-III_v01_M.md,blocked_no_local_or_incoming_files,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/NPL_2010_LSS-III_v01_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\NPL_2010_LSS-III_v01_M'",python script/178_build_priority_lsms_isa_post_download_validation_runner.py,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --execute,dry_run,blocked_no_data_write,blocked
