download_priority_order,queue_role,country,wave,idno,file_id,expected_file_name,expected_file_key,file_description,priority_core_target,official_file_match_status,matched_local_locations,matched_source_types
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F1,sect_cover_hh_w5.dta,sect_cover_hh_w5.dta,Household Data - Cover page,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F2,sect1_hh_w5.dta,sect1_hh_w5.dta,Household Data - Roster,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F3,sect2_hh_w5.dta,sect2_hh_w5.dta,Household Data - Education,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F4,sect3_hh_w5.dta,sect3_hh_w5.dta,Household Data - Health,1,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F5,sect3b_hh_w5.dta,sect3b_hh_w5.dta,Household Data - COVID-19,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F6,sect4_hh_w5.dta,sect4_hh_w5.dta,Household Data - Labor and time use,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F7,sect5a_hh_w5.dta,sect5a_hh_w5.dta,Banking and financial inclusion,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F8,sect5b_hh_w5.dta,sect5b_hh_w5.dta,Digital financial services,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F9,sect6a_hh_w5.dta,sect6a_hh_w5.dta,Household Data - Food consumption last 7 days,0,missing_expected_official_file,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F10,sect6b2_hh_w5.dta,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),1,missing_expected_official_file,,
