download_priority_order,queue_role,country,wave,idno,component,component_role,file_name,relative_path,household_key,person_key,row_count,household_key_present,person_key_present,household_key_nonmissing_rows,distinct_households,duplicate_household_rows,unique_at_household_level,required_variables,required_variables_present,required_variables_missing,required_variables_with_nonmissing_values,nonmissing_required_variable_counts,component_status
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_visit1,consumption_or_income,cons_agg_wave3_visit1.dta,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/cons_agg_wave3_visit1.dta,hhid,,4590,1,,4590,4590,0,1,hhid; totcons; hhweight; ea,hhid; totcons; hhweight; ea,,hhid; totcons; hhweight; ea,hhid:4590; totcons:4590; hhweight:4590; ea:4590,household_level_component_ready_for_join_audit
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_visit2,consumption_or_income,cons_agg_wave3_visit2.dta,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/cons_agg_wave3_visit2.dta,hhid,,4579,1,,4579,4579,0,1,hhid; totcons; hhweight; ea,hhid; totcons; hhweight; ea,,hhid; totcons; hhweight; ea,hhid:4579; totcons:4579; hhweight:4579; ea:4579,household_level_component_ready_for_join_audit
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,health_access_oop,health_need_and_access;oop_health_expenditure,sect4a_harvestw3.dta,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/sect4a_harvestw3.dta,hhid,indiv,26176,1,1,26176,4582,21594,0,hhid; indiv; s4aq1; s4aq3; s4aq6a; s4aq9; s4aq10; s4aq13; s4aq14; s4aq15; s4aq17; s4aq19; s4aq21,hhid; indiv; s4aq1; s4aq3; s4aq6a; s4aq9; s4aq10; s4aq13; s4aq14; s4aq15; s4aq17; s4aq19; s4aq21,,hhid; indiv; s4aq1; s4aq3; s4aq6a; s4aq9; s4aq10; s4aq13; s4aq14; s4aq15; s4aq17; s4aq19; s4aq21,hhid:26176; indiv:26176; s4aq1:26176; s4aq3:26176; s4aq6a:3754; s4aq9:3565; s4aq10:3564; s4aq13:26176; s4aq14:5936; s4aq15:26176; s4aq17:613; s4aq19:9542; s4aq21:9457,person_or_item_level_component_ready_for_household_aggregation_review
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,survey_timing,secta_harvestw3.dta,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/secta_harvestw3.dta,hhid,,4592,1,,4592,4592,0,1,hhid; saq13; saq13d; saq13m; saq13y; saq16; saq19,hhid; saq13; saq13d; saq13m; saq13y; saq16; saq19,,hhid; saq13; saq13d; saq13m; saq13y; saq16; saq19,hhid:4592; saq13:4592; saq13d:4591; saq13m:4592; saq13y:4592; saq16:1197; saq19:73,household_level_component_ready_for_join_audit
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,climate_geography,NGA_HouseholdGeovars_Y3.dta,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/NGA_HouseholdGeovars_Y3.dta,hhid,,4613,1,,4613,4613,0,1,hhid; ea; LAT_DD_MOD; LON_DD_MOD,hhid; ea; LAT_DD_MOD; LON_DD_MOD,,hhid; ea; LAT_DD_MOD; LON_DD_MOD,hhid:4613; ea:4612; LAT_DD_MOD:4613; LON_DD_MOD:4613,household_level_component_ready_for_join_audit
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,panel_weights,weights_and_design,HHTrack.dta,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/HHTrack.dta,hhid,,5000,1,,5000,5000,0,1,hhid; wt_wave3; wt_w3v1; wt_w3v2; wt_w1_w2_w3,hhid; wt_wave3; wt_w3v1; wt_w3v2; wt_w1_w2_w3,,hhid; wt_wave3; wt_w3v1; wt_w3v2; wt_w1_w2_w3,hhid:5000; wt_wave3:4581; wt_w3v1:4610; wt_w3v2:4581; wt_w1_w2_w3:4407,household_level_component_ready_for_join_audit
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,consumption_aggregate,consumption_or_income;oop_health_expenditure,ConsumptionNPS3.dta,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/ConsumptionNPS3.dta,y3_hhid,,4883,1,,4883,4883,0,1,y3_hhid; expm; expmR; health; healthR,y3_hhid; expm; expmR; health; healthR,,y3_hhid; expm; expmR; health; healthR,y3_hhid:4883; expm:4883; expmR:4883; health:4883; healthR:4883,household_level_component_ready_for_join_audit
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,household_header_timing_design,survey_timing;weights_and_design;climate_geography,HH_SEC_A.dta,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/HH_SEC_A.dta,y3_hhid,,5010,1,,5010,5010,0,1,y3_hhid; y3_cluster; strataid; y3_weight; hh_a04_1; hh_a04_2; hh_a18; hh_a18_1; hh_a18_2; hh_a18_3,y3_hhid; y3_cluster; strataid; y3_weight; hh_a04_1; hh_a04_2; hh_a18; hh_a18_1; hh_a18_2; hh_a18_3,,y3_hhid; y3_cluster; strataid; y3_weight; hh_a04_1; hh_a04_2; hh_a18; hh_a18_1; hh_a18_2; hh_a18_3,y3_hhid:5010; y3_cluster:4202; strataid:5010; y3_weight:5010; hh_a04_1:5002; hh_a04_2:4840; hh_a18:5010; hh_a18_1:5010; hh_a18_2:5010; hh_a18_3:5010,household_level_component_ready_for_join_audit
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,health_access_oop,health_need_and_access;oop_health_expenditure,HH_SEC_D.dta,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/HH_SEC_D.dta,y3_hhid,indidy3,25412,1,1,25412,5010,20402,0,y3_hhid; indidy3; hh_d02; hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d10; hh_d13; hh_d15; hh_d20,y3_hhid; indidy3; hh_d02; hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d10; hh_d13; hh_d15; hh_d20,,y3_hhid; indidy3; hh_d02; hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d10; hh_d13; hh_d15; hh_d20,y3_hhid:25412; indidy3:25412; hh_d02:25206; hh_d05_1:4430; hh_d05_2:518; hh_d07:25207; hh_d08:25207; hh_d09:25207; hh_d10:25208; hh_d13:1101; hh_d15:286; hh_d20:25202,person_or_item_level_component_ready_for_household_aggregation_review
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,climate_geography,climate_geography,HouseholdGeovars_Y3.dta,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/HouseholdGeovars_Y3.dta,y3_hhid,,4988,1,,4988,4988,0,1,y3_hhid; lat_dd_mod; lon_dd_mod,y3_hhid; lat_dd_mod; lon_dd_mod,,y3_hhid; lat_dd_mod; lon_dd_mod,y3_hhid:4988; lat_dd_mod:4988; lon_dd_mod:4988,household_level_component_ready_for_join_audit
