download_order,acquisition_batch_rank,batch_role,campaign_phase,threshold_role,country,wave,idno,survey_name,official_get_microdata_url,register_url,terms_or_request_urls,data_dictionary_url,ddi_metadata_url,json_metadata_url,related_materials_url,local_target_folder,download_scope,credentialed_acquisition_status,raw_receipt_status,receipt_original_file_count,priority_core_file_rows,priority_core_file_names,priority_targets_missing,first_pass_requirement_rows,first_pass_selected_variable_rows,download_execution_status,minimum_acceptance_rule,post_download_acceptance_commands,promotion_stop_rule,handoff_readme
1,1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/6161/data-dictionary,https://microdata.worldbank.org/metadata/export/6161/ddi,https://microdata.worldbank.org/metadata/export/6161/json,https://microdata.worldbank.org/catalog/6161/related-materials,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,sect3_hh_w5.dta;sect04_com_w5.dta;sect06_com_w5.dta;sect11_com_w5.dta;sect3_pp_w5.dta;sect4_pp_w5.dta;sect7_pp_w5.dta;sect9_ph_w5.dta;sect11_ph_w5.dta;sect8_2_ls_w5.dta;sect8_3_ls_w5.dta;eth_householdgeovariables_y5.dta,12,8,37,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 37 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
2,2,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/3823/data-dictionary,https://microdata.worldbank.org/metadata/export/3823/ddi,https://microdata.worldbank.org/metadata/export/3823/json,https://microdata.worldbank.org/catalog/3823/related-materials,temp/raw_downloads/ETH_2018_ESS_v04_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,sect3_hh_w4.dta;sect5b2_hh_w4.dta;sect10c_hh_w4.dta;sect8_2_ls_w4.dta;sect8_3_ls_w4.dta;sect8_4_ls_w4.dta;sect9_ph_w4.dta;sect11_ph_w4.dta;sect3_pp_w4.dta;sect4_pp_w4.dta;sect04_com_w4.dta;sect06_com_w4.dta,12,8,39,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 39 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
3,3,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,"Marriage Transitions in Malawi 2007-2009, Panel Data",https://microdata.worldbank.org/catalog/3462/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/3462/data-dictionary,https://microdata.worldbank.org/metadata/export/3462/ddi,https://microdata.worldbank.org/metadata/export/3462/json,https://microdata.worldbank.org/catalog/3462/related-materials,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,hh2_cmty;hh2p2_s10;hh2p2_s12;hh2p3_s15;hh2p3_s17;hh3p3_s15;p2_s9;p2_s10;p2_s11;p2_s13;p2_s14a;pi_s5a,12,8,38,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 38 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
4,4,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/1952/data-dictionary,https://microdata.worldbank.org/metadata/export/1952/ddi,https://microdata.worldbank.org/metadata/export/1952/json,https://microdata.worldbank.org/catalog/1952/related-materials,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,NGA_HouseholdGeovars_Y2;sect6_plantingw2;sect11b1_plantingw2;sect11d_plantingw2;sect11e_plantingw2;sect11h_plantingw2;sect4a_harvestw2;sect8_harvestw2;sect9_harvestw2;secta1_harvestw2;secta2_harvestw2;secta3_harvestw2,12,8,33,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 33 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
5,5,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/2734/data-dictionary,https://microdata.worldbank.org/metadata/export/2734/ddi,https://microdata.worldbank.org/metadata/export/2734/json,https://microdata.worldbank.org/catalog/2734/related-materials,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,sect11_plantingw3;sect11b1_plantingw3;sect11e_plantingw3;sect11f_plantingw3;sect1_harvestw3;sect4a_harvestw3;secta1_harvestw3;secta2_harvestw3;secta3i_harvestw3;secta3ii_harvestw3;secta11d_harvestw3;NGA_HouseholdGeovars_Y3,12,8,33,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 33 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
6,6,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/1002/data-dictionary,https://microdata.worldbank.org/metadata/export/1002/ddi,https://microdata.worldbank.org/metadata/export/1002/json,https://microdata.worldbank.org/catalog/1002/related-materials,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,NGA_HouseholdGeovariables_Y1;secta1_harvestw1;secta2_harvestw1;secta3_harvestw1;sect1_harvestw1;sect4a_harvestw1;sect8_harvestw1;sect11b_plantingw1;sect11c_plantingw1;sect11d_plantingw1;sect11e_plantingw1;sect11h_plantingw1,12,8,33,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 33 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
7,7,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/76/data-dictionary,https://microdata.worldbank.org/metadata/export/76/ddi,https://microdata.worldbank.org/metadata/export/76/json,https://microdata.worldbank.org/catalog/76/related-materials,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,HH.Geovariables_Y1;SECTCEFG;SECTCH;SEC_A_T_English_Labels;SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_H1_J_K2_O2_P1_Q1_S1_English_Labels;SEC_P2_English_Labels;SEC_S2_English_Labels;SEC_3A_English_Labels;SEC_3B_English_Labels;SEC_4A_English_Labels;TZY1.HH.Consumption,12,8,37,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 37 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
8,8,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/1050/data-dictionary,https://microdata.worldbank.org/metadata/export/1050/ddi,https://microdata.worldbank.org/metadata/export/1050/json,https://microdata.worldbank.org/catalog/1050/related-materials,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,AG_SEC2A;AG_SEC3A;AG_SEC3B;COMSEC_CD;COMSEC_CE;COMSEC_CI;COMSEC_CJ;HH_SEC_B;HH_SEC_D;TZY1.HH.Consumption;TZY2.HH.Consumption;HH.Geovariables_Y2,12,8,39,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 39 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
9,9,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/2252/data-dictionary,https://microdata.worldbank.org/metadata/export/2252/ddi,https://microdata.worldbank.org/metadata/export/2252/json,https://microdata.worldbank.org/catalog/2252/related-materials,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,AG_SEC_2A;AG_SEC_3A;AG_SEC_3B;AG_SEC_4A;AG_SEC_4B;AG_SEC_5A;AG_SEC_5B;COM_SEC_CE;COM_SEC_CF_ID;HH_SEC_A;HH_SEC_C;HouseholdGeovars_Y3,12,8,40,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 40 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
10,10,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Uganda,2014,UGA_2014_SAGE-EL_v01_M,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",https://microdata.worldbank.org/catalog/2654/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,https://microdata.worldbank.org/catalog/2654/data-dictionary,https://microdata.worldbank.org/metadata/export/2654/ddi,https://microdata.worldbank.org/metadata/export/2654/json,https://microdata.worldbank.org/catalog/2654/related-materials,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,complete_official_raw_package_plus_all_documentation,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,sage_labourintermed;int_operational;int_demographics_mem;int_migration;int_welfare_hh;int_consexp;int_cohesion;int_access_educ18plus;int_access_fin;int_access_health;int_access_school;int_community,12,8,35,ready_for_manual_credentialed_download_no_raw_receipt,Complete official package must be present; at least 12 priority core files/modules must be found directly or inside the official archive; all 8 promotion requirements and 35 selected first-pass variables must remain raw-backed before any data/ write.,python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until original package receipt, core-file coverage, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage all pass.",temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_DOWNLOAD_EXECUTION_PACKET.md
