download_priority_order,country,wave,idno,archive_relative_path,archive_file_name,archive_read_status,member_name,member_suffix,member_size,member_role,member_acceptance_status
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_aa.dta,.dta,1250554,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_ab.dta,.dta,27218310,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_ac.dta,.dta,248805,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_ad.dta,.dta,4008384,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_b.dta,.dta,8500627,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_c.dta,.dta,14932969,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_d.dta,.dta,18588452,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_e.dta,.dta,14617947,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_f.dta,.dta,10918137,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_g.dta,.dta,3142812,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_h.dta,.dta,6571030,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_i.dta,.dta,239993386,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_j1.dta,.dta,5012974,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_j2.dta,.dta,15436473,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_k.dta,.dta,33439838,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_l.dta,.dta,15346329,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_m1.dta,.dta,17580125,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_m2.dta,.dta,14771123,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_n.dta,.dta,1049571,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_o.dta,.dta,6607945,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_p.dta,.dta,35266312,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_q1.dta,.dta,2069780,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_q2.dta,.dta,911626,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_r.dta,.dta,1411029,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_s.dta,.dta,10742801,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_t.dta,.dta,7783303,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_u.dta,.dta,7479752,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_v.dta,.dta,697032,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_w.dta,.dta,1169674,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_x.dta,.dta,783765,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_y.dta,.dta,16431326,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_z1.dta,.dta,169828,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,sec_z2.dta,.dta,1137225,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,Filters.dta,.dta,579726,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,ihs2_ag.dta,.dta,1690102,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,ihs2_anthro.dta,.dta,494033,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,readable_zip,ihs2_ea_data.dta,.dta,31818,raw_tabular_candidate,archive_member_candidate_pending_schema_or_documentation_review
