threshold_sequence_rank,country,wave,idno,requirement,file_rank,file_id,expected_file_name,file_description,candidate_variable_rows,strong_candidate_variable_rows,top_variable_names,official_core_file_match_status,matched_local_locations
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,1,F1,sect_cover_hh_w5.dta,Household Data - Cover page,2,2,saq19__Latitude;saq19__Longitude,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,2,F42,sect10a_com_w5.dta,Community - Market prices: market location,2,2,cs10q05__Latitude;cs10q05__Longitude,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,3,F46,sect_cover_pp_w5.dta,Post-planting - Cover page,2,2,saq19__Latitude;saq19__Longitude,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,4,F54,sect_cover_ph_w5.dta,Post-harvest - Cover page,2,2,saq19__Latitude;saq19__Longitude,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,5,F59,sect_cover_ls_w5.dta,Livestock - Cover page,2,2,saq19__Latitude;saq19__Longitude,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,6,F49,sect3_pp_w5.dta,Post-planting - Field roster,2,2,s3q09__Latitude;s3q09__Longitude,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,consumption_or_income,1,F66,cons_agg_w5.dta,Household Data - Consumption aggregate,12,12,nonfood_cons2;nom_nonfoodcons_aeq;nonfood_cons_ann;food_cons2;food_cons_ann;nom_foodcons_aeq;fafh_cons_ann;spat_totcons_aeq;educ_cons_ann;nom_educcons_aeq;nom_totcons_aeq;total_cons_ann,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need_and_access,1,F4,sect3_hh_w5.dta,Household Data - Health,6,6,s3q14;s3q15;s3q05;s3q17;s3q13;s3q18,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need_and_access,2,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,4,3,cs4q37;cs4q34;cs4q35;cs4q28,missing_expected_core_file,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need_and_access,3,F49,sect3_pp_w5.dta,Post-planting - Field roster,2,0,s3q15_1;s3q15_2,missing_expected_core_file,
