priority_rank,priority_score,source_name,dataset,idno,official_url,files_needed,status,priority_reason
1,18,World Bank Microdata Library,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),ETH_2021_ESPS-W5_v02_M,https://microdata.worldbank.org/catalog/6161/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
2,18,World Bank Microdata Library,Ethiopia - Socioeconomic Survey 2018-2019 (2018-2019; ETH_2018_ESS_v04_M),ETH_2018_ESS_v04_M,https://microdata.worldbank.org/catalog/3823/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
3,18,World Bank Microdata Library,"Malawi - Marriage Transitions in Malawi 2007-2009, Panel Data (2007-2009; MWI_2007-2009_MTM_v01_M)",MWI_2007-2009_MTM_v01_M,https://microdata.worldbank.org/catalog/3462/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
4,18,World Bank Microdata Library,"Mali - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; MLI_2021_EHCVM-2_v01_M)",MLI_2021_EHCVM-2_v01_M,https://microdata.worldbank.org/catalog/6275/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
5,18,World Bank Microdata Library,"Niger - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; NER_2021_EHCVM-2_v01_M)",NER_2021_EHCVM-2_v01_M,https://microdata.worldbank.org/catalog/6276/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
6,18,World Bank Microdata Library,"Nigeria - General Household Survey, Panel  2012-2013, Wave 2 (2012-2013; NGA_2012_GHSP-W2_v02_M)",NGA_2012_GHSP-W2_v02_M,https://microdata.worldbank.org/catalog/1952/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
7,18,World Bank Microdata Library,"Nigeria - General Household Survey, Panel  2015-2016, Wave 3 (2015-2016; NGA_2015_GHSP-W3_v02_M)",NGA_2015_GHSP-W3_v02_M,https://microdata.worldbank.org/catalog/2734/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
8,18,World Bank Microdata Library,"Nigeria - General Household Survey, Panel 2010-2011, Wave 1 (2010-2011; NGA_2010_GHSP-W1_v03_M)",NGA_2010_GHSP-W1_v03_M,https://microdata.worldbank.org/catalog/1002/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
9,18,World Bank Microdata Library,"Tanzania - National Panel Survey 2008-2009, Wave 1 (2008-2009; TZA_2008_NPS-R1_v03_M)",TZA_2008_NPS-R1_v03_M,https://microdata.worldbank.org/catalog/76/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
10,18,World Bank Microdata Library,"Tanzania - National Panel Survey 2010-2011, Wave 2 (2010-2011; TZA_2010_NPS-R2_v03_M)",TZA_2010_NPS-R2_v03_M,https://microdata.worldbank.org/catalog/1050/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
11,18,World Bank Microdata Library,"Tanzania - National Panel Survey 2012-2013, Wave 3 (2012-2013; TZA_2012_NPS-R3_v01_M)",TZA_2012_NPS-R3_v01_M,https://microdata.worldbank.org/catalog/2252/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
12,18,World Bank Microdata Library,Tanzania - National Panel Survey 2014-2015 (2013-2016; TZA_2014_NPS-R4_v03_M_v03_A_EXT),TZA_2014_NPS-R4_v03_M_v03_A_EXT,https://microdata.worldbank.org/catalog/3455/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
13,18,World Bank Microdata Library,"Tanzania - National Panel Survey 2014-2015, Wave 4 (2014-2015; TZA_2014_NPS-R4_v03_M)",TZA_2014_NPS-R4_v03_M,https://microdata.worldbank.org/catalog/2862/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
14,18,World Bank Microdata Library,"Tanzania - National Panel Survey 2020-21, Wave 5 (2020-2022; TZA_2020_NPS-R5_v02_M)",TZA_2020_NPS-R5_v02_M,https://microdata.worldbank.org/catalog/5639/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
15,18,World Bank Microdata Library,"Uganda - Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations (2014; UGA_2014_SAGE-EL_v01_M)",UGA_2014_SAGE-EL_v01_M,https://microdata.worldbank.org/catalog/2654/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
16,18,World Bank Microdata Library,"Uganda - Social Assistance Grants for Empowerment Programme 2012, Evaluation Baseline Survey (2012; UGA_2012_SAGE-BL_v01_M)",UGA_2012_SAGE-BL_v01_M,https://microdata.worldbank.org/catalog/2652/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
17,18,World Bank Microdata Library,"Uganda - Social Assistance Grants for Empowerment Programme 2013, Evaluation Follow-Up Survey (2013; UGA_2013_SAGE-ML_v01_M)",UGA_2013_SAGE-ML_v01_M,https://microdata.worldbank.org/catalog/2653/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/schema already saved,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
18,17,World Bank Microdata Library,"Benin - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; BEN_2021_EHCVM-2_v01_M)",BEN_2021_EHCVM-2_v01_M,https://microdata.worldbank.org/catalog/6272/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",manual terms/login required for raw microdata; public metadata/docs saved where available,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
