receipt_time,acquisition_batch_rank,batch_role,country,wave,idno,catalog_id,resource_type,url,final_url,http_status,content_type,content_length,receipt_status,saved_path,bytes,sha256,required_for_core_public_documentation,access_gate_detected,login_link,register_link,metadata_links,notes
2026-07-09T19:57:04+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,get_microdata_html,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/catalog/6161/get-microdata,200,text/html; charset=UTF-8,,saved_existing_access_probe,temp/source_snapshots/priority_official_raw_access/1_ETH_2021_ESPS-W5_v02_M/get_microdata.html,28582,d1d3403396075ed781cfd525d9a9b16eac88e88ca4ef3732f4c860434b5c2217,1,1,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/catalog/6161/pdf-documentation;https://microdata.worldbank.org/metadata/export/6161/ddi;https://microdata.worldbank.org/metadata/export/6161/json;https://microdata.worldbank.org/catalog/6161/data-dictionary;https://microdata.worldbank.org/catalog/6161/related-materials,existing priority official raw access probe snapshot reused
2026-07-09T19:57:04+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,pdf_documentation,https://microdata.worldbank.org/catalog/6161/pdf-documentation,,,,,saved_existing,temp/source_snapshots/priority_public_documentation/1_ETH_2021_ESPS-W5_v02_M/pdf_documentation.pdf,4834369,6b08288a201c971054fa80c04fb47b110bbccc177bf08f01153c744ef1909144,0,,,,,existing priority public documentation snapshot reused
2026-07-09T19:57:04+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,ddi_metadata,https://microdata.worldbank.org/metadata/export/6161/ddi,,,,,saved_existing,temp/source_snapshots/priority_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,4157326,422c7047b9015197ed6d714166075d1d3573c52d111fd4c9638845f73cd6ebda,1,,,,,existing priority public documentation snapshot reused
2026-07-09T19:57:04+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,json_metadata,https://microdata.worldbank.org/metadata/export/6161/json,,,,,saved_existing,temp/source_snapshots/priority_public_documentation/1_ETH_2021_ESPS-W5_v02_M/json_metadata.json,21145,3da43b2f41618a4f2c7a0289a2a002fc8ac3945532a56272d1fe7769c447f761,1,,,,,existing priority public documentation snapshot reused
2026-07-09T19:57:04+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,data_dictionary_html,https://microdata.worldbank.org/catalog/6161/data-dictionary,,,,,saved_existing,temp/source_snapshots/priority_public_documentation/1_ETH_2021_ESPS-W5_v02_M/data_dictionary_html.html,82670,b3820478cde80158d9a1d4bf7367ba9c7d044f36adfb185d27cc2d5483c2ab17,1,1,https://microdata.worldbank.org/auth/login,,https://microdata.worldbank.org/catalog/6161/pdf-documentation;https://microdata.worldbank.org/metadata/export/6161/ddi;https://microdata.worldbank.org/metadata/export/6161/json;https://microdata.worldbank.org/catalog/6161/data-dictionary;https://microdata.worldbank.org/catalog/6161/related-materials;https://microdata.worldbank.org/catalog/6161/data-dictionary/F1?file_name=sect_cover_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F2?file_name=sect1_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F3?file_name=sect2_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F4?file_name=sect3_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F5?file_name=sect3b_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F6?file_name=sect4_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F7?file_name=sect5a_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F8?file_name=sect5b_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F9?file_name=sect6a_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F10?file_name=sect6b2_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F11?file_name=sect6b3_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F12?file_name=sect6b4_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F13?file_name=sect6c_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F14?file_name=sect7a_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F15?file_name=sect7b_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F16?file_name=sect8_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F17?file_name=sect9_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F18?file_name=sect10a_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F19?file_name=sect11_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F20?file_name=sect12a_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F21?file_name=sect12b1_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F22?file_name=sect12b2_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F23?file_name=sect12c_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F24?file_name=sect12c_q1_hh_w5.dta;https://microdata.worldbank.org/catalog/6161/data-dictionary/F25?file_name=sect12d_hh_w5.dta,existing priority public documentation snapshot reused
2026-07-09T19:57:04+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,related_materials_html,https://microdata.worldbank.org/catalog/6161/related-materials,,,,,saved_existing,temp/source_snapshots/priority_public_documentation/1_ETH_2021_ESPS-W5_v02_M/related_materials_html.html,106473,84ed992562f988839c0e4fe0b9dd968fc265812dd3543d9cfef42dd5d4cad229,1,1,https://microdata.worldbank.org/auth/login,,https://microdata.worldbank.org/catalog/6161/pdf-documentation;https://microdata.worldbank.org/metadata/export/6161/ddi;https://microdata.worldbank.org/metadata/export/6161/json;https://microdata.worldbank.org/catalog/6161/data-dictionary;https://microdata.worldbank.org/catalog/6161/related-materials,existing priority public documentation snapshot reused
2026-07-09T19:57:04+00:00,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,get_microdata_html,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/catalog/3823/get-microdata,200,text/html; charset=UTF-8,,saved_existing_access_probe,temp/source_snapshots/priority_official_raw_access/2_ETH_2018_ESS_v04_M/get_microdata.html,29697,bfed1468ab7c8e1fe712ca4112c441a9c13387a238a0a0dae61ab910c35667d6,1,1,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/catalog/3823/pdf-documentation;https://microdata.worldbank.org/metadata/export/3823/ddi;https://microdata.worldbank.org/metadata/export/3823/json;https://microdata.worldbank.org/catalog/3823/data-dictionary;https://microdata.worldbank.org/catalog/3823/related-materials,existing priority official raw access probe snapshot reused
2026-07-09T19:57:04+00:00,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,pdf_documentation,https://microdata.worldbank.org/catalog/3823/pdf-documentation,,,,,saved_existing,temp/source_snapshots/priority_public_documentation/2_ETH_2018_ESS_v04_M/pdf_documentation.pdf,6113360,a8f04b382519ca53b3fe52342e52165001e161a76be5f87fc23f70897acc024e,0,,,,,existing priority public documentation snapshot reused
2026-07-09T19:57:04+00:00,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,ddi_metadata,https://microdata.worldbank.org/metadata/export/3823/ddi,,,,,saved_existing,temp/source_snapshots/priority_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,5398132,10cf6ee15f74da87de274b162acd1795d08feda49910a8f7b16e49bcd0760f5e,1,,,,,existing priority public documentation snapshot reused
2026-07-09T19:57:04+00:00,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,json_metadata,https://microdata.worldbank.org/metadata/export/3823/json,,,,,saved_existing,temp/source_snapshots/priority_public_documentation/2_ETH_2018_ESS_v04_M/json_metadata.json,24029,f809820fffd812266cb69c0ce85a935f46cc513292b2f6ec020c76acfa1fdfd7,1,,,,,existing priority public documentation snapshot reused
