probe_time,threshold_sequence_rank,threshold_download_role,country,wave,idno,catalog_id,endpoint_name,endpoint_url,endpoint_role,http_status,final_url,content_type,content_length_header,content_disposition,bytes_read,truncated,content_sha256_limited,endpoint_classification,raw_download_candidate,access_gate_detected,metadata_endpoint_detected,candidate_links,evidence_flags,next_action
2026-07-10T14:43:16+00:00,1,minimum_10_wave_core,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,catalog_numeric_api,https://microdata.worldbank.org/index.php/api/catalog/6161,numeric catalog API check,400,https://microdata.worldbank.org/index.php/api/catalog/6161,application/json; charset=utf-8,46,,46,0,942399b1f9db3808a467516c5fbbcc182f40963b1a1c48c3573aa74401bafa9e,http_error_not_public_endpoint,0,0,0,,,Use official catalog/get-microdata workflow; do not treat this endpoint as raw access.
2026-07-10T14:43:18+00:00,1,minimum_10_wave_core,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,catalog_idno_api,https://microdata.worldbank.org/index.php/api/catalog/ETH_2021_ESPS-W5_v02_M,IDNO catalog API check,,,,,,0,0,,request_failed,0,0,0,,request_error,"Retry official endpoint manually. Error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2026-07-10T14:43:23+00:00,1,minimum_10_wave_core,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,variables_idno_api,https://microdata.worldbank.org/index.php/api/catalog/ETH_2021_ESPS-W5_v02_M/variables,IDNO variable metadata API check,200,https://microdata.worldbank.org/index.php/api/catalog/ETH_2021_ESPS-W5_v02_M/variables,application/json; charset=utf-8,,,312112,0,7a039b327fe97502bb9609e567ea96a118bf1b26e6abb507c77df0003ffe4168,public_metadata_endpoint_not_raw_package,0,1,1,,access_gate_language;metadata_endpoint,Use as metadata evidence only; raw package receipt still requires original files.
2026-07-10T14:43:25+00:00,1,minimum_10_wave_core,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,metadata_ddi_export,https://microdata.worldbank.org/metadata/export/6161/ddi,DDI/XML metadata export,200,https://microdata.worldbank.org/metadata/export/6161/ddi,application/octet-stream,4157326,"attachment; filename=""ETH_2021_ESPS-W5_v02_M.xml""",524288,1,ffbc9231b4ddc890a9a21f079e65585d4806226f90ca0a5648292d9aabbacfc4,public_metadata_endpoint_not_raw_package,0,1,1,,access_gate_language;metadata_endpoint,Use as metadata evidence only; raw package receipt still requires original files.
2026-07-10T14:43:33+00:00,1,minimum_10_wave_core,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,metadata_json_export,https://microdata.worldbank.org/metadata/export/6161/json,JSON metadata export,200,https://microdata.worldbank.org/metadata/export/6161/json,application/json; charset=UTF-8,,,21145,0,3da43b2f41618a4f2c7a0289a2a002fc8ac3945532a56272d1fe7769c447f761,public_metadata_endpoint_not_raw_package,0,0,1,,metadata_endpoint,Use as metadata evidence only; raw package receipt still requires original files.
2026-07-10T14:43:34+00:00,1,minimum_10_wave_core,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,numeric_get_microdata_page,https://microdata.worldbank.org/catalog/6161/get-microdata,numeric get-microdata page,,,,,,0,0,,request_failed,0,0,0,,request_error,"Retry official endpoint manually. Error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2026-07-10T14:43:39+00:00,1,minimum_10_wave_core,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,numeric_download_page,https://microdata.worldbank.org/catalog/6161/download,numeric download route check,200,https://microdata.worldbank.org/catalog/6161/download,text/html; charset=UTF-8,0,,0,0,,empty_download_route_not_raw_package,0,0,0,,empty_body,Use the official get-microdata workflow; no public raw payload returned.
2026-07-10T14:43:40+00:00,1,minimum_10_wave_core,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,idno_get_microdata_page,https://microdata.worldbank.org/catalog/ETH_2021_ESPS-W5_v02_M/get-microdata,IDNO get-microdata route check,,,,,,0,0,,request_failed,0,0,0,,request_error,"Retry official endpoint manually. Error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2026-07-10T14:43:45+00:00,2,minimum_10_wave_core,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,catalog_numeric_api,https://microdata.worldbank.org/index.php/api/catalog/3823,numeric catalog API check,400,https://microdata.worldbank.org/index.php/api/catalog/3823,application/json; charset=utf-8,46,,46,0,942399b1f9db3808a467516c5fbbcc182f40963b1a1c48c3573aa74401bafa9e,http_error_not_public_endpoint,0,0,0,,,Use official catalog/get-microdata workflow; do not treat this endpoint as raw access.
2026-07-10T14:43:46+00:00,2,minimum_10_wave_core,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,catalog_idno_api,https://microdata.worldbank.org/index.php/api/catalog/ETH_2018_ESS_v04_M,IDNO catalog API check,,,,,,0,0,,request_failed,0,0,0,,request_error,"Retry official endpoint manually. Error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2026-07-10T14:43:51+00:00,2,minimum_10_wave_core,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,variables_idno_api,https://microdata.worldbank.org/index.php/api/catalog/ETH_2018_ESS_v04_M/variables,IDNO variable metadata API check,200,https://microdata.worldbank.org/index.php/api/catalog/ETH_2018_ESS_v04_M/variables,application/json; charset=utf-8,,,310096,0,21ed0bc2bcc2d88092cf6ee08bc974637e92862275dda62d6fc0e52c4dcda808,public_metadata_endpoint_not_raw_package,0,1,1,,access_gate_language;metadata_endpoint,Use as metadata evidence only; raw package receipt still requires original files.
