acquisition_batch_rank,campaign_phase,threshold_role,country_role,country,wave,idno,batch_role,survey_name,official_url,local_target_folder,public_documentation_status,official_metadata_evidence_status,official_endpoint_matrix_status,core_file_endpoint_matrix_status,credentialed_acquisition_status,raw_receipt_status,receipt_original_file_count,receipt_priority_targets_missing,financial_protection_status,access_forgone_care_status,climate_linkage_status,analysis_ready_status,promoted_registry_status,download_priority_action,post_download_validation_commands,promotion_stop_rule,handoff_readme
1,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,priority_10_wave_batch,Socio-Economic Panel Survey 2021-2022,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
2,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,priority_10_wave_batch,Socioeconomic Survey 2018-2019,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
3,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,priority_10_wave_batch,"Marriage Transitions in Malawi 2007-2009, Panel Data",https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
4,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,priority_10_wave_batch,"General Household Survey, Panel  2012-2013, Wave 2",https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
5,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,priority_10_wave_batch,"General Household Survey, Panel  2015-2016, Wave 3",https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
6,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,priority_10_wave_batch,"General Household Survey, Panel 2010-2011, Wave 1",https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
7,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,priority_10_wave_batch,"National Panel Survey 2008-2009, Wave 1",https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
8,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,priority_10_wave_batch,"National Panel Survey 2010-2011, Wave 2",https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
9,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,priority_10_wave_batch,"National Panel Survey 2012-2013, Wave 3",https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
10,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,core_five_country_base,Uganda,2014,UGA_2014_SAGE-EL_v01_M,priority_10_wave_batch,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",https://microdata.worldbank.org/catalog/2654/get-microdata,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,ready,ready,ready,core_file_routes_confirmed_non_public_raw,ready_for_credentialed_manual_download,not_received_no_original_raw_package,0,12,blocked,blocked,blocked,not_promoted,not_promoted,"Open official get-microdata URL with an authorized account, complete terms/Data Access Agreement, download the complete unchanged package plus documentation, and place it in the target folder.",python script/17_audit_raw_downloads.py; python script/128_build_priority_archive_member_preflight.py; python script/130_build_priority_raw_package_receipt_ledger.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/125_build_priority_climate_linkage_preflight.py; python script/126_build_priority_raw_verification_workbook.py; python script/129_build_priority_manual_verification_decision_gate.py; python script/140_build_priority_first_pass_variable_review_queue.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/134_build_priority_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until the complete original package, raw value verification, outcome readiness, and CHIRPS/ERA5 linkage gates pass.",temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_THRESHOLD_ACQUISITION_CAMPAIGN.md
