source_name,dataset,official_url,files_needed,reason,status
DHS Program,DHS/MIS/AIS country surveys with GPS or health-care access modules,https://dhsprogram.com/data/,"household, individual, GPS cluster files where relevant",free account and terms approval are normally required; use as secondary access sample unless OOP/consumption are available,manual registration likely required
UNICEF MICS,MICS country surveys with health-care access modules,https://mics.unicef.org/surveys,household and individual microdata plus questionnaires/codebooks,free login/terms may be required; usually lacks full consumption/OOP needed for SDG 3.8.2,manual registration likely required
World Bank Microdata Library,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),https://microdata.worldbank.org/catalog/64/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",Get Microdata page requires login or registration before raw files can be downloaded.,manual terms/login required for raw microdata; public metadata/docs saved where available
World Bank Microdata Library,"Benin - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; BEN_2021_EHCVM-2_v01_M)",https://microdata.worldbank.org/catalog/6272/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",Get Microdata page requires login or registration before raw files can be downloaded.,manual terms/login required for raw microdata; public metadata/docs saved where available
World Bank Microdata Library,Bulgaria - Integrated Household Survey 1995 (1995; BGR_1995_IHS_v01_M),https://microdata.worldbank.org/catalog/2271/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available",Get Microdata page requires login or registration before raw files can be downloaded.,manual terms/login required for raw microdata; public metadata/docs saved where available
World Bank Microdata Library,Bulgaria - Integrated Household Survey 1997 (1997; BGR_1997_IHS_v01_M),https://microdata.worldbank.org/catalog/2272/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Côte d'Ivoire - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; CIV_2021_EHCVM-2_v01_M)",https://microdata.worldbank.org/catalog/6273/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Ethiopia - Job Creation in Ethiopia - Impact Evaluation Survey, 2016-2020 (2016-2020; ETH_2016-2020_FJW_v01_M)",https://microdata.worldbank.org/catalog/6199/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Ethiopia - Socioeconomic Survey 2018-2019 (2018-2019; ETH_2018_ESS_v04_M),https://microdata.worldbank.org/catalog/3823/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Guinea-Bissau - Inquérito Harmonizado sobre as Condiçöes de vide dos Agreagados Familiares, 2021-2022 (2021-2022; GNB_2021_EHCVM-2_v01_M)",https://microdata.worldbank.org/catalog/6274/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Jamaica - Survey of Living Conditions 1997 (1997; JAM_1997_SLC_v01_M),https://microdata.worldbank.org/catalog/2368/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Kyrgyz Republic - Multipurpose Poverty Survey 1993 (1993; KGZ_1993_KMPS_v01_M),https://microdata.worldbank.org/catalog/280/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,Malawi - Second Integrated Household Survey 2004-2005 (2004-2005; MWI_2004_IHS-II_v01_M),https://microdata.worldbank.org/catalog/2307/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Malawi - Marriage Transitions in Malawi 2007-2009, Panel Data (2007-2009; MWI_2007-2009_MTM_v01_M)",https://microdata.worldbank.org/catalog/3462/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
World Bank Microdata Library,"Mali - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 (2021-2022; MLI_2021_EHCVM-2_v01_M)",https://microdata.worldbank.org/catalog/6275/get-microdata,"raw household/person/module files, questionnaires, codebooks, survey design files, geography/GPS files if available","Recovered from existing schema inventory; raw microdata still require login, registration, or Data Access Agreement steps.",manual terms/login required for raw microdata; public metadata/schema already saved
