country,survey_name,wave,idno,file,raw_variable,raw_label,harmonized_variable,unit,recall_period,construction_rule,quality_flag,notes
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_0_identification.sav,m0_q1a,District,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_0_identification.sav,m0_q1b,District Label,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_0_identification.sav,m0_ur,Urban/Rural,rural,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=rural_urban; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_2_Migration.sav,m2_q01,Born in current municipality / commune,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_2_Migration.sav,m2_q02,Continously lived in current municipality / commune,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_2_Migration.sav,m2_q06,District/Country in which before,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\weights_1.sav,distr,District,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\weights_1.sav,distr_n,District Label,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\weights_1.sav,ur,Urban/Rural,rural,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=rural_urban; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_6A_migrationa_cl.sav,m6a_q02,District moved from,admin1_or_admin2,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=admin_geography; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
