acquisition_batch_rank,batch_role,country,wave,idno,item_type,item_id,source_gate_status,manual_fields_required,manual_fields_passed,missing_or_failed_fields,manual_decision_status,review_notes
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect04_com_w5.dta:cs4q28,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect04_com_w5.dta:cs4q30,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect04_com_w5.dta:cs4q37,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect3_hh_w5.dta:s3q10a,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect3_hh_w5.dta:s3q10b,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect3_hh_w5.dta:s3q11,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect3_hh_w5.dta:s3q12a,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect3_hh_w5.dta:s3q12b,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect3_hh_w5.dta:s3q13,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,variable,care_or_barrier:sect3_hh_w5.dta;sect3_pp_w5.dta:s3q16,raw_not_inspected,8,0,fill_raw_file_used; fill_raw_variable_used; fill_variable_label_verified; fill_value_distribution_checked; fill_missing_codes_documented; fill_unit_recall_period_documented; fill_merge_key_level_verified; fill_promote_to_harmonization_recipe,blocked_source_gate_not_ready,
