batch_rank,country,survey_name,wave,idno,included_acquisition_sets,official_url,final_url,http_status,access_gate_detected,direct_raw_route_status,manual_action_status,register_link,request_or_terms_links,saved_access_snapshot,snapshot_sha256,local_target_folder,raw_intake_status,raw_file_inventory_rows,raw_variable_catalog_rows,expected_missing_rows,core_file_queue_rows,total_file_queue_rows,financial_core_expected_files,geography_timing_design_expected_files,dataset_gate_status,handoff_status,manual_download_scope,immediate_post_download_commands,pass_after_download_evidence,fail_closed_stop_rule
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,financial_6_country_probe;double_failure_10_wave_probe,https://microdata.worldbank.org/catalog/64/get-microdata,https://microdata.worldbank.org/catalog/64/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/1_ALB_2005_LSMS_v01_M/get_microdata.html,9b93fd5af23b74cd3619f6b170331f7500d8900ca8e9b7cf189a7777ced081a5,temp/raw_downloads/ALB_2005_LSMS_v01_M/,ready_for_raw_schema_inspection,46,1187,0,4,13,healthA_cl;poverty,agriculture_hhlevel;poverty;identification_cl,blocked_candidate_file_or_variable_not_matched,ready_for_raw_schema_and_value_audit,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_6_country_probe;double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/catalog/6161/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/2_ETH_2021_ESPS-W5_v02_M/get_microdata.html,410375cbf48322038956c1de2d123239d69db99378480a586d63a04f6b015dbe,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,instructions_or_documentation_only,0,0,67,4,13,sect8_3_ls_w5.dta;sect8_2_ls_w5.dta;sect3_hh_w5.dta,sect8_3_ls_w5.dta;sect9_hh_w5.dta,blocked_raw_files_absent,manual_account_terms_download_required,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/catalog/3823/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/3_ETH_2018_ESS_v04_M/get_microdata.html,5c73210ae3043ec5ed992762a8b880157df2aa8de83db8b40ef733672ac4a60e,temp/raw_downloads/ETH_2018_ESS_v04_M/,instructions_or_documentation_only,0,0,67,4,13,sect8_3_ls_w4.dta;sect3_hh_w4.dta;sect8_2_ls_w4.dta,sect8_3_ls_w4.dta;sect9_hh_w4.dta,blocked_raw_files_absent,manual_account_terms_download_required,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,financial_6_country_probe;double_failure_10_wave_probe,https://microdata.worldbank.org/catalog/2368/get-microdata,https://microdata.worldbank.org/catalog/2368/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/4_JAM_1997_SLC_v01_M/get_microdata.html,3c8ab6b17e645e4e7f0aa6e5d73236f18bbfef0d64293f8c1b70af4806dcb8da,temp/raw_downloads/JAM_1997_SLC_v01_M/,instructions_or_documentation_only,0,0,33,3,13,REC003;ANNUAL,REC033,blocked_raw_files_absent,manual_account_terms_download_required,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,financial_6_country_probe;double_failure_10_wave_probe,https://microdata.worldbank.org/catalog/280/get-microdata,https://microdata.worldbank.org/catalog/280/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/5_KGZ_1993_KMPS_v01_M/get_microdata.html,54846c2b4cc81bc6b40f5a5b3080fe1480a3d842eaff37db3eec9f0589db2d23,temp/raw_downloads/KGZ_1993_KMPS_v01_M/,instructions_or_documentation_only,0,0,14,4,12,KHHLD;KADULT;KCHILD;INCEXP,,blocked_raw_files_absent,manual_account_terms_download_required,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,financial_6_country_probe;double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/3462/get-microdata,https://microdata.worldbank.org/catalog/3462/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/6_MWI_2007-2009_MTM_v01_M/get_microdata.html,c552ab45ff5e91e284b8e4897dede3f9b5893112d748ac094c0350fd7ed9eaeb,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,instructions_or_documentation_only,0,0,113,9,20,p2_s10;p2_s11;hh2p3_s17;hh2p3_s16;hh2p2_s11;hh2p2_s9;p1_s4;hh2p1_s4;hh3p1_s4b,,blocked_raw_files_absent,manual_account_terms_download_required,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/2307/get-microdata,https://microdata.worldbank.org/catalog/2307/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/7_MWI_2004_IHS-II_v01_M/get_microdata.html,aadfc3e100c93ffe455629d0cb43051e67b24f0fe8798eaf01483f3a203d29fb,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,instructions_or_documentation_only,0,0,52,11,14,sec_d;sec_i,ihs2_household;sec_r;sec_d;sec_o;sec_g;sec_s;sec_ac;sec_ab;sec_p;sec_q1,blocked_raw_files_absent,manual_account_terms_download_required,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,financial_6_country_probe;double_failure_10_wave_probe,https://microdata.worldbank.org/catalog/1000/get-microdata,https://microdata.worldbank.org/catalog/1000/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/8_NPL_2010_LSS-III_v01_M/get_microdata.html,bc6e21278c5d8d55f68316faee06989b1463e8c328013d359cd1e566010faecb,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,instructions_or_documentation_only,0,0,51,11,17,FINAL_PREF;S08;S19;S13E2,FINAL_PREF;S00;S08;S13A1;anthro;S21;S19;sample;S16;S20,blocked_raw_files_absent,manual_account_terms_download_required,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/catalog/1952/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/9_NGA_2012_GHSP-W2_v02_M/get_microdata.html,6d392c14b4aea8ae3dd8095f61ea1fe430730aca7e09065a08b8b152482bbb0d,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,instructions_or_documentation_only,0,0,101,3,14,sect4a_harvestw2;cons_agg_wave2_visit1;cons_agg_wave2_visit2,,blocked_raw_files_absent,manual_account_terms_download_required,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/catalog/2734/get-microdata,200,1,no_direct_raw_route_access_gate_detected,manual_account_or_terms_required,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/source_snapshots/first_batch_official_raw_access/10_NGA_2015_GHSP-W3_v02_M/get_microdata.html,8223d8f9d2ebbc860b5714c7b9fe92e8d341d841894c3b6e310442b58e4e6817,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,instructions_or_documentation_only,0,0,103,3,14,sect4a_harvestw3;cons_agg_wave3_visit1;cons_agg_wave3_visit2,,blocked_raw_files_absent,manual_account_terms_download_required,"download complete original raw package plus all questionnaires, codebooks, data dictionaries, survey-design files, geography/GPS files if offered; keep source archive and filenames intact",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/35_build_empirical_readiness_dashboard.py; python script/37_build_first_batch_raw_acquisition_checklist.py; python script/38_build_first_batch_raw_verification_workbook.py,raw_file_inventory rows for idno > 0; raw_variable_catalog rows for idno > 0; first-batch dataset gate no longer blocked_raw_files_absent,"do not promote harmonization, outcomes, climate linkage, models, or causal claims until raw value, label, unit, recall-period, missing-code, merge-key, geography, and timing checks pass"
