acquisition_batch_rank,batch_role,country,wave,idno,catalog_id,endpoint_rows,successful_public_metadata_endpoints,successful_variable_api_endpoints,get_microdata_gate_endpoints,raw_download_candidate_endpoints,numeric_api_bad_request_endpoints,credentialed_download_required,endpoint_matrix_status,handoff_readme
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,3462,8,4,0,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1002,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,76,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1050,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2252,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,2654,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,2368,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/JAM_1997_SLC_v01_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,280,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/KGZ_1993_KMPS_v01_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
13,sixth_country_backup_candidate,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,1000,8,4,1,1,0,1,1,metadata_api_confirmed_raw_access_gate_confirmed,temp/raw_downloads/NPL_2010_LSS-III_v01_M/_PRIORITY_OFFICIAL_ENDPOINT_MATRIX.md
