download_priority_order,queue_role,country,wave,idno,requirement,metadata_status,current_archive_preflight_status,requirement_preflight_status,required_next_evidence
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,consumption_or_income,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need_and_access,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,consumption_or_income,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,health_need_and_access,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,metadata_hit_raw_review_required,blocked_no_documentation_candidate,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,metadata_hit_raw_review_required,blocked_no_documentation_candidate,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,metadata_hit_raw_review_required,blocked_no_documentation_candidate,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,blocked_no_documentation_candidate,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,metadata_hit_raw_review_required,blocked_no_documentation_candidate,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,metadata_hit_raw_review_required,blocked_no_documentation_candidate,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,metadata_hit_raw_review_required,blocked_no_documentation_candidate,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_documentation_candidate,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,household_person_keys,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,weights_and_design,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,health_need_and_access,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,survey_timing,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,health_need_and_access,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,household_person_keys,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,weights_and_design,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,consumption_or_income,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,health_need_and_access,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,survey_timing,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,climate_geography,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,household_person_keys,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,weights_and_design,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,consumption_or_income,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,oop_health_expenditure,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,health_need_and_access,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,household_person_keys,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,weights_and_design,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,consumption_or_income,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,health_need_and_access,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,household_person_keys,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,weights_and_design,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,consumption_or_income,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,health_need_and_access,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,climate_geography,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,household_person_keys,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,weights_and_design,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,consumption_or_income,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,health_need_and_access,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,survey_timing,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,climate_geography,metadata_hit_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,missing_codes_units_recall_skip_patterns,raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,household_person_keys,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,weights_and_design,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,consumption_or_income,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,oop_health_expenditure,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,health_need_and_access,not_found_in_public_metadata_raw_review_required,blocked_no_original_archive_or_direct_files,blocked_no_archive_or_direct_raw_evidence,"Readable archive/direct raw file plus documentation, followed by schema inspection and manual value/unit/key review."
