download_priority_order,queue_role,country,wave,idno,survey_name,official_get_microdata_url,local_target_folder,required_package_scope,current_original_file_count,current_archive_file_count,current_raw_tabular_file_count,current_documentation_file_count,public_documentation_status,public_documentation_snapshot_count,public_documentation_snapshot_paths,raw_package_status,intake_acceptance_status,archive_preflight_status,current_receipt_status,next_action,post_receipt_commands,fill_download_account_or_source,fill_received_package_file_names,fill_received_documentation_file_names,fill_download_date,fill_original_package_sha256_manifest_done,fill_terms_or_daa_confirmed,fill_complete_package_received,fill_ready_for_raw_value_review,review_notes,handoff_readme
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",0,0,0,0,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/1_ETH_2021_ESPS-W5_v02_M/related_materials_html.html,not_received_no_original_raw_package,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,Place the complete unchanged official raw package and all documentation in the target folder.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",0,0,0,0,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/2_ETH_2018_ESS_v04_M/related_materials_html.html,not_received_no_original_raw_package,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,Place the complete unchanged official raw package and all documentation in the target folder.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,https://microdata.worldbank.org/catalog/2307/get-microdata,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",1,1,0,0,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/3_MWI_2004_IHS-II_v01_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/3_MWI_2004_IHS-II_v01_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/3_MWI_2004_IHS-II_v01_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/3_MWI_2004_IHS-II_v01_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/3_MWI_2004_IHS-II_v01_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/3_MWI_2004_IHS-II_v01_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/3_MWI_2004_IHS-II_v01_M/related_materials_html.html,raw_payload_present_documentation_missing,blocked_missing_documentation,ready_for_raw_receipt_schema_and_manual_review,ready_for_raw_value_review,Proceed to raw value workbook review and fill only evidence-backed acceptance fields.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/MWI_2004_IHS-II_v01_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",122,0,120,2,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/4_NGA_2012_GHSP-W2_v02_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/4_NGA_2012_GHSP-W2_v02_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/4_NGA_2012_GHSP-W2_v02_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/4_NGA_2012_GHSP-W2_v02_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/4_NGA_2012_GHSP-W2_v02_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/4_NGA_2012_GHSP-W2_v02_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/4_NGA_2012_GHSP-W2_v02_M/related_materials_html.html,original_package_candidate_present,ready_for_schema_and_manual_value_review,ready_for_raw_receipt_schema_and_manual_review,ready_for_raw_value_review,Proceed to raw value workbook review and fill only evidence-backed acceptance fields.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",117,0,115,2,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/5_NGA_2015_GHSP-W3_v02_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/5_NGA_2015_GHSP-W3_v02_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/5_NGA_2015_GHSP-W3_v02_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/5_NGA_2015_GHSP-W3_v02_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/5_NGA_2015_GHSP-W3_v02_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/5_NGA_2015_GHSP-W3_v02_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/5_NGA_2015_GHSP-W3_v02_M/related_materials_html.html,original_package_candidate_present,ready_for_schema_and_manual_value_review,ready_for_raw_receipt_schema_and_manual_review,ready_for_raw_value_review,Proceed to raw value workbook review and fill only evidence-backed acceptance fields.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",111,0,107,4,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/6_NGA_2010_GHSP-W1_v03_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/6_NGA_2010_GHSP-W1_v03_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/6_NGA_2010_GHSP-W1_v03_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/6_NGA_2010_GHSP-W1_v03_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/6_NGA_2010_GHSP-W1_v03_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/6_NGA_2010_GHSP-W1_v03_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/6_NGA_2010_GHSP-W1_v03_M/related_materials_html.html,original_package_candidate_present,ready_for_schema_and_manual_value_review,ready_for_raw_receipt_schema_and_manual_review,ready_for_raw_value_review,Proceed to raw value workbook review and fill only evidence-backed acceptance fields.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",67,0,66,1,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/7_TZA_2008_NPS-R1_v03_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/7_TZA_2008_NPS-R1_v03_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/7_TZA_2008_NPS-R1_v03_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/7_TZA_2008_NPS-R1_v03_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/7_TZA_2008_NPS-R1_v03_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/7_TZA_2008_NPS-R1_v03_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/7_TZA_2008_NPS-R1_v03_M/related_materials_html.html,original_package_candidate_present,ready_for_schema_and_manual_value_review,ready_for_raw_receipt_schema_and_manual_review,ready_for_raw_value_review,Proceed to raw value workbook review and fill only evidence-backed acceptance fields.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",100,0,99,1,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/8_TZA_2010_NPS-R2_v03_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/8_TZA_2010_NPS-R2_v03_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/8_TZA_2010_NPS-R2_v03_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/8_TZA_2010_NPS-R2_v03_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/8_TZA_2010_NPS-R2_v03_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/8_TZA_2010_NPS-R2_v03_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/8_TZA_2010_NPS-R2_v03_M/related_materials_html.html,original_package_candidate_present,ready_for_schema_and_manual_value_review,ready_for_raw_receipt_schema_and_manual_review,ready_for_raw_value_review,Proceed to raw value workbook review and fill only evidence-backed acceptance fields.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",87,0,85,2,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/9_TZA_2012_NPS-R3_v01_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/9_TZA_2012_NPS-R3_v01_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/9_TZA_2012_NPS-R3_v01_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/9_TZA_2012_NPS-R3_v01_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/9_TZA_2012_NPS-R3_v01_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/9_TZA_2012_NPS-R3_v01_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/9_TZA_2012_NPS-R3_v01_M/related_materials_html.html,original_package_candidate_present,ready_for_schema_and_manual_value_review,ready_for_raw_receipt_schema_and_manual_review,ready_for_raw_value_review,Proceed to raw value workbook review and fill only evidence-backed acceptance fields.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,National Panel Survey 2019-2020,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,"Complete unchanged World Bank official package for this IDNO, including raw microdata modules, documentation, questionnaires, codebooks, DDI/XML, and any geography or timing supplements that the get-microdata package provides.",0,0,0,0,complete_core_public_documentation_receipt,7,temp/source_snapshots/priority_lsms_isa_public_documentation/10_UGA_2019_UNPS_v03_M/get_microdata_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/10_UGA_2019_UNPS_v03_M/catalog_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/10_UGA_2019_UNPS_v03_M/variables_idno_json.json; temp/source_snapshots/priority_lsms_isa_public_documentation/10_UGA_2019_UNPS_v03_M/ddi_metadata.xml; temp/source_snapshots/priority_lsms_isa_public_documentation/10_UGA_2019_UNPS_v03_M/json_metadata.json; temp/source_snapshots/priority_lsms_isa_public_documentation/10_UGA_2019_UNPS_v03_M/data_dictionary_html.html; temp/source_snapshots/priority_lsms_isa_public_documentation/10_UGA_2019_UNPS_v03_M/related_materials_html.html,not_received_no_original_raw_package,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,Place the complete unchanged official raw package and all documentation in the target folder.,python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,,,,,,,temp/raw_downloads/UGA_2019_UNPS_v03_M/_PRIORITY_LSMS_ISA_RAW_PACKAGE_RECEIPT_CHECKLIST.md
