acquisition_batch_rank,batch_role,country,survey_name,wave,idno,concept,required_for,candidate_rank_within_concept,candidate_files,candidate_raw_variable,candidate_harmonized_variables,raw_label,metadata_confidence,confidence_reason,verification_checks,minimum_raw_evidence_needed,raw_file_status,raw_variable_status,verification_status,harmonization_decision,fill_raw_file_used,fill_raw_variable_used,fill_variable_label_verified,fill_value_distribution_checked,fill_missing_codes_documented,fill_unit_recall_period_documented,fill_merge_key_level_verified,fill_outlier_or_skip_pattern_notes,fill_promote_to_harmonization_recipe,review_notes
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,1,sect04_com_w5.dta,cs4q28,reason_not_sought_distance,28. Distance to the nearest place where one can purchase common medicines,high,health-care access/barrier evidence,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,2,sect04_com_w5.dta,cs4q30,reason_not_sought_distance,30. What is the distance to the nearest place where there is a health post?,high,health-care access/barrier evidence,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,3,sect04_com_w5.dta,cs4q37,care_sought;reason_not_sought_distance,37. Distance to the nearest hospital/health facility with a medical doctor,high,health-care access/barrier evidence,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,4,sect3_hh_w5.dta,s3q10a,care_sought;illness_or_injury_need,10a.Where did [NAME] consultation take place for first illness,high,health-care access/barrier evidence;explicit illness/injury/need evidence,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,5,sect3_hh_w5.dta,s3q10b,care_sought;illness_or_injury_need,10b. Where did [NAME] consultation take place for second illness,high,health-care access/barrier evidence;explicit illness/injury/need evidence,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,6,sect3_hh_w5.dta,s3q11,care_sought,11.How much did [NAME] pay for the first consultation,high,health-care access/barrier evidence,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,7,sect3_hh_w5.dta,s3q12a,care_sought;reason_not_sought_distance,12a.How long did [NAME]'s first consultation take including travel time_Hours,high,health-care access/barrier evidence,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,8,sect3_hh_w5.dta,s3q12b,care_sought;reason_not_sought_distance,12b.How long did [NAME]'s first consultation take including travel time_Minutes,high,health-care access/barrier evidence,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,9,sect3_hh_w5.dta,s3q13,care_not_sought_reason,13. Main reason for [NAME] not consulting a healthcare provider,high,health-care access/barrier evidence,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,10,sect3_hh_w5.dta;sect3_pp_w5.dta,s3q16,care_sought;agriculture_livelihood,16. Were any of [NAME]'s consultations inpatient visits;16.Is  [FIELD] under Extension Program during the current agricultural season?,high,health-care access/barrier evidence;agriculture/livelihood evidence; moderator role requires raw data,care-seeking denominator; barrier categories; cost/distance/supply coding; skip pattern; multiple responses,care-seeking or reason/barrier for not seeking care,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_until_raw_files_present,,,,,,,,,,
