scenario_rank,failed_minimum_country,failed_minimum_wave,failed_minimum_idno,failure_type,countries_after_failure_without_replacement,waves_after_failure_without_replacement,country_threshold_without_replacement,wave_threshold_without_replacement,replacement_required_for_threshold,selected_replacement_idno,selected_replacement_country,selected_replacement_wave,selected_replacement_reason,countries_after_selected_replacement,waves_after_selected_replacement,country_threshold_after_selected_replacement,wave_threshold_after_selected_replacement,priority_country_waves_after_selected_replacement,sixth_country_status_after_selected_replacement,next_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,single_minimum_batch_wave_fails_receipt_or_value_gate,6,10,passes,passes,0,MWI_2019_IHS-V_v06_M,Malawi,2019-2020,optional_buffer_to_restore_11th_wave_after_single_wave_failure,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,single_minimum_batch_wave_fails_receipt_or_value_gate,6,10,passes,passes,0,MWI_2019_IHS-V_v06_M,Malawi,2019-2020,optional_buffer_to_restore_11th_wave_after_single_wave_failure,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,single_minimum_batch_wave_fails_receipt_or_value_gate,6,10,passes,passes,0,MWI_2019_IHS-V_v06_M,Malawi,2019-2020,optional_buffer_to_restore_11th_wave_after_single_wave_failure,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,single_minimum_batch_wave_fails_receipt_or_value_gate,6,10,passes,passes,0,MWI_2019_IHS-V_v06_M,Malawi,2019-2020,optional_buffer_to_restore_11th_wave_after_single_wave_failure,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,single_minimum_batch_wave_fails_receipt_or_value_gate,6,10,passes,passes,0,MWI_2019_IHS-V_v06_M,Malawi,2019-2020,optional_buffer_to_restore_11th_wave_after_single_wave_failure,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,single_minimum_batch_wave_fails_receipt_or_value_gate,6,10,passes,passes,0,MWI_2019_IHS-V_v06_M,Malawi,2019-2020,optional_buffer_to_restore_11th_wave_after_single_wave_failure,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,single_minimum_batch_wave_fails_receipt_or_value_gate,6,10,passes,passes,0,MWI_2019_IHS-V_v06_M,Malawi,2019-2020,optional_buffer_to_restore_11th_wave_after_single_wave_failure,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,single_minimum_batch_wave_fails_receipt_or_value_gate,6,10,passes,passes,0,MWI_2019_IHS-V_v06_M,Malawi,2019-2020,optional_buffer_to_restore_11th_wave_after_single_wave_failure,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,single_minimum_batch_wave_fails_receipt_or_value_gate,5,10,fails_short_by_1,passes,1,UGA_2011_UNPS_v02_M,Uganda,2011-2012,selected_to_restore_failed_country_or_wave_threshold,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,single_minimum_batch_wave_fails_receipt_or_value_gate,5,10,fails_short_by_1,passes,1,JAM_1997_SLC_v01_M,Jamaica,1997,selected_to_restore_failed_country_or_wave_threshold,6,11,passes,passes,10,has_sixth_country,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",blocked_no_data_write,blocked
