download_priority_order,queue_role,country,wave,idno,requirement,metadata_status,metadata_evidence_excerpt,current_raw_package_status,requirement_acceptance_status,required_evidence,raw_review_action
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,metadata_hit_raw_review_required,saq08: Household ID | saq08: Household ID | saq08: Household ID | individual_id: Household member ID | s1q14: 14. What is the individual ID of [NAME]'s biological father? | s1q18: 18. What is the person ID of [NAME]'s...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,metadata_hit_raw_review_required,pw_w5: household sample weight | pw_w5: household sample weight | pw_w5: household sample weight | s9q04_1: 4. What did HH do in response to this [SHOCK]? (STRATEGY 1) | s9q04_2: 4. What did HH do in response to this ...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,consumption_or_income,metadata_hit_raw_review_required,ls_s8_2q14: 14.What was the total income from [LIVESTOCK] sales? | ls_s8_2q18: 18.Total income from these sales of the slaughtered [LIVESTOCK] meat,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_health_expenditure,metadata_weak_or_proxy_raw_review_required,cs5q09: 9. Is there a cooperative to create opportunities for work? | cs5q10: 10. Share of adult males in community participating in cooperative project | cs5q11: 11. Share of adult females in community participating ...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need_and_access,metadata_hit_raw_review_required,"s3q05: 5. During the last 4 weeks, did [NAME] suffer from any illness or injury? | s3q06_1: 6. What type of illness/injury did [NAME] suffer most? (Illness 1) | s3q06_2: 6. What type of illness/injury did [NAME] suffe...",not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,metadata_hit_raw_review_required,InterviewDate: 20. Date of Interview | InterviewDate: 20. Date of Interview | InterviewDate: 20. Date of Interview | InterviewDate: 20. Date of Interview | InterviewDate: 20. Date of Interview | InterviewDate: 20. Dat...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,metadata_hit_raw_review_required,saq19__Latitude: GPS coordinates of the dwelling: Latitude | saq19__Longitude: GPS coordinates of the dwelling: Longitude | saq19__Accuracy: GPS coordinates of the dwelling: Accuracy | saq01: Region code | saq01: Regi...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,missing_codes_units_recall_skip_patterns,raw_review_required,"Public metadata cannot verify missing codes, skip patterns, units, and recall periods; inspect original raw files and documentation.",not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,metadata_hit_raw_review_required,saq08: Household ID | saq08: Household ID | saq08: Household ID | individual_id: Household member ID | s1q14: 14. What is the individual ID of [NAME]'s biological father? | s1q18: 18. What is the person ID of [NAME]'s...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,metadata_hit_raw_review_required,pw_w4: Final adjusted wave 4 weight | pw_w4: Final adjusted wave 4 weight | pw_w4: Final adjusted wave 4 weight | s9q04_1: 4. What did HH do in response to this [SHOCK]? (STRATEGY 1) | s9q04_2: 4. What did HH do in re...,not_received_no_original_raw_package,blocked_no_original_package,"Original raw variables, labels, values, units, recall periods, missing codes, skip patterns, merge keys, and documentation must be reviewed directly.","Verify this requirement directly in the original raw package, questionnaires, codebooks, and value labels."
