country,survey_name,wave,idno,file,raw_variable,raw_label,harmonized_variable,unit,recall_period,construction_rule,quality_flag,notes
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_0_identification.sav,hh,Household ID,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_0_identification.sav,hhid,,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_0_identification.sav,m0_q08m,Month of Interview,interview_date_or_survey_month,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=interview_date; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_0_identification.sav,m0_q08m2,Month of Interview,interview_date_or_survey_month,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=interview_date; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_0_identification.sav,psu,PSU,psu_or_cluster_id,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=psu_cluster; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_11A_nonfoodexp_1m_cl.sav,HH,Household ID,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_11A_nonfoodexp_1m_cl.sav,HHID,,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_11A_nonfoodexp_1m_cl.sav,PSU,PSU,psu_or_cluster_id,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=psu_cluster; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_11B_nonfoodexp_6m_cl.sav,HH,Household ID,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_11B_nonfoodexp_6m_cl.sav,HHID,,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_11B_nonfoodexp_6m_cl.sav,PSU,PSU,psu_or_cluster_id,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=psu_cluster; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_11C_nonfoodexp_12m_cl.sav,HH,Household ID,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_11C_nonfoodexp_12m_cl.sav,HHID,,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_11C_nonfoodexp_12m_cl.sav,PSU,PSU,psu_or_cluster_id,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=psu_cluster; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_12A_agr_a1_cl.sav,HH,Household ID,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_12A_agr_a1_cl.sav,HHID,,hhid,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=household_id; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_12A_agr_a1_cl.sav,PSU,PSU,psu_or_cluster_id,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=psu_cluster; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
