download_rank,country,wave,idno,requirement,file_rank,file_name,file_description,candidate_variable_rows,strong_candidate_variable_rows,top_variable_names,official_metadata_status,raw_value_verification_status,minimum_batch_review_role,local_target_folder,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,1,sect_cover_pp_w5.dta,Post-planting - Cover page,1,1,InterviewDate,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,2,sect_cover_ph_w5.dta,Post-harvest - Cover page,1,1,InterviewDate,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,3,sect_cover_ls_w5.dta,Livestock - Cover page,1,1,InterviewDate,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,4,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,2,2,s12bq08a;s12bq08b,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,5,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",2,0,item_cd_12months;s7q04,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,6,eth_householdgeovariables_y5.dta,Household geo-variables,1,1,wetQ_avgstart,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,7,sect_cover_hh_w5.dta,Household Data - Cover page,1,1,saq19__Timestamp,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,8,eth_plotgeovariables_y5.dta,Plot geo-variables,1,1,wetQ_avgstart,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,1,sect_cover_hh_w5.dta,Household Data - Cover page,2,2,saq19__Latitude;saq19__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,2,sect10a_com_w5.dta,Community - Market prices: market location,2,2,cs10q05__Latitude;cs10q05__Longitude,official_public_metadata_file_candidate,not_raw_value_verified,timing_geography_raw_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_data_write,blocked
