download_priority_order,queue_role,country,wave,idno,catalog_id,survey_name,official_get_microdata_url,register_url,terms_url,local_target_folder,official_full_file_rows,core_file_checklist_rows,requirement_rows,priority_core_file_names,public_documentation_status,access_gate_detected,current_receipt_status,current_original_file_count,current_archive_file_count,current_raw_tabular_file_count,current_documentation_file_count,download_scope,credentialed_acquisition_status,next_manual_action,post_download_validation_commands,handoff_readme
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,Socio-Economic Panel Survey 2021-2022,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,68,36,8,sect_cover_hh_w5.dta;sect10a_com_w5.dta;sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect3_pp_w5.dta;cons_agg_w5.dta;sect3_hh_w5.dta;sect04_com_w5.dta;sect1_hh_w5.dta;sect12b1_hh_w5.dta;sect1_pp_w5.dta;sect1_ph_w5.dta;sect2_pp_w5.dta;sect4_pp_w5.dta;sect6c_hh_w5.dta,complete_core_public_documentation_receipt,1,blocked_no_original_package,0,0,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,Socioeconomic Survey 2018-2019,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/ETH_2018_ESS_v04_M/,68,35,8,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect3_pp_w4.dta;sect10a_com_w4.dta;sect_cover_hh_w4.dta;sect7a_hh_w4.dta;cons_agg_w4.dta;sect3_hh_w4.dta;sect04_com_w4.dta;sect1_hh_w4.dta;sect11b1_hh_w4.dta;sect10d1_hh_w4.dta;sect1_ph_w4.dta;sect1_pp_w4.dta;sect10b_hh_w4.dta,complete_core_public_documentation_receipt,1,blocked_no_original_package,0,0,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2307,Second Integrated Household Survey 2004-2005,https://microdata.worldbank.org/catalog/2307/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,52,37,8,sec_a.NSDstat;sec_f.NSDstat;sec_g.NSDstat;sec_h.NSDstat;sec_i.NSDstat;sec_j1.NSDstat;sec_j2.NSDstat;sec_k.NSDstat;sec_aa.NSDstat;sec_d.NSDstat;mod_d.NSDstat;sec_b.NSDstat;sec_z1.NSDstat;ihs2_household.NSDstat;sec_c.NSDstat;sec_v.NSDstat,complete_core_public_documentation_receipt,1,blocked_no_raw_tabular_file,1,1,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/MWI_2004_IHS-II_v01_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,"General Household Survey, Panel  2012-2013, Wave 2",https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,103,26,8,HHTrack;secta_harvestw2;NGA_HouseholdGeovars_Y2;cons_agg_wave2_visit1;cons_agg_wave2_visit2;sect8e_plantingw2;sect8a_plantingw2;sect4a_harvestw2;secta7_harvestw2;sect4b_harvestw2;sect1_plantingw2;sect1_harvestw2;secta10_harvestw2;sect11a_plantingw2;sect11a1_plantingw2;sect12_plantingw2,complete_core_public_documentation_receipt,1,blocked_no_original_package,0,0,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,"General Household Survey, Panel  2015-2016, Wave 3",https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,104,26,8,sect1_harvestw3;NGA_HouseholdGeovars_Y3;sectc1_harvestw3;sectc2_harvestw3;cons_agg_wave3_visit1;cons_agg_wave3_visit2;sect8a_plantingw3;sect4a_harvestw3;sect3_plantingw3;sect11a_plantingw3;sect1_plantingw3;sect11a1_plantingw3;sect12_plantingw3;secta10_harvestw3;sect7a_plantingw3;sect7b_plantingw3,complete_core_public_documentation_receipt,1,blocked_no_original_package,0,0,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1002,"General Household Survey, Panel 2010-2011, Wave 1",https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,99,27,8,NGA_HouseholdGeovariables_Y1;cons_agg_wave1_visit1;cons_agg_wave1_visit2;sect4a_harvestw1;sect4b_harvestw1;sect3a_harvestw1;secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1;secta9b2_harvestw1;secta10_harvestw1;secta41_harvestw1;secta_harvestw1;sectc_plantingw1,complete_core_public_documentation_receipt,1,blocked_no_original_package,0,0,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,76,"National Panel Survey 2008-2009, Wave 1",https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,61,35,8,HH.Geovariables_Y1;SEC_A_T_English_Labels;SEC_A_T_Swahili_Labels;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG;SECTCH;SECTCI;TZY1.HH.Consumption;SEC_L_Swahili_Labels;SEC_M_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_I_English_Labels;Agriculture SEC_1_ALL_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_Swahili_Labels;SEC_2A_Swahili_Labels,complete_core_public_documentation_receipt,1,blocked_no_original_package,0,0,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1050,"National Panel Survey 2010-2011, Wave 2",https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,95,38,8,HH_SEC_A;TZY2.EA.Offsets;Plot.Geovariables_Y2;TZY1.HH.Consumption;TZY2.HH.Consumption;HH.Geovariables_Y2;HH_SEC_L;HH_SEC_D;FS_H2;FS_N2;HH_SEC_G;HH_SEC_B;AG_SEC10B;AG_SEC7A;AG_SEC7B;FS_J1,complete_core_public_documentation_receipt,1,blocked_no_original_package,0,0,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2252,"National Panel Survey 2012-2013, Wave 3",https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,80,33,8,COM_SEC_A1A2.NSDstat;AG_SEC_2A.NSDstat;AG_SEC_A.NSDstat;HH_SEC_A.NSDstat;LF_SEC_A.NSDstat;HH_SEC_K.NSDstat;HH_SEC_L.NSDstat;HH_SEC_D.NSDstat;ConsumptionNPS3.NSDstat;LF_SEC_13B.NSDstat;HH_SEC_G.NSDstat;AG_SEC_11.NSDstat;COM_SEC_CB.NSDstat;HH_SEC_B.NSDstat;AG_SEC_01.NSDstat;AG_SEC_2B.NSDstat,complete_core_public_documentation_receipt,1,blocked_no_original_package,0,0,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,3902,National Panel Survey 2019-2020,https://microdata.worldbank.org/catalog/3902/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/UGA_2019_UNPS_v03_M/,109,39,8,pov2019_20.NSDstat;GSEC1.NSDstat;CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat;CSEC2C_0.NSDstat;GSEC15B.NSDstat;CSEC4B.NSDstat;CSEC4L.NSDstat;GSEC6_1.NSDstat;GSEC2.NSDstat;GSEC15C.NSDstat;GSEC15D.NSDstat;GSEC17_1.NSDstat,complete_core_public_documentation_receipt,1,blocked_no_original_package,0,0,0,0,"Download the complete unchanged official World Bank package for this IDNO, including all raw microdata files, archives, documentation, questionnaires, codebooks, DDI/XML, and geography/timing supplements exposed after login.",ready_for_credentialed_manual_download,"Open official_get_microdata_url, log in or register if required, accept official terms/Data Access Agreement, download the complete unchanged raw package plus all documentation, and place all files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,temp/raw_downloads/UGA_2019_UNPS_v03_M/_PRIORITY_LSMS_ISA_CREDENTIALED_RAW_ACQUISITION_WORKBENCH.md
