priority_rank,priority_score,idno,dataset,official_url,file_name,module_guess,unit_guess,candidate_categories,candidate_harmonized_variables,candidate_raw_variables_examples,candidate_variable_count,download_status,post_download_action,notes
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect8_3_ls_w5.dta,health,community/geography,geography;health_expenditure;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_sought;hhid;household_weight_or_person_weight;oop_health_expenditure;psu_or_cluster_id;rural;shock_module_variable;strata,ls_s8_3q04;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1;ls_s8_3q12_2;ls_s8_3q14;ls_s8_3q17_1;ls_s8_3q17_10;ls_s8_3q17_11;ls_s8_3q17_2,94,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect11_ph_w5.dta,agriculture,agriculture/plot,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural,s11q16;s11q17;s11q17b;saq01;saq14;ea_id;pw_w5;saq07;saq08;harvestedcrop_id;s11q00a;s11q01b,59,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect3_pp_w5.dta,demographics/roster,person,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;household_weight_or_person_weight;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;rural,s3q31e2;s3q08;s3q09__Accuracy;s3q09__Altitude;s3q09__Latitude;s3q09__Longitude;s3q09__Timestamp;s3q37;saq01;saq14;ea_id;pw_w5,48,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect06_com_w5.dta,agriculture,community/geography,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,cs6q09;saq01;saq14;ea_id;saq07;cs6q01;cs6q02_1;cs6q02_2;cs6q02_3;cs6q03_1;cs6q03_2;cs6q03_3,44,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect04_com_w5.dta,other,community/geography,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;asset_index_or_asset_variable;care_sought;psu_or_cluster_id;reason_not_sought_distance;rural;sex;shock_module_variable,cs4q04__0;cs4q04__1;cs4q04__10;cs4q04__11;cs4q04__12;cs4q04__13;cs4q04__2;cs4q04__3;cs4q04__4;cs4q04__5;cs4q04__6;cs4q04__7,42,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect4_pp_w5.dta,agriculture,person,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,saq01;saq14;ea_id;pw_w5;saq07;saq08;crop_id;s4q01a;s4q01b;s4q02;s4q03;s4q04,39,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect9_ph_w5.dta,other,unknown,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,saq01;saq14;ea_id;pw_w5;saq07;saq08;crop_id;s9q00b;s9q01;s9q02;s9q03;s9q04,36,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect8_2_ls_w5.dta,other,agriculture/plot,consumption;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural;total_consumption_or_income,ls_s8_2q14;ls_s8_2q18;ls_s8_2q19;ls_s8_2q20;saq01;saq14;ea_id;pw_w5;saq07;saq08;ls_code;ls_s8_2q01,32,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect3_hh_w5.dta,health,household,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;age;care_not_sought_reason;care_sought;health_insurance;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance;rural,s3q18;s3q19;s3q05;s3q06_1;s3q06_2;s3q06_os;s3q07;s3q09a;s3q09b;s3q10a;s3q10a;s3q10b,31,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
1,18,ETH_2021_ESPS-W5_v02_M,Ethiopia - Socio-Economic Panel Survey 2021-2022 (2021-2022; ETH_2021_ESPS-W5_v02_M),https://microdata.worldbank.org/catalog/6161/get-microdata,sect7_pp_w5.dta,other,unknown,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_not_sought_reason;coping_borrowed;education;household_weight_or_person_weight;psu_or_cluster_id,s7q03;s7q05;s7q08;saq01;ea_id;pw_w5;s7q37;saq07;s7q41;s7q42;s7q01;s7q02,28,pending_manual_download,"place raw file/archive under temp/raw_downloads, then run make all",metadata-derived checklist; verify against raw file names and codebook before harmonization
