download_rank,country,wave,idno,catalog_id,official_get_microdata_url,local_target_folder,file_id,expected_file_name,file_description,case_quantity,variable_quantity,priority_core_target,core_requirements,core_top_variable_names,current_official_file_match_status,matched_local_locations,acceptance_gate_status,post_download_acceptance_action,fill_received_file_or_archive_member,fill_sha256_verified,fill_units_recall_skip_reviewed,fill_ready_for_raw_value_review,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F1,sect_cover_hh_w5.dta,Household Data - Cover page,4959,25,1,climate_geography;survey_timing;weights_and_design,saq19__Latitude;saq19__Longitude;saq19__Timestamp;pw_w5;ea_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F10,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),4959,13,1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F11,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,7692,15,1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F12,sect6b4_hh_w5.dta,Household Data - Food consumed outside home,39672,19,1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F13,sect6c_hh_w5.dta,Household Data - Dietary quality,22688,47,1,household_person_keys;weights_and_design,individual_id;pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F14,sect7a_hh_w5.dta,"Household Data - Nonfood expenditure, one month",59508,15,1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F15,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",64467,15,1,survey_timing;weights_and_design,item_cd_12months;s7q04;pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F16,sect8_hh_w5.dta,Household Data - Food insecurity experience scale,4959,24,1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F17,sect9_hh_w5.dta,Household Data - Shocks,94221,25,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,F18,sect10a_hh_w5.dta,Household Data - Housing,4959,69,0,,,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.,,,,,blocked_no_data_write,blocked
