action_rank,acquisition_batch_rank,batch_role,country,wave,idno,blocking_stage,required_action,local_target_folder,official_url,packet_report
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,https://microdata.worldbank.org/catalog/6161/get-microdata,report/priority_country_wave_promotion_packets/ETH_2021_ESPS-W5_v02_M.md
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/ETH_2018_ESS_v04_M/,https://microdata.worldbank.org/catalog/3823/get-microdata,report/priority_country_wave_promotion_packets/ETH_2018_ESS_v04_M.md
3,3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,https://microdata.worldbank.org/catalog/3462/get-microdata,report/priority_country_wave_promotion_packets/MWI_2007-2009_MTM_v01_M.md
4,4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,https://microdata.worldbank.org/catalog/1952/get-microdata,report/priority_country_wave_promotion_packets/NGA_2012_GHSP-W2_v02_M.md
5,5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,https://microdata.worldbank.org/catalog/2734/get-microdata,report/priority_country_wave_promotion_packets/NGA_2015_GHSP-W3_v02_M.md
6,6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,https://microdata.worldbank.org/catalog/1002/get-microdata,report/priority_country_wave_promotion_packets/NGA_2010_GHSP-W1_v03_M.md
7,7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,https://microdata.worldbank.org/catalog/76/get-microdata,report/priority_country_wave_promotion_packets/TZA_2008_NPS-R1_v03_M.md
8,8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,https://microdata.worldbank.org/catalog/1050/get-microdata,report/priority_country_wave_promotion_packets/TZA_2010_NPS-R2_v03_M.md
9,9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,https://microdata.worldbank.org/catalog/2252/get-microdata,report/priority_country_wave_promotion_packets/TZA_2012_NPS-R3_v01_M.md
10,10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,https://microdata.worldbank.org/catalog/2654/get-microdata,report/priority_country_wave_promotion_packets/UGA_2014_SAGE-EL_v01_M.md
11,11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/JAM_1997_SLC_v01_M/,https://microdata.worldbank.org/catalog/2368/get-microdata,report/priority_country_wave_promotion_packets/JAM_1997_SLC_v01_M.md
12,12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/KGZ_1993_KMPS_v01_M/,https://microdata.worldbank.org/catalog/280/get-microdata,report/priority_country_wave_promotion_packets/KGZ_1993_KMPS_v01_M.md
13,13,sixth_country_backup_candidate,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,download_or_place_complete_original_raw_package,Download/place the complete unchanged original raw package and documentation in local_target_folder.,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,https://microdata.worldbank.org/catalog/1000/get-microdata,report/priority_country_wave_promotion_packets/NPL_2010_LSS-III_v01_M.md
