year,filename,official_url,listed_last_modified,listed_size,product_type,horizon_years,data_format,canonical_csv_product,download_policy
2018,2018_SIPP_Metadata.pdf,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/2018_SIPP_Metadata.pdf,2020-08-18 09:26,2.5M,documentation_or_metadata,,pdf_documentation,False,download_lightweight_source
2018,2018_SIPP_Metadata_v2.pdf,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/2018_SIPP_Metadata_v2.pdf,2020-11-05 16:09,2.6M,documentation_or_metadata,,pdf_documentation,False,download_lightweight_source
2018,2018_SIPP_Metadata_v3.pdf,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/2018_SIPP_Metadata_v3.pdf,2021-11-15 14:31,2.6M,documentation_or_metadata,,pdf_documentation,False,download_lightweight_source
2018,pu2018.csv.gz,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018.csv.gz,2025-07-23 09:00,156M,primary,,csv_gzip,False,catalog_only_redundant_encoding
2018,pu2018.dta.gz,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018.dta.gz,2025-07-23 09:00,140M,primary,,stata,False,catalog_only_redundant_encoding
2018,pu2018.sas7bdat.gz,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018.sas7bdat.gz,2025-07-23 09:15,586M,primary,,sas,False,catalog_only_redundant_encoding
2018,pu2018_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_csv.zip,2025-07-23 09:15,156M,primary,,csv_zip,True,download_raw_canonical
2018,pu2018_dta.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_dta.zip,2025-07-23 09:15,140M,primary,,stata,False,catalog_only_redundant_encoding
2018,pu2018_sas.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_sas.zip,2025-07-23 09:15,586M,primary,,sas,False,catalog_only_redundant_encoding
2018,pu2018_sasdata.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_sasdata.zip,2020-08-18 10:08,399M,primary,,sas,False,catalog_only_redundant_encoding
2018,pu2018_schema.json,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_schema.json,2025-07-23 09:15,690K,primary,,json_schema,False,download_lightweight_source
2018,pu2018_validate.xls,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_validate.xls,2025-07-23 09:15,250K,primary,,validation_or_workbook,False,download_lightweight_source
2018,pu2018_validate.xlsx,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_validate.xlsx,2025-07-23 10:15,250K,primary,,validation_or_workbook,False,download_lightweight_source
2018,rw2018.csv.gz,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/rw2018.csv.gz,2020-08-18 10:25,1.0G,replicate_weights,,csv_gzip,False,catalog_only_redundant_encoding
2018,rw2018.dta.gz,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/rw2018.dta.gz,2020-08-18 10:41,1.0G,replicate_weights,,stata,False,catalog_only_redundant_encoding
2018,rw2018.sas7bdat.gz,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/rw2018.sas7bdat.gz,2020-08-18 11:29,1.0G,replicate_weights,,sas,False,catalog_only_redundant_encoding
2018,rw2018_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/rw2018_csv.zip,2020-08-18 11:40,1.0G,replicate_weights,,csv_zip,True,download_raw_canonical
