product_id,file_year,reference_end_year,product_type,horizon_years,reference_start_year,official_filename,official_url,listed_in_official_directory,canonical_format,local_relative_path,downloaded,bytes,sha256,zip_structure_valid,zip_entries,zip_uncompressed_bytes
sipp_2018_primary,2018,2017,primary,,2017,pu2018_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2018\primary\pu2018_csv.zip,True,164090517,ab26c1eca7dbe021cff81b9a2522caffad02e9fd23a40dba6c7741039ce176ba,True,pu2018.csv,5633325296
sipp_2018_replicate_weights,2018,2017,replicate_weights,,2017,rw2018_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/rw2018_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2018\replicate_weights\rw2018_csv.zip,True,1047805606,eeb8fa9054f7d9aea466b0755e23bf92b9f890d5dd1008e2ab82838e3e451615,True,rw2018.csv,2231546651
sipp_2019_primary,2019,2018,primary,,2018,pu2019_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/pu2019_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2019\primary\pu2019_csv.zip,True,135068548,c648b45506b5c5ca76386c379b561ab34fc6cb81a9817abb00721f43bfa18ea2,True,pu2019.csv,4505246625
sipp_2019_replicate_weights,2019,2018,replicate_weights,,2018,rw2019_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/rw2019_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2019\replicate_weights\rw2019_csv.zip,True,816926361,1e7758f7662da54b317ec37312cbaeea1e7d134fa3c5f241d42a4e2f48b05ec4,True,rw2019.csv,1733570852
sipp_2019_longitudinal_weights_2y,2019,2018,longitudinal_weights,2,2017,lgtwgt2019_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/lgtwgt2019_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2019\longitudinal_weights\lgtwgt2019_csv.zip,True,335248,28492fa09fe7181b733f22d0e46cbf2d96afa190b7d1e3b35ceec6721e9f28b5,True,lgtwgt2019.csv,1209112
sipp_2019_longitudinal_replicate_weights_2y,2019,2018,longitudinal_replicate_weights,2,2017,lgtrw2019yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/lgtrw2019yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2019\longitudinal_replicate_weights\lgtrw2019yr2_csv.zip,True,46407449,a9e0d5dd3a2c42754ff48a66be93b6730e34c6fc6a406b5d3c8c906021858f8a,True,lgtrw2019yr2.csv,98609443
sipp_2020_primary,2020,2019,primary,,2019,pu2020_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/pu2020_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\primary\pu2020_csv.zip,True,139336635,7e6f2b6c7913f9c1e9ed6cf0b644b479981633902411efa488094f3ccdc3a693,True,pu2020.csv,4716661471
sipp_2020_replicate_weights,2020,2019,replicate_weights,,2019,rw2020_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/rw2020_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\replicate_weights\rw2020_csv.zip,True,855732385,1ed13bb785c73087c06187967e319dc78d34e20581101e93b1b5b5ed526c4efa,True,rw2020.csv,1821091691
sipp_2020_longitudinal_weights_2y,2020,2019,longitudinal_weights,2,2018,lgtwgt2020yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtwgt2020yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\longitudinal_weights\lgtwgt2020yr2_csv.zip,True,230724,82ff80ddfd0c9e5cf2c5f4b779e5092d4be5b8d8fbc14f68bf726628fcb8c19d,True,lgtwgt2020yr2.csv,808598
sipp_2020_longitudinal_replicate_weights_2y,2020,2019,longitudinal_replicate_weights,2,2018,lgtrw2020yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtrw2020yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\longitudinal_replicate_weights\lgtrw2020yr2_csv.zip,True,31625884,fcac6f4320ed4a695c8640a8a8d201934fd052a5f031d254e5bc76c40186d2ef,True,lgtrw2020yr2.csv,66754957
sipp_2020_longitudinal_weights_3y,2020,2019,longitudinal_weights,3,2017,lgtwgt2020yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtwgt2020yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\longitudinal_weights\lgtwgt2020yr3_csv.zip,True,216019,eecd5e691d01ef3dd23abfd55a5ad1d72855e621731d9851f23f2bb2801e03d5,True,lgtwgt2020yr3.csv,773551
sipp_2020_longitudinal_replicate_weights_3y,2020,2019,longitudinal_replicate_weights,3,2017,lgtrw2020yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtrw2020yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\longitudinal_replicate_weights\lgtrw2020yr3_csv.zip,True,30276908,38859a9fb2fd85116f4726cee6dbd2c92118f852f40246a982bacd33e7ebb8b2,True,lgtrw2020yr3.csv,63956694
sipp_2021_primary,2021,2020,primary,,2020,pu2021_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/pu2021_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\primary\pu2021_csv.zip,True,157173933,3fde59d11af2ada49ed3fd92db61427d5f7c85bf66bb7fa38c5992d5ac9782ca,True,pu2021.csv,5282055817
sipp_2021_replicate_weights,2021,2020,replicate_weights,,2020,rw2021_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/rw2021_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\replicate_weights\rw2021_csv.zip,True,919424236,e68b3db5ad4c4924597abc11811b1ddd5089f02dddd5cef2165563c9c536e70d,True,rw2021.csv,1957001899
sipp_2021_longitudinal_weights_2y,2021,2020,longitudinal_weights,2,2019,lgtwgt2021yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtwgt2021yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_weights\lgtwgt2021yr2_csv.zip,True,337942,61ff15300e2440ce4ab4f2d3e3a258722d6d64ad6c53007438b42d33bd8ab5cb,True,lgtwgt2021yr2.csv,1170263
sipp_2021_longitudinal_replicate_weights_2y,2021,2020,longitudinal_replicate_weights,2,2019,lgtrw2021yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtrw2021yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_replicate_weights\lgtrw2021yr2_csv.zip,True,45108837,054ac7f1451e7bb5702b9dccead1550597a2fd897b63bcc649da1b7a58c5f2f8,True,lgtrw2021yr2.csv,95346088
sipp_2021_longitudinal_weights_3y,2021,2020,longitudinal_weights,3,2018,lgtwgt2021yr3_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2021/lgtwgt2021yr3_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2021\longitudinal_weights\lgtwgt2021yr3_csv.zip,True,165487,c61bf42af08ca545cdbac629297c32ff2d05de1f3cf7e3aeac4fbea829b0a104,True,lgtwgt2021yr3.csv,574168
