year,filename,official_url,listed_last_modified,listed_size,directory_fetched_at_utc,directory_http_date,directory_last_modified,directory_cache_age_seconds,directory_cf_cache_status,present_in_prior_catalog,prior_listed_last_modified,prior_listed_size,listed_metadata_changed,live_snapshot_relative_path
2018,2018_SIPP_Metadata.pdf,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/2018_SIPP_Metadata.pdf,2020-08-18 09:26,2.5M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2020-08-18 09:26,2.5M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
2018,2018_SIPP_Metadata_v2.pdf,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/2018_SIPP_Metadata_v2.pdf,2020-11-05 16:09,2.6M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2020-11-05 16:09,2.6M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
2018,2018_SIPP_Metadata_v3.pdf,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/2018_SIPP_Metadata_v3.pdf,2021-11-15 14:31,2.6M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2021-11-15 14:31,2.6M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
2018,pu2018.csv.gz,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018.csv.gz,2025-07-23 09:00,156M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2025-07-23 09:00,156M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
2018,pu2018.dta.gz,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018.dta.gz,2025-07-23 09:00,140M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2025-07-23 09:00,140M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
2018,pu2018.sas7bdat.gz,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018.sas7bdat.gz,2025-07-23 09:15,586M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2025-07-23 09:15,586M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
2018,pu2018_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_csv.zip,2025-07-23 09:15,156M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2025-07-23 09:15,156M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
2018,pu2018_dta.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_dta.zip,2025-07-23 09:15,140M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2025-07-23 09:15,140M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
2018,pu2018_sas.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_sas.zip,2025-07-23 09:15,586M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2025-07-23 09:15,586M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
2018,pu2018_sasdata.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_sasdata.zip,2020-08-18 10:08,399M,2026-07-16T01:42:46Z,"Thu, 16 Jul 2026 01:42:50 GMT","Thu, 16 Jul 2026 01:40:31 GMT",139,HIT,True,2020-08-18 10:08,399M,False,temp\source_metadata\census_sipp\2018\official_dataset_directory_index_reaudit_20260716.html
