concept,variable_name,present,years_present,description,primary_or_alternative,construction_note
person_month_key,SSUID,True,2018;2019;2020;2021;2022;2023;2024,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",alternative_or_supporting,person_month_key
person_month_key,PNUM,True,2018;2019;2020;2021;2022;2023;2024,Person number,alternative_or_supporting,person_month_key
person_month_key,MONTHCODE,True,2018;2019;2020;2021;2022;2023;2024,Value of reference month,alternative_or_supporting,person_month_key
person_month_key,SPANEL,True,2018;2019;2020;2021;2022;2023;2024,Panel year,alternative_or_supporting,person_month_key
person_month_key,SWAVE,True,2018;2019;2020;2021;2022;2023;2024,Wave number of interview,alternative_or_supporting,person_month_key
state_time,TEHC_ST,True,2018;2019;2020;2021;2022;2023;2024,Monthly state of residence,primary,state_time
state_time,TST_INTV,True,2018;2019;2020;2021;2022;2023;2024,State of residence for the interview address,alternative_or_supporting,state_time
state_time,MONTHCODE,True,2018;2019;2020;2021;2022;2023;2024,Value of reference month,alternative_or_supporting,person_month_key
weights,WPFINWGT,True,2018;2019;2020;2021;2022;2023;2024,Final person weight,primary,weights
weights,GVARSTR,True,2018;2019;2020;2021;2022;2023;2024,Variance pseudo stratum code. Strata formed for half sample variance estimation,alternative_or_supporting,weights
coverage_any_public_private,RHLTHMTH,True,2018;2019;2020;2021;2022;2023;2024,Recode - indicating respondent is insured (private or public coverage) in month (New as of 2014 Panel),primary,coverage_any_public_private
coverage_any_public_private,RPUBMTH,True,2018;2019;2020;2021;2022;2023;2024,Monthly recode- Public Coverage during the month (New as of 2014 Panel),alternative_or_supporting,coverage_any_public_private
coverage_any_public_private,RPRIMTH,True,2018;2019;2020;2021;2022;2023;2024,Recode - Private Coverage during the month (New as of 2014 Panel),alternative_or_supporting,coverage_any_public_private
medicaid,EMDMTH,True,2018;2019;2020;2021;2022;2023;2024,Edited Monthly Indicator for Medical Assistance (Medicaid) Coverage,primary,primary monthly Medicaid measure after agreement audit against RPUBTYPE2
medicaid,RPUBTYPE2,True,2018;2019;2020;2021;2022;2023;2024,Recode - Medical Assistance Public Coverage during the month,alternative_or_supporting,alternative monthly Medicaid measure for sensitivity
medicaid,EMD_BMONTH,True,2018;2019;2020;2021;2022;2023;2024,Begin month of Medicaid spell.,alternative_or_supporting,medicaid
medicaid,EMD_EMONTH,True,2018;2019;2020;2021;2022;2023;2024,Last month of Medicaid spell.,alternative_or_supporting,medicaid
medicaid,RMCAIDANN,True,2022;2023;2024,Annual Medicaid/Medical Assistance health insurance coverage recode,alternative_or_supporting,medicaid
medicare_exclusion,ECRMTH,True,2018;2019;2020;2021;2022;2023;2024,Edited Monthly Indicator for Medicare Coverage,alternative_or_supporting,medicare_exclusion
medicare_exclusion,RPUBTYPE1,True,2018;2019;2020;2021;2022;2023;2024,Recode - Medicare Public Coverage (including Part A) during the month,alternative_or_supporting,medicare_exclusion
direct_purchase_exchange,RMARKTPLACE,True,2018;2019;2020;2021;2022;2023;2024,"Monthly recode - indicates private direct purchase, Medicaid/Medical Assistance, or other coverage obtained through healthcare.gov or a state-based marketplace/exchange.",alternative_or_supporting,direct_purchase_exchange
direct_purchase_exchange,RPRITYPE2,True,2018;2019;2020;2021;2022;2023;2024,Recode - Monthly Direct-Purchase Private Coverage (includes school-based coverage) (New as of 2014 Panel),alternative_or_supporting,direct_purchase_exchange
direct_purchase_exchange,EPRIEXCH1,True,2018;2019;2020;2021;2022;2023;2024,Did respondent have coverage through a state-based Health Insurance Exchange?,alternative_or_supporting,direct_purchase_exchange
direct_purchase_exchange,EPRIEXCH2,True,2018;2019;2020;2021;2022;2023;2024,Did respondent have coverage through a state-based Health Insurance Exchange?,alternative_or_supporting,direct_purchase_exchange
direct_purchase_exchange,EPRISUBS1,True,2018;2019;2020;2021;2022;2023;2024,Determines if Exchange premium was subsidized,alternative_or_supporting,direct_purchase_exchange
direct_purchase_exchange,EPRISUBS2,True,2018;2019;2020;2021;2022;2023;2024,Determines if Exchange premium was subsidized,alternative_or_supporting,direct_purchase_exchange
