file_year_page,title,description,official_url,domain_tags,current_panel_variables_named,current_panel_variable_match_count,issue_language_in_title_or_description,audit_priority_for_current_panel,page_modified_date,http_last_modified,fetched_at_utc,snapshot_relative_path,snapshot_sha256_project_generated
2018,2018 SIPP: 2008-Comparable Recodes,User note concerning 2008-comparable recodes.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2008-comparable-recodes.html,health_insurance|income_poverty|weights_sampling|employment|education,,0,False,medium,2022-03-23T14:36:36.904-04:00,,2026-07-16T02:31:55Z,temp\source_metadata\census_sipp\user_notes\2018\2008-comparable-recodes.html,62d2625b33b630c07f075d2b4dddea9e1bee4b92b8bde2d369c74aed56c9d90b
2018,2018 SIPP: TPEARN Historical Comparison User Note,"A user note concerning, TPEARN and comparisons across SIPP panels.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-TPEARN-hist-comp.html,income_poverty|weights_sampling|employment|education,TFINCPOV|TFTOTINC|TPEARN|TPTOTINC,4,False,medium,2022-03-24T10:23:46.498-04:00,,2026-07-16T02:31:55Z,temp\source_metadata\census_sipp\user_notes\2018\2018-TPEARN-hist-comp.html,b6146298ca7e5847433004493c68c323ac3f51d0a92a7ca60ae5e2d22790bc0b
2018,2018 SIPP: Business Profits Collection and Processing Issue,User note discussing an error with the business profits question asking for annual profits but allowing multiple reports.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-bus-prof-data-coll-proc-issue.html,income_poverty|weights_sampling|employment|education,TPEARN,1,True,high,2022-03-24T14:53:15.304-04:00,,2026-07-16T02:31:54Z,temp\source_metadata\census_sipp\user_notes\2018\2018-bus-prof-data-coll-proc-issue.html,f89aa58033eb48018d7f330d4330ad4bb27797ab5aaf470604c019148c5a9bbc
2018,2018 SIPP: Changes to Asset Questions,User note concerning changes made to the asset section of the SIPP questionnaire.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-chg-asset-quest.html,income_poverty|weights_sampling|employment|education,,0,False,medium,2022-03-23T11:24:09.207-04:00,,2026-07-16T02:31:54Z,temp\source_metadata\census_sipp\user_notes\2018\2018-chg-asset-quest.html,70ae7d5377df6ef788039f5566b6718bea150cf4c73160a970aef1487242f191
2018,2018 SIPP: User Note for Changes to Imputed Earnings,A user note concerning changes to imputed earnings and profits.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-chg-imputed-earnings.html,income_poverty|weights_sampling|employment|education,,0,False,medium,2022-03-24T10:23:04.632-04:00,,2026-07-16T02:32:01Z,temp\source_metadata\census_sipp\user_notes\2018\2018-chg-imputed-earnings.html,92630fc4473e8ec5ad484e97ba95cc31280b87acfa145c66f289007d6bb9db78
2018,2018 SIPP: Child Care Assistance Universe and Allocation Rates,User note concerning the universe of child-care assistance and higher allocation rates.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-child-care-assist-univ-alloc-rates.html,income_poverty|weights_sampling|employment|education,,0,True,medium,2023-01-11T16:55:35.048-05:00,,2026-07-16T02:31:54Z,temp\source_metadata\census_sipp\user_notes\2018\2018-child-care-assist-univ-alloc-rates.html,895d0c3fa8e62d1d901c9f646fc3946b38da51cf474d0c470218297d3d5517ad
2018,2018 SIPP: Child Care Nursery and Head Start Variables Suppressed,Several child care nursery and Head Start arrangements variables are suppressed in 2018 SIPP.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-child-care-nursery-head-start-arr.html,income_poverty|weights_sampling|employment|education,,0,False,medium,2022-03-23T11:47:44.757-04:00,,2026-07-16T02:32:01Z,temp\source_metadata\census_sipp\user_notes\2018\2018-child-care-nursery-head-start-arr.html,9673721705d18f20a6afd1603091cac8cd96cf75dce2b97beda06b0f4271317a
2018,2018 SIPP: Citizenship Coding Change for American Samoans,User not concerning a change in citizenship coding for people born in American Samoa as of the 2018 SIPP.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-ctz-cod-chg-as.html,income_poverty|weights_sampling|employment|education,,0,False,medium,2022-03-24T12:00:36.287-04:00,,2026-07-16T02:31:56Z,temp\source_metadata\census_sipp\user_notes\2018\2018-ctz-cod-chg-as.html,18078565020e81f145c13f46a9b4d58e7f36a4ef6716eff4db01a52019d0c20a
2018,2018 SIPP: Data Issue Concerning ESPEAK and TLANG1,User note concerning errors affecting observations of ESPEAK and TLANG1,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-data-issue-espeak-tlang1.html,income_poverty|weights_sampling|employment|education,,0,True,medium,2024-07-03T14:33:24.197-04:00,,2026-07-16T02:31:58Z,temp\source_metadata\census_sipp\user_notes\2018\2018-data-issue-espeak-tlang1.html,b80928d9468b9e9680a4a65e543a370efee370a067fe91e743fdf6be3ca60b1c
2018,2018 SIPP: Errors in Debt Allocation Flag Variable Names,"User note concerning variable names for allocation flags associated with EDEBT_CC, EDEBT_ED, EDEBT_OT, TDEBT_CC, TDEBT_ED, and TDEBT_OT.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-err-debt-alloc-flag-var-nam.html,income_poverty|weights_sampling|employment|education,,0,True,medium,2023-09-20T14:27:41.788-04:00,,2026-07-16T02:31:58Z,temp\source_metadata\census_sipp\user_notes\2018\2018-err-debt-alloc-flag-var-nam.html,64ff9e9f1272199a7fdf630c4101c7a5d6dacea5911a3c362f9f861015f8e84b
2018,2018 SIPP: Universe Error in Variable EMHIOTHER,User note concerning universe error in variable EMHIOTHER.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-error-emhiother.html,health_insurance|income_poverty|weights_sampling|employment|education,PNUM,1,True,high,2022-03-23T14:16:18.104-04:00,,2026-07-16T02:31:59Z,temp\source_metadata\census_sipp\user_notes\2018\2018-error-emhiother.html,9920aa6fe7daf2e90fb8ece12b1bbfb116fa4574e88ccef87814ec376713fd15
2018,2018 SIPP: ESPEAK Errors Affecting the Other Three Language Variables,"User note concerning misclassified ESPEAK observations affecting TLANG1, EHOWWELL, and RLNGISOL.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-espeak-errors.html,income_poverty|weights_sampling|employment|education,,0,True,medium,2025-07-23T11:15:26.026-04:00,,2026-07-16T02:32:00Z,temp\source_metadata\census_sipp\user_notes\2018\2018-espeak-errors.html,42e14a3598dcf2eb50f0883351a7090517a1a3e96fc28172d6d879f66f690f9e
2018,2018 SIPP: Health Insurance Marketplace Coverage,User Note concerning recode variable for Marketplace coverage.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-health-ins-marketpl-cov.html,health_insurance|income_poverty|weights_sampling|employment|education,RMARKTPLACE,1,False,medium,2022-03-23T14:29:56.376-04:00,,2026-07-16T02:32:01Z,temp\source_metadata\census_sipp\user_notes\2018\2018-health-ins-marketpl-cov.html,bf0b220590f9d2743091c9679bbb89439bc8f6b8bd559a4c5fec6f56c2f5e9dc
2018,2018 SIPP: Health Insurance Premium Expenditure Question Note,User note concerning health insurance premium expenditures and Social Security deductions.,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2018-usernotes/2018-health-ins-prem-expd-quest-note.html,health_insurance|income_poverty|weights_sampling|employment|education,,0,False,medium,2022-12-09T10:38:43.901-05:00,,2026-07-16T02:32:01Z,temp\source_metadata\census_sipp\user_notes\2018\2018-health-ins-prem-expd-quest-note.html,2f9c53fddd5a2ac34cfa270fb7bbe0277137922c68a59e5fb409eedf424816f4
