product_id,file_year,reference_end_year,product_type,horizon_years,reference_start_year,official_filename,official_url,listed_in_official_directory,canonical_format,local_relative_path,downloaded
sipp_2018_primary,2018,2017,primary,,2017,pu2018_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2018\primary\pu2018_csv.zip,True
sipp_2018_replicate_weights,2018,2017,replicate_weights,,2017,rw2018_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/rw2018_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2018\replicate_weights\rw2018_csv.zip,True
sipp_2019_primary,2019,2018,primary,,2018,pu2019_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/pu2019_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2019\primary\pu2019_csv.zip,True
sipp_2019_replicate_weights,2019,2018,replicate_weights,,2018,rw2019_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/rw2019_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2019\replicate_weights\rw2019_csv.zip,True
sipp_2019_longitudinal_weights_2y,2019,2018,longitudinal_weights,2,2017,lgtwgt2019_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/lgtwgt2019_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2019\longitudinal_weights\lgtwgt2019_csv.zip,True
sipp_2019_longitudinal_replicate_weights_2y,2019,2018,longitudinal_replicate_weights,2,2017,lgtrw2019yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/lgtrw2019yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2019\longitudinal_replicate_weights\lgtrw2019yr2_csv.zip,True
sipp_2020_primary,2020,2019,primary,,2019,pu2020_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/pu2020_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\primary\pu2020_csv.zip,True
sipp_2020_replicate_weights,2020,2019,replicate_weights,,2019,rw2020_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/rw2020_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\replicate_weights\rw2020_csv.zip,True
sipp_2020_longitudinal_weights_2y,2020,2019,longitudinal_weights,2,2018,lgtwgt2020yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtwgt2020yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\longitudinal_weights\lgtwgt2020yr2_csv.zip,True
sipp_2020_longitudinal_replicate_weights_2y,2020,2019,longitudinal_replicate_weights,2,2018,lgtrw2020yr2_csv.zip,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtrw2020yr2_csv.zip,True,pipe_delimited_csv_in_zip,temp\raw_downloads\census_sipp\2020\longitudinal_replicate_weights\lgtrw2020yr2_csv.zip,True
